location,target,type,quantile,forecast_date,target_end_date,value
16,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,0
17,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,313
18,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,81
19,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,39
20,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,10
21,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,32
22,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,45
23,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,4
24,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,164
25,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,103
26,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,61
27,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,85
28,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,26
29,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,17
30,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,0
31,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,33
32,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,11
33,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,4
34,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,171
35,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,17
36,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,402
37,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,72
38,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,2
39,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,81
40,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,10
41,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,8
42,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,110
44,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,25
45,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,17
46,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,2
47,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,21
48,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,167
49,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,7
50,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,0
51,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,153
53,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,24
54,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,0
55,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,49
56,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,1
US,1 day ahead inc hosp,quantile,0.15,2020-05-21,2020-05-22,3401
01,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,34
02,1 day ahead inc hosp,quantile,0.2,2020-05-21,2020-05-22,0
