,level_0,location_long,value,year,week,day,state,state_code,state_name
51,1/22/20,Vermont,,2020,4,4,VT,50,Vermont
53,1/22/20,Virginia,,2020,4,4,VA,51,Virginia
54,1/22/20,Washington,,2020,4,4,WA,53,Washington
55,1/22/20,West Virginia,,2020,4,4,WV,54,West Virginia
56,1/22/20,Wisconsin,,2020,4,4,WI,55,Wisconsin
57,1/22/20,Wyoming,,2020,4,4,WY,56,Wyoming
58,1/22/20,US,,2020,4,4,nat,US,
59,1/23/20,Alabama,0.0,2020,4,5,AL,01,Alabama
60,1/23/20,Alaska,0.0,2020,4,5,AK,02,Alaska
62,1/23/20,Arizona,0.0,2020,4,5,AZ,04,Arizona
63,1/23/20,Arkansas,0.0,2020,4,5,AR,05,Arkansas
64,1/23/20,California,0.0,2020,4,5,CA,06,California
65,1/23/20,Colorado,0.0,2020,4,5,CO,08,Colorado
66,1/23/20,Connecticut,0.0,2020,4,5,CT,09,Connecticut
67,1/23/20,Delaware,0.0,2020,4,5,DE,10,Delaware
69,1/23/20,District of Columbia,0.0,2020,4,5,DC,11,District of Columbia
70,1/23/20,Florida,0.0,2020,4,5,FL,12,Florida
71,1/23/20,Georgia,0.0,2020,4,5,GA,13,Georgia
74,1/23/20,Hawaii,0.0,2020,4,5,HI,15,Hawaii
75,1/23/20,Idaho,0.0,2020,4,5,ID,16,Idaho
76,1/23/20,Illinois,0.0,2020,4,5,IL,17,Illinois
77,1/23/20,Indiana,0.0,2020,4,5,IN,18,Indiana
78,1/23/20,Iowa,0.0,2020,4,5,IA,19,Iowa
79,1/23/20,Kansas,0.0,2020,4,5,KS,20,Kansas
80,1/23/20,Kentucky,0.0,2020,4,5,KY,21,Kentucky
81,1/23/20,Louisiana,0.0,2020,4,5,LA,22,Louisiana
82,1/23/20,Maine,0.0,2020,4,5,ME,23,Maine
83,1/23/20,Maryland,0.0,2020,4,5,MD,24,Maryland
84,1/23/20,Massachusetts,0.0,2020,4,5,MA,25,Massachusetts
85,1/23/20,Michigan,0.0,2020,4,5,MI,26,Michigan
86,1/23/20,Minnesota,0.0,2020,4,5,MN,27,Minnesota
87,1/23/20,Mississippi,0.0,2020,4,5,MS,28,Mississippi
88,1/23/20,Missouri,0.0,2020,4,5,MO,29,Missouri
89,1/23/20,Montana,0.0,2020,4,5,MT,30,Montana
90,1/23/20,Nebraska,0.0,2020,4,5,NE,31,Nebraska
91,1/23/20,Nevada,0.0,2020,4,5,NV,32,Nevada
92,1/23/20,New Hampshire,0.0,2020,4,5,NH,33,New Hampshire
93,1/23/20,New Jersey,0.0,2020,4,5,NJ,34,New Jersey
94,1/23/20,New Mexico,0.0,2020,4,5,NM,35,New Mexico
95,1/23/20,New York,0.0,2020,4,5,NY,36,New York
96,1/23/20,North Carolina,0.0,2020,4,5,NC,37,North Carolina
97,1/23/20,North Dakota,0.0,2020,4,5,ND,38,North Dakota
99,1/23/20,Ohio,0.0,2020,4,5,OH,39,Ohio
100,1/23/20,Oklahoma,0.0,2020,4,5,OK,40,Oklahoma
101,1/23/20,Oregon,0.0,2020,4,5,OR,41,Oregon
102,1/23/20,Pennsylvania,0.0,2020,4,5,PA,42,Pennsylvania
104,1/23/20,Rhode Island,0.0,2020,4,5,RI,44,Rhode Island
105,1/23/20,South Carolina,0.0,2020,4,5,SC,45,South Carolina
106,1/23/20,South Dakota,0.0,2020,4,5,SD,46,South Dakota
107,1/23/20,Tennessee,0.0,2020,4,5,TN,47,Tennessee
108,1/23/20,Texas,0.0,2020,4,5,TX,48,Texas
109,1/23/20,Utah,0.0,2020,4,5,UT,49,Utah
110,1/23/20,Vermont,0.0,2020,4,5,VT,50,Vermont
112,1/23/20,Virginia,0.0,2020,4,5,VA,51,Virginia
113,1/23/20,Washington,0.0,2020,4,5,WA,53,Washington
114,1/23/20,West Virginia,0.0,2020,4,5,WV,54,West Virginia
115,1/23/20,Wisconsin,0.0,2020,4,5,WI,55,Wisconsin
116,1/23/20,Wyoming,0.0,2020,4,5,WY,56,Wyoming
117,1/23/20,US,0.0,2020,4,5,nat,US,
118,1/24/20,Alabama,0.0,2020,4,6,AL,01,Alabama
119,1/24/20,Alaska,0.0,2020,4,6,AK,02,Alaska
121,1/24/20,Arizona,0.0,2020,4,6,AZ,04,Arizona
122,1/24/20,Arkansas,0.0,2020,4,6,AR,05,Arkansas
123,1/24/20,California,0.0,2020,4,6,CA,06,California
124,1/24/20,Colorado,0.0,2020,4,6,CO,08,Colorado
125,1/24/20,Connecticut,0.0,2020,4,6,CT,09,Connecticut
126,1/24/20,Delaware,0.0,2020,4,6,DE,10,Delaware
128,1/24/20,District of Columbia,0.0,2020,4,6,DC,11,District of Columbia
129,1/24/20,Florida,0.0,2020,4,6,FL,12,Florida
130,1/24/20,Georgia,0.0,2020,4,6,GA,13,Georgia
133,1/24/20,Hawaii,0.0,2020,4,6,HI,15,Hawaii
134,1/24/20,Idaho,0.0,2020,4,6,ID,16,Idaho
135,1/24/20,Illinois,0.0,2020,4,6,IL,17,Illinois
136,1/24/20,Indiana,0.0,2020,4,6,IN,18,Indiana
137,1/24/20,Iowa,0.0,2020,4,6,IA,19,Iowa
138,1/24/20,Kansas,0.0,2020,4,6,KS,20,Kansas
139,1/24/20,Kentucky,0.0,2020,4,6,KY,21,Kentucky
140,1/24/20,Louisiana,0.0,2020,4,6,LA,22,Louisiana
141,1/24/20,Maine,0.0,2020,4,6,ME,23,Maine
142,1/24/20,Maryland,0.0,2020,4,6,MD,24,Maryland
143,1/24/20,Massachusetts,0.0,2020,4,6,MA,25,Massachusetts
144,1/24/20,Michigan,0.0,2020,4,6,MI,26,Michigan
145,1/24/20,Minnesota,0.0,2020,4,6,MN,27,Minnesota
146,1/24/20,Mississippi,0.0,2020,4,6,MS,28,Mississippi
147,1/24/20,Missouri,0.0,2020,4,6,MO,29,Missouri
148,1/24/20,Montana,0.0,2020,4,6,MT,30,Montana
149,1/24/20,Nebraska,0.0,2020,4,6,NE,31,Nebraska
150,1/24/20,Nevada,0.0,2020,4,6,NV,32,Nevada
151,1/24/20,New Hampshire,0.0,2020,4,6,NH,33,New Hampshire
152,1/24/20,New Jersey,0.0,2020,4,6,NJ,34,New Jersey
153,1/24/20,New Mexico,0.0,2020,4,6,NM,35,New Mexico
154,1/24/20,New York,0.0,2020,4,6,NY,36,New York
155,1/24/20,North Carolina,0.0,2020,4,6,NC,37,North Carolina
156,1/24/20,North Dakota,0.0,2020,4,6,ND,38,North Dakota
158,1/24/20,Ohio,0.0,2020,4,6,OH,39,Ohio
159,1/24/20,Oklahoma,0.0,2020,4,6,OK,40,Oklahoma
160,1/24/20,Oregon,0.0,2020,4,6,OR,41,Oregon
161,1/24/20,Pennsylvania,0.0,2020,4,6,PA,42,Pennsylvania
163,1/24/20,Rhode Island,0.0,2020,4,6,RI,44,Rhode Island
164,1/24/20,South Carolina,0.0,2020,4,6,SC,45,South Carolina
165,1/24/20,South Dakota,0.0,2020,4,6,SD,46,South Dakota
166,1/24/20,Tennessee,0.0,2020,4,6,TN,47,Tennessee
167,1/24/20,Texas,0.0,2020,4,6,TX,48,Texas
168,1/24/20,Utah,0.0,2020,4,6,UT,49,Utah
169,1/24/20,Vermont,0.0,2020,4,6,VT,50,Vermont
171,1/24/20,Virginia,0.0,2020,4,6,VA,51,Virginia
172,1/24/20,Washington,0.0,2020,4,6,WA,53,Washington
173,1/24/20,West Virginia,0.0,2020,4,6,WV,54,West Virginia
174,1/24/20,Wisconsin,0.0,2020,4,6,WI,55,Wisconsin
175,1/24/20,Wyoming,0.0,2020,4,6,WY,56,Wyoming
176,1/24/20,US,0.0,2020,4,6,nat,US,
177,1/25/20,Alabama,0.0,2020,4,7,AL,01,Alabama
178,1/25/20,Alaska,0.0,2020,4,7,AK,02,Alaska
180,1/25/20,Arizona,0.0,2020,4,7,AZ,04,Arizona
181,1/25/20,Arkansas,0.0,2020,4,7,AR,05,Arkansas
182,1/25/20,California,0.0,2020,4,7,CA,06,California
183,1/25/20,Colorado,0.0,2020,4,7,CO,08,Colorado
184,1/25/20,Connecticut,0.0,2020,4,7,CT,09,Connecticut
185,1/25/20,Delaware,0.0,2020,4,7,DE,10,Delaware
187,1/25/20,District of Columbia,0.0,2020,4,7,DC,11,District of Columbia
188,1/25/20,Florida,0.0,2020,4,7,FL,12,Florida
189,1/25/20,Georgia,0.0,2020,4,7,GA,13,Georgia
192,1/25/20,Hawaii,0.0,2020,4,7,HI,15,Hawaii
193,1/25/20,Idaho,0.0,2020,4,7,ID,16,Idaho
194,1/25/20,Illinois,0.0,2020,4,7,IL,17,Illinois
195,1/25/20,Indiana,0.0,2020,4,7,IN,18,Indiana
196,1/25/20,Iowa,0.0,2020,4,7,IA,19,Iowa
197,1/25/20,Kansas,0.0,2020,4,7,KS,20,Kansas
198,1/25/20,Kentucky,0.0,2020,4,7,KY,21,Kentucky
199,1/25/20,Louisiana,0.0,2020,4,7,LA,22,Louisiana
200,1/25/20,Maine,0.0,2020,4,7,ME,23,Maine
201,1/25/20,Maryland,0.0,2020,4,7,MD,24,Maryland
202,1/25/20,Massachusetts,0.0,2020,4,7,MA,25,Massachusetts
203,1/25/20,Michigan,0.0,2020,4,7,MI,26,Michigan
204,1/25/20,Minnesota,0.0,2020,4,7,MN,27,Minnesota
205,1/25/20,Mississippi,0.0,2020,4,7,MS,28,Mississippi
206,1/25/20,Missouri,0.0,2020,4,7,MO,29,Missouri
207,1/25/20,Montana,0.0,2020,4,7,MT,30,Montana
208,1/25/20,Nebraska,0.0,2020,4,7,NE,31,Nebraska
209,1/25/20,Nevada,0.0,2020,4,7,NV,32,Nevada
210,1/25/20,New Hampshire,0.0,2020,4,7,NH,33,New Hampshire
211,1/25/20,New Jersey,0.0,2020,4,7,NJ,34,New Jersey
212,1/25/20,New Mexico,0.0,2020,4,7,NM,35,New Mexico
213,1/25/20,New York,0.0,2020,4,7,NY,36,New York
214,1/25/20,North Carolina,0.0,2020,4,7,NC,37,North Carolina
215,1/25/20,North Dakota,0.0,2020,4,7,ND,38,North Dakota
217,1/25/20,Ohio,0.0,2020,4,7,OH,39,Ohio
218,1/25/20,Oklahoma,0.0,2020,4,7,OK,40,Oklahoma
219,1/25/20,Oregon,0.0,2020,4,7,OR,41,Oregon
220,1/25/20,Pennsylvania,0.0,2020,4,7,PA,42,Pennsylvania
222,1/25/20,Rhode Island,0.0,2020,4,7,RI,44,Rhode Island
223,1/25/20,South Carolina,0.0,2020,4,7,SC,45,South Carolina
224,1/25/20,South Dakota,0.0,2020,4,7,SD,46,South Dakota
225,1/25/20,Tennessee,0.0,2020,4,7,TN,47,Tennessee
226,1/25/20,Texas,0.0,2020,4,7,TX,48,Texas
227,1/25/20,Utah,0.0,2020,4,7,UT,49,Utah
228,1/25/20,Vermont,0.0,2020,4,7,VT,50,Vermont
230,1/25/20,Virginia,0.0,2020,4,7,VA,51,Virginia
231,1/25/20,Washington,0.0,2020,4,7,WA,53,Washington
232,1/25/20,West Virginia,0.0,2020,4,7,WV,54,West Virginia
233,1/25/20,Wisconsin,0.0,2020,4,7,WI,55,Wisconsin
234,1/25/20,Wyoming,0.0,2020,4,7,WY,56,Wyoming
235,1/25/20,US,0.0,2020,4,7,nat,US,
236,1/26/20,Alabama,0.0,2020,5,1,AL,01,Alabama
237,1/26/20,Alaska,0.0,2020,5,1,AK,02,Alaska
239,1/26/20,Arizona,0.0,2020,5,1,AZ,04,Arizona
240,1/26/20,Arkansas,0.0,2020,5,1,AR,05,Arkansas
241,1/26/20,California,0.0,2020,5,1,CA,06,California
242,1/26/20,Colorado,0.0,2020,5,1,CO,08,Colorado
243,1/26/20,Connecticut,0.0,2020,5,1,CT,09,Connecticut
244,1/26/20,Delaware,0.0,2020,5,1,DE,10,Delaware
246,1/26/20,District of Columbia,0.0,2020,5,1,DC,11,District of Columbia
247,1/26/20,Florida,0.0,2020,5,1,FL,12,Florida
248,1/26/20,Georgia,0.0,2020,5,1,GA,13,Georgia
251,1/26/20,Hawaii,0.0,2020,5,1,HI,15,Hawaii
252,1/26/20,Idaho,0.0,2020,5,1,ID,16,Idaho
253,1/26/20,Illinois,0.0,2020,5,1,IL,17,Illinois
254,1/26/20,Indiana,0.0,2020,5,1,IN,18,Indiana
255,1/26/20,Iowa,0.0,2020,5,1,IA,19,Iowa
256,1/26/20,Kansas,0.0,2020,5,1,KS,20,Kansas
257,1/26/20,Kentucky,0.0,2020,5,1,KY,21,Kentucky
258,1/26/20,Louisiana,0.0,2020,5,1,LA,22,Louisiana
259,1/26/20,Maine,0.0,2020,5,1,ME,23,Maine
260,1/26/20,Maryland,0.0,2020,5,1,MD,24,Maryland
261,1/26/20,Massachusetts,0.0,2020,5,1,MA,25,Massachusetts
262,1/26/20,Michigan,0.0,2020,5,1,MI,26,Michigan
263,1/26/20,Minnesota,0.0,2020,5,1,MN,27,Minnesota
264,1/26/20,Mississippi,0.0,2020,5,1,MS,28,Mississippi
265,1/26/20,Missouri,0.0,2020,5,1,MO,29,Missouri
266,1/26/20,Montana,0.0,2020,5,1,MT,30,Montana
267,1/26/20,Nebraska,0.0,2020,5,1,NE,31,Nebraska
268,1/26/20,Nevada,0.0,2020,5,1,NV,32,Nevada
269,1/26/20,New Hampshire,0.0,2020,5,1,NH,33,New Hampshire
270,1/26/20,New Jersey,0.0,2020,5,1,NJ,34,New Jersey
271,1/26/20,New Mexico,0.0,2020,5,1,NM,35,New Mexico
272,1/26/20,New York,0.0,2020,5,1,NY,36,New York
273,1/26/20,North Carolina,0.0,2020,5,1,NC,37,North Carolina
274,1/26/20,North Dakota,0.0,2020,5,1,ND,38,North Dakota
276,1/26/20,Ohio,0.0,2020,5,1,OH,39,Ohio
277,1/26/20,Oklahoma,0.0,2020,5,1,OK,40,Oklahoma
278,1/26/20,Oregon,0.0,2020,5,1,OR,41,Oregon
279,1/26/20,Pennsylvania,0.0,2020,5,1,PA,42,Pennsylvania
281,1/26/20,Rhode Island,0.0,2020,5,1,RI,44,Rhode Island
282,1/26/20,South Carolina,0.0,2020,5,1,SC,45,South Carolina
283,1/26/20,South Dakota,0.0,2020,5,1,SD,46,South Dakota
284,1/26/20,Tennessee,0.0,2020,5,1,TN,47,Tennessee
285,1/26/20,Texas,0.0,2020,5,1,TX,48,Texas
286,1/26/20,Utah,0.0,2020,5,1,UT,49,Utah
287,1/26/20,Vermont,0.0,2020,5,1,VT,50,Vermont
289,1/26/20,Virginia,0.0,2020,5,1,VA,51,Virginia
290,1/26/20,Washington,0.0,2020,5,1,WA,53,Washington
291,1/26/20,West Virginia,0.0,2020,5,1,WV,54,West Virginia
292,1/26/20,Wisconsin,0.0,2020,5,1,WI,55,Wisconsin
293,1/26/20,Wyoming,0.0,2020,5,1,WY,56,Wyoming
294,1/26/20,US,0.0,2020,5,1,nat,US,
295,1/27/20,Alabama,0.0,2020,5,2,AL,01,Alabama
296,1/27/20,Alaska,0.0,2020,5,2,AK,02,Alaska
298,1/27/20,Arizona,0.0,2020,5,2,AZ,04,Arizona
299,1/27/20,Arkansas,0.0,2020,5,2,AR,05,Arkansas
300,1/27/20,California,0.0,2020,5,2,CA,06,California
301,1/27/20,Colorado,0.0,2020,5,2,CO,08,Colorado
302,1/27/20,Connecticut,0.0,2020,5,2,CT,09,Connecticut
303,1/27/20,Delaware,0.0,2020,5,2,DE,10,Delaware
305,1/27/20,District of Columbia,0.0,2020,5,2,DC,11,District of Columbia
306,1/27/20,Florida,0.0,2020,5,2,FL,12,Florida
307,1/27/20,Georgia,0.0,2020,5,2,GA,13,Georgia
310,1/27/20,Hawaii,0.0,2020,5,2,HI,15,Hawaii
311,1/27/20,Idaho,0.0,2020,5,2,ID,16,Idaho
312,1/27/20,Illinois,0.0,2020,5,2,IL,17,Illinois
313,1/27/20,Indiana,0.0,2020,5,2,IN,18,Indiana
314,1/27/20,Iowa,0.0,2020,5,2,IA,19,Iowa
315,1/27/20,Kansas,0.0,2020,5,2,KS,20,Kansas
316,1/27/20,Kentucky,0.0,2020,5,2,KY,21,Kentucky
317,1/27/20,Louisiana,0.0,2020,5,2,LA,22,Louisiana
318,1/27/20,Maine,0.0,2020,5,2,ME,23,Maine
319,1/27/20,Maryland,0.0,2020,5,2,MD,24,Maryland
320,1/27/20,Massachusetts,0.0,2020,5,2,MA,25,Massachusetts
321,1/27/20,Michigan,0.0,2020,5,2,MI,26,Michigan
322,1/27/20,Minnesota,0.0,2020,5,2,MN,27,Minnesota
323,1/27/20,Mississippi,0.0,2020,5,2,MS,28,Mississippi
324,1/27/20,Missouri,0.0,2020,5,2,MO,29,Missouri
325,1/27/20,Montana,0.0,2020,5,2,MT,30,Montana
326,1/27/20,Nebraska,0.0,2020,5,2,NE,31,Nebraska
327,1/27/20,Nevada,0.0,2020,5,2,NV,32,Nevada
328,1/27/20,New Hampshire,0.0,2020,5,2,NH,33,New Hampshire
329,1/27/20,New Jersey,0.0,2020,5,2,NJ,34,New Jersey
330,1/27/20,New Mexico,0.0,2020,5,2,NM,35,New Mexico
331,1/27/20,New York,0.0,2020,5,2,NY,36,New York
332,1/27/20,North Carolina,0.0,2020,5,2,NC,37,North Carolina
333,1/27/20,North Dakota,0.0,2020,5,2,ND,38,North Dakota
335,1/27/20,Ohio,0.0,2020,5,2,OH,39,Ohio
336,1/27/20,Oklahoma,0.0,2020,5,2,OK,40,Oklahoma
337,1/27/20,Oregon,0.0,2020,5,2,OR,41,Oregon
338,1/27/20,Pennsylvania,0.0,2020,5,2,PA,42,Pennsylvania
340,1/27/20,Rhode Island,0.0,2020,5,2,RI,44,Rhode Island
341,1/27/20,South Carolina,0.0,2020,5,2,SC,45,South Carolina
342,1/27/20,South Dakota,0.0,2020,5,2,SD,46,South Dakota
343,1/27/20,Tennessee,0.0,2020,5,2,TN,47,Tennessee
344,1/27/20,Texas,0.0,2020,5,2,TX,48,Texas
345,1/27/20,Utah,0.0,2020,5,2,UT,49,Utah
346,1/27/20,Vermont,0.0,2020,5,2,VT,50,Vermont
348,1/27/20,Virginia,0.0,2020,5,2,VA,51,Virginia
349,1/27/20,Washington,0.0,2020,5,2,WA,53,Washington
350,1/27/20,West Virginia,0.0,2020,5,2,WV,54,West Virginia
351,1/27/20,Wisconsin,0.0,2020,5,2,WI,55,Wisconsin
352,1/27/20,Wyoming,0.0,2020,5,2,WY,56,Wyoming
353,1/27/20,US,0.0,2020,5,2,nat,US,
354,1/28/20,Alabama,0.0,2020,5,3,AL,01,Alabama
355,1/28/20,Alaska,0.0,2020,5,3,AK,02,Alaska
357,1/28/20,Arizona,0.0,2020,5,3,AZ,04,Arizona
358,1/28/20,Arkansas,0.0,2020,5,3,AR,05,Arkansas
359,1/28/20,California,0.0,2020,5,3,CA,06,California
360,1/28/20,Colorado,0.0,2020,5,3,CO,08,Colorado
361,1/28/20,Connecticut,0.0,2020,5,3,CT,09,Connecticut
362,1/28/20,Delaware,0.0,2020,5,3,DE,10,Delaware
364,1/28/20,District of Columbia,0.0,2020,5,3,DC,11,District of Columbia
365,1/28/20,Florida,0.0,2020,5,3,FL,12,Florida
366,1/28/20,Georgia,0.0,2020,5,3,GA,13,Georgia
369,1/28/20,Hawaii,0.0,2020,5,3,HI,15,Hawaii
370,1/28/20,Idaho,0.0,2020,5,3,ID,16,Idaho
371,1/28/20,Illinois,0.0,2020,5,3,IL,17,Illinois
372,1/28/20,Indiana,0.0,2020,5,3,IN,18,Indiana
373,1/28/20,Iowa,0.0,2020,5,3,IA,19,Iowa
374,1/28/20,Kansas,0.0,2020,5,3,KS,20,Kansas
375,1/28/20,Kentucky,0.0,2020,5,3,KY,21,Kentucky
376,1/28/20,Louisiana,0.0,2020,5,3,LA,22,Louisiana
377,1/28/20,Maine,0.0,2020,5,3,ME,23,Maine
378,1/28/20,Maryland,0.0,2020,5,3,MD,24,Maryland
379,1/28/20,Massachusetts,0.0,2020,5,3,MA,25,Massachusetts
380,1/28/20,Michigan,0.0,2020,5,3,MI,26,Michigan
381,1/28/20,Minnesota,0.0,2020,5,3,MN,27,Minnesota
382,1/28/20,Mississippi,0.0,2020,5,3,MS,28,Mississippi
383,1/28/20,Missouri,0.0,2020,5,3,MO,29,Missouri
384,1/28/20,Montana,0.0,2020,5,3,MT,30,Montana
385,1/28/20,Nebraska,0.0,2020,5,3,NE,31,Nebraska
386,1/28/20,Nevada,0.0,2020,5,3,NV,32,Nevada
387,1/28/20,New Hampshire,0.0,2020,5,3,NH,33,New Hampshire
388,1/28/20,New Jersey,0.0,2020,5,3,NJ,34,New Jersey
389,1/28/20,New Mexico,0.0,2020,5,3,NM,35,New Mexico
390,1/28/20,New York,0.0,2020,5,3,NY,36,New York
391,1/28/20,North Carolina,0.0,2020,5,3,NC,37,North Carolina
392,1/28/20,North Dakota,0.0,2020,5,3,ND,38,North Dakota
394,1/28/20,Ohio,0.0,2020,5,3,OH,39,Ohio
395,1/28/20,Oklahoma,0.0,2020,5,3,OK,40,Oklahoma
396,1/28/20,Oregon,0.0,2020,5,3,OR,41,Oregon
397,1/28/20,Pennsylvania,0.0,2020,5,3,PA,42,Pennsylvania
399,1/28/20,Rhode Island,0.0,2020,5,3,RI,44,Rhode Island
400,1/28/20,South Carolina,0.0,2020,5,3,SC,45,South Carolina
401,1/28/20,South Dakota,0.0,2020,5,3,SD,46,South Dakota
402,1/28/20,Tennessee,0.0,2020,5,3,TN,47,Tennessee
403,1/28/20,Texas,0.0,2020,5,3,TX,48,Texas
404,1/28/20,Utah,0.0,2020,5,3,UT,49,Utah
405,1/28/20,Vermont,0.0,2020,5,3,VT,50,Vermont
407,1/28/20,Virginia,0.0,2020,5,3,VA,51,Virginia
408,1/28/20,Washington,0.0,2020,5,3,WA,53,Washington
409,1/28/20,West Virginia,0.0,2020,5,3,WV,54,West Virginia
410,1/28/20,Wisconsin,0.0,2020,5,3,WI,55,Wisconsin
411,1/28/20,Wyoming,0.0,2020,5,3,WY,56,Wyoming
412,1/28/20,US,0.0,2020,5,3,nat,US,
413,1/29/20,Alabama,0.0,2020,5,4,AL,01,Alabama
414,1/29/20,Alaska,0.0,2020,5,4,AK,02,Alaska
416,1/29/20,Arizona,0.0,2020,5,4,AZ,04,Arizona
417,1/29/20,Arkansas,0.0,2020,5,4,AR,05,Arkansas
418,1/29/20,California,0.0,2020,5,4,CA,06,California
419,1/29/20,Colorado,0.0,2020,5,4,CO,08,Colorado
420,1/29/20,Connecticut,0.0,2020,5,4,CT,09,Connecticut
421,1/29/20,Delaware,0.0,2020,5,4,DE,10,Delaware
423,1/29/20,District of Columbia,0.0,2020,5,4,DC,11,District of Columbia
424,1/29/20,Florida,0.0,2020,5,4,FL,12,Florida
425,1/29/20,Georgia,0.0,2020,5,4,GA,13,Georgia
428,1/29/20,Hawaii,0.0,2020,5,4,HI,15,Hawaii
429,1/29/20,Idaho,0.0,2020,5,4,ID,16,Idaho
430,1/29/20,Illinois,0.0,2020,5,4,IL,17,Illinois
431,1/29/20,Indiana,0.0,2020,5,4,IN,18,Indiana
432,1/29/20,Iowa,0.0,2020,5,4,IA,19,Iowa
433,1/29/20,Kansas,0.0,2020,5,4,KS,20,Kansas
434,1/29/20,Kentucky,0.0,2020,5,4,KY,21,Kentucky
435,1/29/20,Louisiana,0.0,2020,5,4,LA,22,Louisiana
436,1/29/20,Maine,0.0,2020,5,4,ME,23,Maine
437,1/29/20,Maryland,0.0,2020,5,4,MD,24,Maryland
438,1/29/20,Massachusetts,0.0,2020,5,4,MA,25,Massachusetts
439,1/29/20,Michigan,0.0,2020,5,4,MI,26,Michigan
440,1/29/20,Minnesota,0.0,2020,5,4,MN,27,Minnesota
441,1/29/20,Mississippi,0.0,2020,5,4,MS,28,Mississippi
442,1/29/20,Missouri,0.0,2020,5,4,MO,29,Missouri
443,1/29/20,Montana,0.0,2020,5,4,MT,30,Montana
444,1/29/20,Nebraska,0.0,2020,5,4,NE,31,Nebraska
445,1/29/20,Nevada,0.0,2020,5,4,NV,32,Nevada
446,1/29/20,New Hampshire,0.0,2020,5,4,NH,33,New Hampshire
447,1/29/20,New Jersey,0.0,2020,5,4,NJ,34,New Jersey
448,1/29/20,New Mexico,0.0,2020,5,4,NM,35,New Mexico
449,1/29/20,New York,0.0,2020,5,4,NY,36,New York
450,1/29/20,North Carolina,0.0,2020,5,4,NC,37,North Carolina
451,1/29/20,North Dakota,0.0,2020,5,4,ND,38,North Dakota
453,1/29/20,Ohio,0.0,2020,5,4,OH,39,Ohio
454,1/29/20,Oklahoma,0.0,2020,5,4,OK,40,Oklahoma
455,1/29/20,Oregon,0.0,2020,5,4,OR,41,Oregon
456,1/29/20,Pennsylvania,0.0,2020,5,4,PA,42,Pennsylvania
458,1/29/20,Rhode Island,0.0,2020,5,4,RI,44,Rhode Island
459,1/29/20,South Carolina,0.0,2020,5,4,SC,45,South Carolina
