location,target_end_date,quantile,value,forecast_date,horizon
34,2022-12-06,0.010,132.19652025736227,2022-12-04,2
35,2022-12-06,0.010,18.565666933308755,2022-12-04,2
36,2022-12-06,0.010,298.55339365434514,2022-12-04,2
37,2022-12-06,0.010,54.01758199179387,2022-12-04,2
38,2022-12-06,0.010,4.1954972205651515,2022-12-04,2
39,2022-12-06,0.010,153.77393465200106,2022-12-04,2
40,2022-12-06,0.010,39.48878524545742,2022-12-04,2
41,2022-12-06,0.010,29.556998225042893,2022-12-04,2
42,2022-12-06,0.010,140.93179303520412,2022-12-04,2
44,2022-12-06,0.010,4.373905556172388,2022-12-04,2
45,2022-12-06,0.010,25.576995361092788,2022-12-04,2
46,2022-12-06,0.010,4.209241985089752,2022-12-04,2
47,2022-12-06,0.010,43.41846788859465,2022-12-04,2
48,2022-12-06,0.010,280.1060478300792,2022-12-04,2
49,2022-12-06,0.010,29.40751336177104,2022-12-04,2
50,2022-12-06,0.010,1.4284172844022367,2022-12-04,2
51,2022-12-06,0.010,43.422581233490725,2022-12-04,2
53,2022-12-06,0.010,33.736314373956226,2022-12-04,2
54,2022-12-06,0.010,11.5866910367599,2022-12-04,2
55,2022-12-06,0.010,59.812490119265405,2022-12-04,2
56,2022-12-06,0.010,3.6824264855531568,2022-12-04,2
60,2022-12-06,0.010,0.001591981060605098,2022-12-04,2
72,2022-12-06,0.010,7.116484645794575,2022-12-04,2
78,2022-12-06,0.010,0.00010105979405763721,2022-12-04,2
US,2022-12-06,0.010,4407.808970727705,2022-12-04,2
01,2022-12-07,0.010,36.595437849092775,2022-12-04,3
02,2022-12-07,0.010,2.5171131925986177,2022-12-04,3
04,2022-12-07,0.010,134.9530453403136,2022-12-04,3
05,2022-12-07,0.010,17.515922899132242,2022-12-04,3
06,2022-12-07,0.010,570.3759764750341,2022-12-04,3
08,2022-12-07,0.010,56.52664235581887,2022-12-04,3
09,2022-12-07,0.010,36.565718021358286,2022-12-04,3
10,2022-12-07,0.010,7.385082792997421,2022-12-04,3
11,2022-12-07,0.010,5.259350482285223,2022-12-04,3
12,2022-12-07,0.010,140.5642381700505,2022-12-04,3
13,2022-12-07,0.010,74.28776030445825,2022-12-04,3
15,2022-12-07,0.010,5.006938322584743,2022-12-04,3
16,2022-12-07,0.010,12.905031059767774,2022-12-04,3
17,2022-12-07,0.010,172.3390467100473,2022-12-04,3
18,2022-12-07,0.010,77.54595261239268,2022-12-04,3
19,2022-12-07,0.010,23.624450822546127,2022-12-04,3
20,2022-12-07,0.010,29.580527626840958,2022-12-04,3
21,2022-12-07,0.010,40.51535145301183,2022-12-04,3
22,2022-12-07,0.010,40.884653955817065,2022-12-04,3
23,2022-12-07,0.010,3.557332828949599,2022-12-04,3
24,2022-12-07,0.010,41.829736929372544,2022-12-04,3
25,2022-12-07,0.010,71.10428151452643,2022-12-04,3
26,2022-12-07,0.010,87.87395153752102,2022-12-04,3
27,2022-12-07,0.010,52.15462105889886,2022-12-04,3
28,2022-12-07,0.010,13.115131301762604,2022-12-04,3
29,2022-12-07,0.010,77.96663849453329,2022-12-04,3
30,2022-12-07,0.010,7.324811916043111,2022-12-04,3
31,2022-12-07,0.010,22.69938054320169,2022-12-04,3
32,2022-12-07,0.010,29.438861187761017,2022-12-04,3
33,2022-12-07,0.010,7.206214059092248,2022-12-04,3
34,2022-12-07,0.010,128.00623925433686,2022-12-04,3
35,2022-12-07,0.010,19.269104682905542,2022-12-04,3
36,2022-12-07,0.010,283.735397479922,2022-12-04,3
37,2022-12-07,0.010,50.89658353819427,2022-12-04,3
38,2022-12-07,0.010,4.797391831269817,2022-12-04,3
39,2022-12-07,0.010,149.63884339058447,2022-12-04,3
40,2022-12-07,0.010,38.90122672538828,2022-12-04,3
41,2022-12-07,0.010,29.94744768258341,2022-12-04,3
42,2022-12-07,0.010,134.4405066887402,2022-12-04,3
44,2022-12-07,0.010,4.003468327131185,2022-12-04,3
45,2022-12-07,0.010,23.998286946644317,2022-12-04,3
46,2022-12-07,0.010,3.949158889038775,2022-12-04,3
47,2022-12-07,0.010,43.1839599852715,2022-12-04,3
48,2022-12-07,0.010,282.11199047882735,2022-12-04,3
49,2022-12-07,0.010,29.6402460070684,2022-12-04,3
50,2022-12-07,0.010,1.3502615866856262,2022-12-04,3
51,2022-12-07,0.010,40.59073573065357,2022-12-04,3
53,2022-12-07,0.010,32.00616092271248,2022-12-04,3
54,2022-12-07,0.010,11.587579307029584,2022-12-04,3
55,2022-12-07,0.010,55.60865136014912,2022-12-04,3
56,2022-12-07,0.010,3.827910484765383,2022-12-04,3
60,2022-12-07,0.010,0.003351228243372605,2022-12-04,3
72,2022-12-07,0.010,6.130491935918272,2022-12-04,3
78,2022-12-07,0.010,0.0002635159938628378,2022-12-04,3
US,2022-12-07,0.010,4424.522217378933,2022-12-04,3
01,2022-12-08,0.010,35.83734340344481,2022-12-04,4
02,2022-12-08,0.010,2.029222542641097,2022-12-04,4
04,2022-12-08,0.010,132.55497186667108,2022-12-04,4
05,2022-12-08,0.010,17.20586565616788,2022-12-04,4
06,2022-12-08,0.010,514.9602409669246,2022-12-04,4
08,2022-12-08,0.010,53.88446686237235,2022-12-04,4
09,2022-12-08,0.010,36.60507459628762,2022-12-04,4
10,2022-12-08,0.010,6.9754956306138425,2022-12-04,4
11,2022-12-08,0.010,4.4786986009952345,2022-12-04,4
12,2022-12-08,0.010,130.07535504895102,2022-12-04,4
13,2022-12-08,0.010,73.6945966064282,2022-12-04,4
15,2022-12-08,0.010,4.690999090380281,2022-12-04,4
16,2022-12-08,0.010,12.343668182982665,2022-12-04,4
17,2022-12-08,0.010,166.61277386201658,2022-12-04,4
18,2022-12-08,0.010,76.45781490529261,2022-12-04,4
19,2022-12-08,0.010,23.605314390205063,2022-12-04,4
20,2022-12-08,0.010,28.846166317632985,2022-12-04,4
21,2022-12-08,0.010,40.45689167899768,2022-12-04,4
22,2022-12-08,0.010,39.079532265312025,2022-12-04,4
23,2022-12-08,0.010,3.209583713700945,2022-12-04,4
24,2022-12-08,0.010,37.16189598897747,2022-12-04,4
25,2022-12-08,0.010,66.73011867031038,2022-12-04,4
26,2022-12-08,0.010,87.84998199408948,2022-12-04,4
27,2022-12-08,0.010,50.72318247666521,2022-12-04,4
28,2022-12-08,0.010,11.995027566191107,2022-12-04,4
29,2022-12-08,0.010,75.80393222716457,2022-12-04,4
30,2022-12-08,0.010,6.624822115061858,2022-12-04,4
31,2022-12-08,0.010,23.831635746174424,2022-12-04,4
32,2022-12-08,0.010,28.405567337479315,2022-12-04,4
33,2022-12-08,0.010,6.646827171878447,2022-12-04,4
34,2022-12-08,0.010,120.17127268655018,2022-12-04,4
35,2022-12-08,0.010,18.33864621957543,2022-12-04,4
36,2022-12-08,0.010,265.33426091245866,2022-12-04,4
37,2022-12-08,0.010,49.134194649849704,2022-12-04,4
38,2022-12-08,0.010,4.639863977085296,2022-12-04,4
