target_end_date,quantile,value,type,location,forecast_date,target
2022-09-01,0.01,72.27766,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.025,85.704056,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.05,95.61113,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.1,105.87876,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.15,112.05517,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.2,117.87564,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.25,123.087166,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.3,126.88518,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.35,129.50792,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.4,133.13039,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.45,138.01085,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.5,143.89812,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.55,146.27487,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.6,151.97876,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.65,156.34097,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.7,160.93378,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.75,167.08737,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.8,173.56851,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.85,181.21313,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.9,190.8475,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.95,210.11717,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.975,231.44635,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-01,0.99,255.40146,quantile,01,2022-08-28,4 day ahead inc hosp
2022-09-02,0.01,65.476456,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.025,77.87607,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.05,87.39013,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.1,96.95607,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.15,102.99023,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.2,108.87275,quantile,01,2022-08-28,5 day ahead inc hosp
2022-09-02,0.25,113.92947,quantile,01,2022-08-28,5 day ahead inc hosp
