time,quantile,hosp_curr,cum_death,death,infections,cum_infections,hosp
2020-03-02,85%,28,1,0,827,3374,7
2020-03-02,90%,35,2,1,1003.8000000000011,4135.600000000002,9
2020-03-02,95%,44,2,1,1335,5413.599999999997,12
2020-03-02,97.5%,58,3,1,1768.1999999999962,6952,15
2020-03-02,99%,75,4,2,2378.4799999999996,9049.799999999985,20
2020-03-03,1%,1,0,0,328.52,1077,0
2020-03-03,2.5%,2,0,0,351,1159,0
2020-03-03,5%,3,0,0,371,1266.6,0
2020-03-03,10%,4,0,0,406,1420.4,1
2020-03-03,15%,5,0,0,433,1541,1
2020-03-03,20%,7,0,0,457,1663.0000000000005,1
2020-03-03,25%,8,0,0,485,1784,2
2020-03-03,30%,9,0,0,511,1929,2
2020-03-03,35%,10,0,0,538,2037,2
2020-03-03,40%,12,0,0,566.8000000000002,2157,3
2020-03-03,45%,13,0,0,595.4000000000001,2298,3
2020-03-03,50%,15,0,0,628,2461,4
2020-03-03,55%,17,1,0,662.6000000000004,2616,4
2020-03-03,60%,19,1,0,717,2819.4000000000005,5
2020-03-03,65%,21,1,0,765,3035,5
2020-03-03,70%,24,1,0,826.4000000000005,3316,6
2020-03-03,75%,27,1,0,898.0000000000009,3608,7
2020-03-03,80%,31,1,0,993.6000000000004,3979.800000000001,8
2020-03-03,85%,37,2,0,1129,4484.200000000001,9
2020-03-03,90%,45,2,1,1342.800000000001,5458.40000000002,12
2020-03-03,95%,57,3,1,1773.7999999999993,7206,15
2020-03-03,97.5%,77,4,1,2346,9253.199999999964,20
2020-03-03,99%,100.47999999999956,5,2,3212,12265,27
2020-03-04,1%,2,0,0,440.52,1517,0
2020-03-04,2.5%,3,0,0,467,1628,0
2020-03-04,5%,4,0,0,494,1770.2000000000003,1
2020-03-04,10%,6,0,0,532,1960.2,1
2020-03-04,15%,7,0,0,566,2114.6,2
2020-03-04,20%,9,0,0,600,2271,2
2020-03-04,25%,10,0,0,634,2415,2
2020-03-04,30%,12,0,0,666.5999999999999,2594.6,3
2020-03-04,35%,14,0,0,702,2746.2000000000003,3
2020-03-04,40%,15,0,0,738,2888.8,4
2020-03-04,45%,17,0,0,778,3084.4,4
2020-03-04,50%,20,1,0,821,3286,5
2020-03-04,55%,22,1,0,872,3470.6000000000004,5
2020-03-04,60%,24,1,0,929.4000000000005,3750.4000000000005,6
2020-03-04,65%,27,1,0,996,4045.6000000000013,7
2020-03-04,70%,31,1,0,1074,4367.4000000000005,8
2020-03-04,75%,35,1,0,1177,4781.000000000001,9
2020-03-04,80%,40,2,0,1303,5288,10
2020-03-04,85%,48,2,1,1470,5919.200000000008,12
2020-03-04,90%,58,3,1,1773,7178,15
2020-03-04,95%,76,3.399999999999636,1,2340.3999999999996,9544.599999999999,20
2020-03-04,97.5%,99,4,2,3075,12350.999999999927,27
2020-03-04,99%,132,6,2,4347,16620.159999999938,35
2020-03-05,1%,3,0,0,592.52,2129,0
2020-03-05,2.5%,5,0,0,622.8,2258.4,1
2020-03-05,5%,6,0,0,659,2426,1
2020-03-05,10%,8,0,0,705,2667,2
2020-03-05,15%,10,0,0,750,2866,3
2020-03-05,20%,12,0,0,791,3069,3
2020-03-05,25%,14,0,0,832,3247,4
2020-03-05,30%,17,0,0,877,3474.2,4
2020-03-05,35%,19,0,0,917,3658,5
2020-03-05,40%,21,0,0,963,3861,6
2020-03-05,45%,24,1,0,1019,4104,6
2020-03-05,50%,26,1,0,1072,4348,7
2020-03-05,55%,29,1,0,1135,4601.4000000000015,8
2020-03-05,60%,32,1,0,1213,4962,9
2020-03-05,65%,36,1,0,1306,5363.800000000007,10
2020-03-05,70%,41,2,0,1400,5760.4000000000005,11
2020-03-05,75%,47,2,0,1528,6327.000000000012,13
2020-03-05,80%,53,2,1,1703,6985,15
2020-03-05,85%,63,3,1,1926,7898,17
2020-03-05,90%,77,3,1,2308.8000000000065,9483,21
2020-03-05,95%,101,4,1,3097,12568.599999999995,27
2020-03-05,97.5%,131,5,2,4116,16367.999999999887,35
2020-03-05,99%,176.95999999999913,7,3,5788.5199999999895,22362.59999999999,45.47999999999956
2020-03-06,1%,5,0,0,843,2970,1
2020-03-06,2.5%,7,0,0,882.8000000000001,3144,1
2020-03-06,5%,9,0,0,924.6,3356.2,2
2020-03-06,10%,12,0,0,987.2,3645.6000000000004,3
2020-03-06,15%,14,0,0,1045,3916,4
2020-03-06,20%,17,0,0,1103,4176,4
2020-03-06,25%,20,0,0,1151,4408,5
2020-03-06,30%,23,0,0,1206.6,4676,6
2020-03-06,35%,26,1,0,1259.2000000000003,4918.6,7
2020-03-06,40%,29,1,0,1326,5185,8
2020-03-06,45%,32,1,0,1387,5488.4,9
2020-03-06,50%,35,1,0,1452,5811,10
2020-03-06,55%,39,1,0,1546,6158,11
2020-03-06,60%,44,1,0,1639,6602,12
2020-03-06,65%,49,2,0,1762.8000000000006,7116,13
2020-03-06,70%,55,2,0,1877,7634,15
2020-03-06,75%,62,2,1,2050.000000000002,8414,17
2020-03-06,80%,71,3,1,2283,9277,19
2020-03-06,85%,84,3,1,2564,10421,23
2020-03-06,90%,102,4,1,3101,12501,28
2020-03-06,95%,133,5,2,4118.199999999992,16604.79999999999,36
2020-03-06,97.5%,174,7,2,5486,21895.79999999997,47
2020-03-06,99%,234.47999999999956,9,3,7692,30346,63
2020-03-07,1%,8,0,0,1190,4188.6,1
2020-03-07,2.5%,10,0,0,1236,4391,2
2020-03-07,5%,12,0,0,1294.6,4656,3
2020-03-07,10%,16,0,0,1376.2,5035.2,4
2020-03-07,15%,20,0,0,1449,5373,5
2020-03-07,20%,23,0,0,1530,5719,6
2020-03-07,25%,27,0,0,1591,5988,7
2020-03-07,30%,31,1,0,1647,6330.6,8
2020-03-07,35%,34,1,0,1726,6638.800000000001,9
2020-03-07,40%,38,1,0,1805,7004,10
2020-03-07,45%,43,1,0,1886.4,7375,12
2020-03-07,50%,47,1,0,1983,7797,13
2020-03-07,55%,53,2,0,2085.6000000000004,8255,14
2020-03-07,60%,58,2,0,2207.2000000000003,8821,16
2020-03-07,65%,65,2,0,2364,9475.600000000002,17
2020-03-07,70%,73,3,1,2521.800000000001,10128.000000000004,20
2020-03-07,75%,83,3,1,2735,11143,22
2020-03-07,80%,95,3,1,3048.6000000000004,12364.2,25
2020-03-07,85%,112,4,1,3430.600000000002,13879.800000000014,30
2020-03-07,90%,135,5,2,4110.400000000009,16683.80000000004,36
2020-03-07,95%,176,7,2,5475.399999999985,22082,46
2020-03-07,97.5%,232,8,3,7302.399999999997,28840.999999999985,61
2020-03-07,99%,311,12,4,10393.959999999934,40885.39999999999,82.47999999999956
2020-03-08,1%,12,0,0,1608.6,5840,2
2020-03-08,2.5%,14,0,0,1680,6098,3
2020-03-08,5%,17,0,0,1754,6404,4
2020-03-08,10%,23,0,0,1852,6868,6
2020-03-08,15%,27,0,0,1950,7330.4000000000005,7
2020-03-08,20%,31,0,0,2046,7762,8
2020-03-08,25%,36,1,0,2131,8124,10
2020-03-08,30%,42,1,0,2210.6,8543,11
2020-03-08,35%,46,1,0,2302,8933.2,12
2020-03-08,40%,52,1,0,2408.6000000000004,9414.800000000001,14
2020-03-08,45%,58,2,0,2508,9894.4,15
2020-03-08,50%,64,2,0,2626,10424,17
2020-03-08,55%,70,2,0,2772,11023,19
2020-03-08,60%,78,3,1,2921.800000000001,11703.400000000001,21
2020-03-08,65%,87,3,1,3133,12622.800000000007,23
2020-03-08,70%,97.40000000000055,3,1,3349.4000000000005,13450.000000000004,26
2020-03-08,75%,111,4,1,3621.0000000000036,14712,30
2020-03-08,80%,125.60000000000036,4,1,4002.2000000000007,16346.800000000003,34
2020-03-08,85%,149.20000000000073,5,2,4531,18465.000000000007,39
2020-03-08,90%,179,7,2,5447,22182,47
2020-03-08,95%,232.39999999999964,9,3,7240.199999999999,29302.799999999985,62
2020-03-08,97.5%,303,11,3,9701,38842.999999999956,82
2020-03-08,99%,415.47999999999956,14,4.4799999999995634,14003.679999999917,55171.75999999982,111.47999999999956
2020-03-09,1%,17,0,0,2188,8034,4
2020-03-09,2.5%,20,0,0,2289,8386,5
2020-03-09,5%,25,0,0,2367,8802,6
2020-03-09,10%,31,0,0,2497,9354,8
2020-03-09,15%,37,1,0,2621,9944,10
2020-03-09,20%,43,1,0,2762,10523,12
2020-03-09,25%,49,1,0,2846,10983,13
2020-03-09,30%,56,1,0,2956,11459,15
2020-03-09,35%,62,2,0,3084,12001.600000000002,17
2020-03-09,40%,71,2,0,3212,12605,19
2020-03-09,45%,78,2,0,3337,13240.600000000002,21
2020-03-09,50%,87,3,1,3499,13881,24
2020-03-09,55%,95,3,1,3669,14686.2,26
2020-03-09,60%,107,3,1,3881,15591,29
2020-03-09,65%,118,4,1,4150,16765,32
2020-03-09,70%,132,4,1,4421,17878,36
2020-03-09,75%,148,5,1,4769,19525.000000000004,40
2020-03-09,80%,169,6,2,5331.6,21678,46
2020-03-09,85%,198,7,2,5979.600000000006,24358,52
2020-03-09,90%,237.8000000000011,8,2,7127.8000000000175,29225,62
2020-03-09,95%,314,11,3,9674,38806,84
2020-03-09,97.5%,409,14,4,12644.799999999996,52034.399999999936,108
2020-03-09,99%,553,19,6,18614.43999999991,73694.51999999981,146
2020-03-10,1%,26,0,0,2895.04,10943,6
2020-03-10,2.5%,30,0,0,2989,11412,8
2020-03-10,5%,35,0,0,3110,11910.2,9
2020-03-10,10%,44,1,0,3280.4,12632,12
2020-03-10,15%,51,1,0,3445,13423,14
2020-03-10,20%,59,1,0,3599.4,14147.600000000002,16
2020-03-10,25%,68,2,0,3730,14722,19
2020-03-10,30%,77,2,0,3872.6,15300.199999999999,21
2020-03-10,35%,86,2,0,4021,15997.800000000003,24
2020-03-10,40%,97,3,1,4182,16791.2,27
2020-03-10,45%,107,3,1,4351.4,17542,30
2020-03-10,50%,119,3,1,4566,18412,33
2020-03-10,55%,131,4,1,4801,19487,37
2020-03-10,60%,145,5,1,5049,20672,41
2020-03-10,65%,161,5,1,5370.8,22137.00000000003,45
2020-03-10,70%,179,6,2,5750,23558.000000000004,50
2020-03-10,75%,200,7,2,6214.000000000001,25668.000000000004,55
2020-03-10,80%,228,8,2,6943,28649,62
2020-03-10,85%,268,9,3,7811,32035.600000000035,72
2020-03-10,90%,319,11,3,9338,38748.8,86
2020-03-10,95%,418.39999999999964,15,4,12720.199999999964,51311.999999999854,112
2020-03-10,97.5%,547,19,6,16706.19999999998,68718,147
2020-03-10,99%,751.7599999999948,25.479999999999563,7,25420.639999999807,98105.6799999995,198
2020-03-11,1%,37,0,0,3690.56,14664,9
2020-03-11,2.5%,42,0,0,3844,15280.2,11
2020-03-11,5%,49,0,0,3990,15951.2,13
2020-03-11,10%,59.200000000000045,1,0,4207,16836,16
2020-03-11,15%,70,1,0,4402,17844,19
2020-03-11,20%,81,2,0,4625,18775,22
2020-03-11,25%,92,2,0,4795,19514,25
2020-03-11,30%,104,3,0,4966,20270,28
2020-03-11,35%,116,3,1,5163,21148.200000000004,31
2020-03-11,40%,131,4,1,5353.6,22194.2,35
2020-03-11,45%,145.4000000000001,4,1,5567,23138.6,39
2020-03-11,50%,161,5,1,5843,24271,44
2020-03-11,55%,178,5,1,6133,25663.600000000002,48
2020-03-11,60%,197,6,2,6475,27094,54
2020-03-11,65%,218,7,2,6892,29041.000000000007,59
2020-03-11,70%,241,8,2,7401.4000000000005,30940.200000000004,64
2020-03-11,75%,268.0000000000009,9,2,8042.000000000007,33750,72
2020-03-11,80%,305,10,3,8960,37581.8,81
2020-03-11,85%,355,12,3,10130.400000000001,42174.40000000008,92
2020-03-11,90%,421.8000000000011,14,4,12106.800000000077,50980.600000000144,111.80000000000109
2020-03-11,95%,562,19,5,16503.19999999985,67812,147.39999999999964
2020-03-11,97.5%,735.1999999999998,25,7,21846,90240,196.19999999999982
2020-03-11,99%,1008.9199999999983,33,9,33217.23999999959,130216.95999999894,263.9599999999991
2020-03-12,1%,53,0,0,4953.5599999999995,19646.6,13
2020-03-12,2.5%,58,0,0,5159.5999999999995,20485.199999999997,15
2020-03-12,5%,67,1,0,5365.6,21352,17
2020-03-12,10%,80,2,0,5633,22484,21
2020-03-12,15%,94,2,0,5886,23777,25
2020-03-12,20%,110,3,0,6169,24979.2,29
2020-03-12,25%,124,3,1,6402,25916,33
2020-03-12,30%,140,4,1,6641,26875.6,37
2020-03-12,35%,156,4,1,6897,28031,41
2020-03-12,40%,175,5,1,7143.800000000001,29386,46
2020-03-12,45%,195,6,1,7429,30554,52
2020-03-12,50%,218,6,2,7754,32060,58
2020-03-12,55%,240,7,2,8129,33739,64
2020-03-12,60%,265,8,2,8577,35692.600000000006,71
2020-03-12,65%,292,9,2,9120.800000000001,38246.4,77
2020-03-12,70%,323,10,3,9731.2,40681,85
2020-03-12,75%,359,11,3,10579,44264.00000000007,94
2020-03-12,80%,405,13,4,11792.800000000001,49515,105.60000000000036
2020-03-12,85%,469,15,4,13355.200000000004,55612,120
2020-03-12,90%,561.8000000000011,19,5,15858.400000000009,66609.40000000024,145.8000000000011
2020-03-12,95%,747.3999999999996,25,7,21678.199999999946,90073.79999999992,194
2020-03-12,97.5%,983.1999999999998,32.19999999999982,9,28632,118137,258.1999999999998
2020-03-12,99%,1330.319999999996,43,11,43835.11999999934,174997.27999999962,346.8799999999974
2020-03-13,1%,74.52000000000001,0,0,6471.5599999999995,26177.96,19
2020-03-13,2.5%,81,1,0,6795,27352.6,21
2020-03-13,5%,92,2,0,7053,28441,24.600000000000023
2020-03-13,10%,108,2.2000000000000455,0,7419,29932.4,29
2020-03-13,15%,127,3,0,7742.6,31537.4,34
2020-03-13,20%,149,4,1,8085.4000000000005,33106.8,39
2020-03-13,25%,168,5,1,8399,34317,45
2020-03-13,30%,190,5,1,8698,35523,51
2020-03-13,35%,212,6,1,8991,37148.4,56
2020-03-13,40%,235,7,2,9330,38694,63
2020-03-13,45%,262,8,2,9670.4,40137,69
2020-03-13,50%,294,9,2,10146,42201,78
2020-03-13,55%,326,10,2,10634.2,44313.40000000001,87
2020-03-13,60%,357,11,3,11159.600000000002,46817.8,97
2020-03-13,65%,395,12,3,11882.400000000001,50101,107
2020-03-13,70%,434,14,4,12638.800000000001,53376.8,117
2020-03-13,75%,484.0000000000009,15,4,13811,58001.000000000044,128
2020-03-13,80%,541.6000000000004,17,5,15354,64944.000000000015,143
2020-03-13,85%,622.2000000000007,21,6,17427,72896,163
2020-03-13,90%,745,25,7,20629.800000000003,87467.2000000001,194
2020-03-13,95%,986,32,9,28323,119100.79999999964,255
2020-03-13,97.5%,1329,42,11,37495.39999999995,154581.59999999986,349
2020-03-13,99%,1776.0799999999908,57,15,57702.83999999927,233686.1999999974,466.9599999999991
2020-03-14,1%,105,1,0,8395,34616.36,27
2020-03-14,2.5%,114,2,0,8794,36155.8,31
2020-03-14,5%,127,3,0,9131.4,37538,35
2020-03-14,10%,148,4,1,9641.6,39564,41
2020-03-14,15%,173,5,1,10079.6,41590.600000000006,47
2020-03-14,20%,202,6,1,10526,43593,54
2020-03-14,25%,229,7,1,10894,45197,62
2020-03-14,30%,257,8,2,11297.2,46757,70
2020-03-14,35%,285,9,2,11688.2,48828,77
2020-03-14,40%,317,10,2,12117.6,50799,86
2020-03-14,45%,352,11,3,12570,52703,95
2020-03-14,50%,399,12,3,13137,55312,106
2020-03-14,55%,442,13,3,13743.200000000004,58141.00000000001,119.60000000000036
2020-03-14,60%,484,15,4,14452,61196,132
2020-03-14,65%,534,16,4,15369,65490.200000000026,145
2020-03-14,70%,588,18,5,16345,69838.20000000007,158
2020-03-14,75%,650.0000000000009,20,6,17922.000000000007,75776.00000000003,174
2020-03-14,80%,728,23,6,19810,84868,193
2020-03-14,85%,833,27,7,22474,95641.60000000011,218
2020-03-14,90%,995,33,9,26741.200000000015,114197.40000000026,260
2020-03-14,95%,1310,43,12,36690,155031.7999999993,342
2020-03-14,97.5%,1785.3999999999987,57,15,48696,203670.8,460.39999999999964
2020-03-14,99%,2375.5599999999904,75,21,74746.51999999935,307829.2799999954,631.9599999999991
2020-03-15,1%,145,2,0,10812,45502.8,38
2020-03-15,2.5%,158,3,0,11368,47579,42
2020-03-15,5%,174,4,0,11829.2,49595,47
2020-03-15,10%,200,5,1,12471,52023,54
2020-03-15,15%,231,7,1,12978,54594.6,62
2020-03-15,20%,273,8,2,13584,57207,72
2020-03-15,25%,310,9,2,14082,59394,84
2020-03-15,30%,346.5999999999999,10,2,14656,61510.399999999994,93
2020-03-15,35%,385,12,3,15144.800000000001,63911,104
2020-03-15,40%,426,13,3,15644,66359.40000000001,114
2020-03-15,45%,473,15,4,16231.199999999999,68956.8,126
2020-03-15,50%,537,16,4,16996,72354,142
2020-03-15,55%,598,18,5,17690.600000000002,75841.6,160
2020-03-15,60%,656,20,5,18700.800000000003,80197,177
2020-03-15,65%,720,22,6,19781,85220,194
2020-03-15,70%,793.4000000000005,24,7,21101,90923,212.40000000000055
2020-03-15,75%,872,28,7,23035.000000000015,99061.00000000003,232
2020-03-15,80%,976,31,8,25601.60000000001,110588.40000000004,257
2020-03-15,85%,1109,36,10,29083.000000000007,124693,289
2020-03-15,90%,1321,43,11,34615.80000000006,148233,346
2020-03-15,95%,1752,56,15,47694,201877.19999999958,450.7999999999993
2020-03-15,97.5%,2365.3999999999996,76,20,62479.39999999998,266226,613
2020-03-15,99%,3189.2399999999943,103.47999999999956,27,95132.63999999902,401813.2399999935,832.359999999997
2020-03-16,1%,200,3,0,13989.08,59316.08,53
2020-03-16,2.5%,218.8,4,0,14672.6,62343,59
2020-03-16,5%,237.60000000000002,6,1,15208.4,64823.2,64
2020-03-16,10%,269,7.2000000000000455,1,16099.2,68110,73
2020-03-16,15%,310.80000000000007,9,2,16811,71451,82
2020-03-16,20%,364,11,2,17527.4,74857,95
2020-03-16,25%,420,12,3,18174,77594,111
2020-03-16,30%,470.5999999999999,14,3,18882.6,80473,125
2020-03-16,35%,520,16,4,19483,83324.60000000002,139
2020-03-16,40%,572.8000000000002,18,4,20196.8,86473.40000000001,151
2020-03-16,45%,632,20,5,20937.200000000004,89878,167
2020-03-16,50%,720,22,6,21892,94316,189
2020-03-16,55%,803,24,6,22812,98695.20000000003,213
2020-03-16,60%,887,27,7,24055.600000000006,103947,238
2020-03-16,65%,969.8000000000006,30,8,25492,110763,260
2020-03-16,70%,1064,33,9,27240.20000000001,118060,283.40000000000055
2020-03-16,75%,1167,37,10,29623,128769.00000000003,308
2020-03-16,80%,1298,42,11,32895,143713.40000000002,337
2020-03-16,85%,1474.2000000000007,48,13,37423,162206,382.2000000000007
2020-03-16,90%,1757,58,15,44575.60000000008,193157.40000000127,452.8000000000011
2020-03-16,95%,2323.3999999999996,76,20,61422,265367,596.3999999999996
2020-03-16,97.5%,3137.7999999999993,102.19999999999982,26,79928.1999999999,345458.59999999957,802.9999999999991
2020-03-16,99%,4298.48,138,36,120222.9199999993,521739.75999999244,1119.4799999999996
2020-03-17,1%,275.52,5,0,17727.559999999998,77113,71
2020-03-17,2.5%,297,6,1,18640.4,81186.2,77
2020-03-17,5%,319,8,1,19436.2,84411.6,84
2020-03-17,10%,360,10,2,20605,88596.2,95
2020-03-17,15%,413,12,3,21527,92934.2,107
2020-03-17,20%,481.4000000000001,14,3,22349.600000000002,97288.6,124
2020-03-17,25%,563,16,4,23285,100917,146
2020-03-17,30%,629,19,5,24244.2,104914,164
2020-03-17,35%,691.2000000000003,21,5,25030,108329,181
2020-03-17,40%,760,24,6,25939,112352,196
2020-03-17,45%,839,27,7,26865.800000000003,116593,218
2020-03-17,50%,954,29,8,28069,122635,245
2020-03-17,55%,1073,33,8,29143,128109,279
2020-03-17,60%,1187,36,9,30831,134965.2,311
2020-03-17,65%,1302,40,10,32789.8,143566,340
2020-03-17,70%,1419,44,11,34942.2,152603.00000000003,370
2020-03-17,75%,1549.000000000001,49,13,37978.000000000015,166691,401
2020-03-17,80%,1723,55,14,42107.60000000001,185796.40000000002,445
2020-03-17,85%,1946,64,16,48111.399999999994,210056.80000000005,500
2020-03-17,90%,2316.800000000001,76,20,57269,249311,594.8000000000011
2020-03-17,95%,3063.199999999999,101,26,77845.59999999995,341896,786.7999999999993
2020-03-17,97.5%,4175.2,137,34,101008.19999999976,450169,1065.3999999999996
2020-03-17,99%,5744.799999999996,181.4399999999987,47,147759,670242.679999992,1483.319999999996
2020-03-18,1%,370,8,1,22447.04,99724,92
2020-03-18,2.5%,397,10,2,23657,104914,101
2020-03-18,5%,428,12,2,24573,108937.2,109
2020-03-18,10%,480,15,3,26147,114991.6,123
2020-03-18,15%,542.8000000000001,17,4,27371.600000000002,120364.20000000001,137
2020-03-18,20%,635,20,5,28541,125873,159
2020-03-18,25%,746,22,6,29708,130695,189
2020-03-18,30%,830,26,6,30805.799999999996,135797.6,211
2020-03-18,35%,917,29,7,31992.800000000003,140175.6,233
2020-03-18,40%,1002,32,8,33082,145260,253
2020-03-18,45%,1105.4,36,9,34280.4,150706,279.4000000000001
2020-03-18,50%,1253,40,10,35851,158489,315
2020-03-18,55%,1422.6000000000004,44,11,37165.8,165215,359
2020-03-18,60%,1571.2000000000003,49,13,39233.8,174034.40000000005,402
2020-03-18,65%,1726.8000000000006,54,14,41689,184985,437
2020-03-18,70%,1871,59,15,44629.60000000002,197470,475
2020-03-18,75%,2046,66,17,48470,215480.00000000003,515.0000000000009
2020-03-18,80%,2270.800000000001,74,19,53709.8,239556,571
2020-03-18,85%,2550.2000000000007,85,22,61338,270955.4000000001,640.2000000000007
2020-03-18,90%,3064.4000000000033,101,26,73106.00000000001,321658.4,770
2020-03-18,95%,4029.3999999999996,134,34,99112,441841,1017
2020-03-18,97.5%,5504.5999999999995,180,45,126545.59999999986,573570.1999999998,1395
2020-03-18,99%,7590.8399999999965,245.95999999999913,63,176719,849581.8799999919,1946.359999999997
2020-03-19,1%,492,12,2,28284.64,128359,124
2020-03-19,2.5%,529,14,3,29846.2,135033,134
2020-03-19,5%,565.6,16,3,31199.8,139944,145
2020-03-19,10%,636,20,5,33208,148230.2,164
2020-03-19,15%,717,23.800000000000068,6,34721.6,154891.4,184
2020-03-19,20%,837.4000000000001,27,7,36316,162004.8,212
2020-03-19,25%,987,31,8,37806,168403,252
2020-03-19,30%,1105,35,9,39143,175274.2,283
2020-03-19,35%,1213.2000000000003,39,10,40697.000000000015,180584,311
2020-03-19,40%,1325.8000000000002,43,11,42197,187670,338
2020-03-19,45%,1461,49,12,43687.2,194575.6,372
2020-03-19,50%,1655,54,14,45574,204083,418
2020-03-19,55%,1885,60,15,47340.000000000015,212622,476.60000000000036
2020-03-19,60%,2085.2000000000003,66,17,50000.6,224320,535.2000000000003
2020-03-19,65%,2288.8000000000006,72,19,53041.600000000006,237745.2,583
2020-03-19,70%,2481,80,21,56955.8,254140.20000000004,633
2020-03-19,75%,2701.000000000001,89,23,61740.000000000015,277038,687
2020-03-19,80%,2987,98,25,68159,307816,758.6000000000004
2020-03-19,85%,3368.4000000000015,113,28.200000000000728,78054.40000000004,348562.00000000035,848
2020-03-19,90%,4025.4000000000033,134,35,92417.20000000011,414960.80000000127,1004
2020-03-19,95%,5296.5999999999985,177,45,125344,565484,1325
2020-03-19,97.5%,7218.799999999999,243.19999999999982,61,154756,725011.199999998,1823.1999999999998
2020-03-19,99%,9969.839999999997,322.47999999999956,81,208292,1061702.0399999917,2517
2020-03-20,1%,662.52,17,3,34702.96,163029.72,163
2020-03-20,2.5%,702,19,4,36512,171520,177
2020-03-20,5%,753,23,5,38230,178085.4,192
2020-03-20,10%,841,27,7,40804.600000000006,189263.19999999998,216
2020-03-20,15%,942,32,8,42518,197771,240
2020-03-20,20%,1097,37,9,44236,206245.6,275
2020-03-20,25%,1306,42,11,46046,214441,329
2020-03-20,30%,1460.6,47.59999999999991,12,47589.4,223185,370
2020-03-20,35%,1606,52,13,49438.600000000006,230081.6,410
2020-03-20,40%,1751,58,15,51007,238988.80000000002,444
2020-03-20,45%,1923,65,17,52592.2,247528,484
2020-03-20,50%,2178,73,18,54849,258511,540
2020-03-20,55%,2487.6000000000004,80,20,56746,268984,622
2020-03-20,60%,2762.4000000000005,89,23,59425,283722.60000000003,698.4000000000005
2020-03-20,65%,3017,98,25,62630,300566.6000000001,765
2020-03-20,70%,3267.800000000001,108,28,66966.00000000003,321246.00000000035,827.4000000000005
2020-03-20,75%,3559.000000000001,118,30,71266,347903,898
2020-03-20,80%,3929.6000000000004,132,34,78684.80000000002,386243.80000000016,987
2020-03-20,85%,4417.4000000000015,150,38,89500,437643,1113.2000000000007
2020-03-20,90%,5284.0000000000055,178.8000000000011,45,104539,520757,1318
2020-03-20,95%,6943.399999999992,233,59,137978,702777,1735.7999999999993
2020-03-20,97.5%,9423.999999999998,320,78,169419,895295.5999999989,2361.2
2020-03-20,99%,13117.15999999996,428,107,215599,1281225.5599999898,3302.439999999988
2020-03-21,1%,874,24,4,42467,205282.84,215
2020-03-21,2.5%,928.8,27,6,44332,216652.6,231
2020-03-21,5%,995.6,31,7,46338,225202.40000000002,248.60000000000002
2020-03-21,10%,1106,37,9,49607,239039,279
2020-03-21,15%,1240.8000000000002,42,10,51525.200000000004,249579,312
2020-03-21,20%,1433,49,12,53476.8,259285,357
2020-03-21,25%,1717,57,14,55434,269989,427
2020-03-21,30%,1921.6,63,16,57257.2,280028,481
2020-03-21,35%,2115.2000000000003,70,18,59065,290133,529
2020-03-21,40%,2303,78,19,60964,299792.2,577
2020-03-21,45%,2524,86,22,62834.2,309975.4,628
2020-03-21,50%,2843,97,24,64855,323380,701
2020-03-21,55%,3257.2000000000007,108,27,67077.20000000001,335590,817
2020-03-21,60%,3635.2000000000003,120,30,69459,352802,914.4000000000005
