location,model,missingness_eligibility,q10_eligibility,nondecreasing_quantiles_eligibility,baseline_eligibility,overall_eligibility
02,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
02,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
02,QJHong-Encounter,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,RobertWalraven-ESG,eligible,eligible,eligible,"NA",eligible
02,UA-EpiCovDA,eligible,eligible,eligible,"NA",eligible
02,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
02,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
02,UMich-RidgeTfReg,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
02,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",eligible
02,UT-Mobility,eligible,eligible,eligible,"NA",eligible
02,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
04,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
04,Covid19Sim-Simulator,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
04,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
04,COVIDhub-baseline,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
04,CU-select,eligible,eligible,eligible,"NA",eligible
04,DDS-NBDS,eligible,eligible,eligible,"NA",eligible
04,epiforecasts-ensemble1,eligible,eligible,eligible,"NA",eligible
04,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
04,GT-DeepCOVID,eligible,eligible,eligible,"NA",eligible
04,IHME-CurveFit,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
04,IowaStateLW-STEM,eligible,eligible,eligible,"NA",eligible
04,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
04,Karlen-pypm,eligible,eligible,eligible,"NA",eligible
04,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
04,MITCovAlliance-SIR,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,decreasing quantiles over time,"NA",ineligible
04,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
04,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
04,NotreDame-mobility,eligible,eligible,eligible,"NA",eligible
04,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
04,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
04,QJHong-Encounter,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
04,RobertWalraven-ESG,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,decreasing quantiles over time,"NA",ineligible
04,UA-EpiCovDA,eligible,eligible,eligible,"NA",eligible
04,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
04,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
04,UMich-RidgeTfReg,eligible,eligible,decreasing quantiles over time,"NA",ineligible
04,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",eligible
04,UT-Mobility,eligible,eligible,eligible,"NA",eligible
04,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
05,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
05,Covid19Sim-Simulator,eligible,eligible,eligible,"NA",eligible
05,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
05,COVIDhub-baseline,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
05,CU-select,eligible,eligible,eligible,"NA",eligible
05,DDS-NBDS,eligible,eligible,eligible,"NA",eligible
05,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
05,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
05,GT-DeepCOVID,eligible,eligible,eligible,"NA",eligible
05,IHME-CurveFit,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
05,IowaStateLW-STEM,eligible,eligible,eligible,"NA",eligible
05,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
05,Karlen-pypm,eligible,eligible,eligible,"NA",eligible
05,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
05,MITCovAlliance-SIR,eligible,eligible,eligible,"NA",eligible
05,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
05,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
05,NotreDame-mobility,eligible,eligible,eligible,"NA",eligible
05,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
05,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
05,QJHong-Encounter,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
05,RobertWalraven-ESG,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
05,UA-EpiCovDA,eligible,eligible,eligible,"NA",eligible
05,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
05,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
05,UMich-RidgeTfReg,eligible,eligible,eligible,"NA",eligible
05,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",eligible
05,UT-Mobility,eligible,eligible,eligible,"NA",eligible
05,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
06,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
06,Covid19Sim-Simulator,eligible,eligible,eligible,"NA",eligible
06,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
06,COVIDhub-baseline,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
06,CU-select,eligible,eligible,eligible,"NA",eligible
06,DDS-NBDS,eligible,eligible,eligible,"NA",eligible
06,epiforecasts-ensemble1,eligible,eligible,eligible,"NA",eligible
06,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
06,GT-DeepCOVID,eligible,eligible,eligible,"NA",eligible
06,IHME-CurveFit,eligible,eligible,eligible,"NA",eligible
06,IowaStateLW-STEM,eligible,eligible,eligible,"NA",eligible
06,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
06,Karlen-pypm,eligible,eligible,eligible,"NA",eligible
06,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
06,MITCovAlliance-SIR,eligible,eligible,eligible,"NA",eligible
06,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
06,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
06,NotreDame-mobility,eligible,eligible,eligible,"NA",eligible
06,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
06,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
06,QJHong-Encounter,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
06,RobertWalraven-ESG,eligible,eligible,decreasing quantiles over time,"NA",ineligible
06,UA-EpiCovDA,eligible,eligible,eligible,"NA",eligible
06,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
06,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
06,UMich-RidgeTfReg,eligible,eligible,eligible,"NA",eligible
06,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",eligible
06,UT-Mobility,eligible,eligible,eligible,"NA",eligible
06,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
08,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
08,Covid19Sim-Simulator,eligible,eligible,eligible,"NA",eligible
08,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
08,COVIDhub-baseline,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
08,CU-select,eligible,eligible,eligible,"NA",eligible
08,DDS-NBDS,eligible,eligible,eligible,"NA",eligible
08,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
08,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
08,GT-DeepCOVID,eligible,eligible,eligible,"NA",eligible
08,IHME-CurveFit,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
08,IowaStateLW-STEM,eligible,eligible,eligible,"NA",eligible
08,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
08,Karlen-pypm,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
08,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
08,MITCovAlliance-SIR,eligible,eligible,eligible,"NA",eligible
08,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
08,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
08,NotreDame-mobility,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
08,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
08,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
08,QJHong-Encounter,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
08,RobertWalraven-ESG,eligible,eligible,eligible,"NA",eligible
08,UA-EpiCovDA,eligible,eligible,eligible,"NA",eligible
08,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
08,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
08,UMich-RidgeTfReg,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
08,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",eligible
08,UT-Mobility,eligible,eligible,eligible,"NA",eligible
08,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
09,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
09,Covid19Sim-Simulator,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
09,CovidAnalytics-DELPHI,eligible,eligible,decreasing quantiles over time,"NA",ineligible
09,COVIDhub-baseline,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
09,CU-select,eligible,eligible,eligible,"NA",eligible
09,DDS-NBDS,eligible,eligible,eligible,"NA",eligible
09,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
09,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
09,GT-DeepCOVID,eligible,eligible,eligible,"NA",eligible
09,IHME-CurveFit,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
09,IowaStateLW-STEM,eligible,eligible,eligible,"NA",eligible
09,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
09,Karlen-pypm,eligible,eligible,eligible,"NA",eligible
09,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
09,MITCovAlliance-SIR,eligible,eligible,eligible,"NA",eligible
09,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
09,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
09,NotreDame-mobility,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
09,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
09,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
09,QJHong-Encounter,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
09,RobertWalraven-ESG,eligible,eligible,eligible,"NA",eligible
09,UA-EpiCovDA,eligible,eligible,eligible,"NA",eligible
09,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
09,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
09,UMich-RidgeTfReg,eligible,eligible,eligible,"NA",eligible
09,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",eligible
09,UT-Mobility,eligible,eligible,eligible,"NA",eligible
09,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
10,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
10,Covid19Sim-Simulator,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
10,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
10,COVIDhub-baseline,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
10,CU-select,eligible,eligible,eligible,"NA",eligible
10,DDS-NBDS,eligible,eligible,eligible,"NA",eligible
10,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
10,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
10,GT-DeepCOVID,eligible,eligible,decreasing quantiles over time,"NA",ineligible
10,IHME-CurveFit,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
10,IowaStateLW-STEM,eligible,eligible,eligible,"NA",eligible
10,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
10,Karlen-pypm,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,decreasing quantiles over time,"NA",ineligible
10,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
10,MITCovAlliance-SIR,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
10,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
10,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
10,NotreDame-mobility,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
10,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
10,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
10,QJHong-Encounter,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
10,RobertWalraven-ESG,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,decreasing quantiles over time,"NA",ineligible
10,UA-EpiCovDA,eligible,eligible,eligible,"NA",eligible
10,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
10,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
10,UMich-RidgeTfReg,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
10,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",eligible
10,UT-Mobility,eligible,eligible,eligible,"NA",eligible
10,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
11,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
11,Covid19Sim-Simulator,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
11,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
11,COVIDhub-baseline,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
11,CU-select,eligible,eligible,eligible,"NA",eligible
11,DDS-NBDS,eligible,eligible,eligible,"NA",eligible
11,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
11,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
11,GT-DeepCOVID,eligible,eligible,eligible,"NA",eligible
11,IHME-CurveFit,eligible,eligible,eligible,"NA",eligible
11,IowaStateLW-STEM,eligible,eligible,eligible,"NA",eligible
11,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
11,Karlen-pypm,eligible,eligible,decreasing quantiles over time,"NA",ineligible
11,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
11,MITCovAlliance-SIR,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,decreasing quantiles over time,"NA",ineligible
11,MOBS-GLEAM_COVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
11,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
11,NotreDame-mobility,eligible,eligible,eligible,"NA",eligible
11,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
11,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
11,QJHong-Encounter,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
11,RobertWalraven-ESG,eligible,eligible,eligible,"NA",eligible
11,UA-EpiCovDA,eligible,eligible,eligible,"NA",eligible
11,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
11,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
11,UMich-RidgeTfReg,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
11,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",eligible
11,UT-Mobility,eligible,eligible,eligible,"NA",eligible
11,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
12,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
12,Covid19Sim-Simulator,eligible,eligible,eligible,"NA",eligible
12,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
12,COVIDhub-baseline,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
12,CU-select,eligible,eligible,eligible,"NA",eligible
12,DDS-NBDS,eligible,eligible,eligible,"NA",eligible
12,epiforecasts-ensemble1,eligible,eligible,eligible,"NA",eligible
12,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
12,GT-DeepCOVID,eligible,eligible,eligible,"NA",eligible
12,IHME-CurveFit,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
12,IowaStateLW-STEM,eligible,eligible,eligible,"NA",eligible
12,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
12,Karlen-pypm,eligible,eligible,eligible,"NA",eligible
12,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
12,MITCovAlliance-SIR,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,decreasing quantiles over time,"NA",ineligible
12,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
12,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
12,NotreDame-mobility,eligible,eligible,eligible,"NA",eligible
12,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
12,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
12,QJHong-Encounter,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
12,RobertWalraven-ESG,eligible,eligible,decreasing quantiles over time,"NA",ineligible
12,UA-EpiCovDA,eligible,eligible,eligible,"NA",eligible
12,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
12,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
12,UMich-RidgeTfReg,eligible,eligible,eligible,"NA",eligible
12,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",eligible
12,UT-Mobility,eligible,eligible,eligible,"NA",eligible
12,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
13,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
13,Covid19Sim-Simulator,eligible,eligible,eligible,"NA",eligible
13,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
13,COVIDhub-baseline,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
13,CU-select,eligible,eligible,eligible,"NA",eligible
13,DDS-NBDS,eligible,eligible,eligible,"NA",eligible
13,epiforecasts-ensemble1,eligible,eligible,eligible,"NA",eligible
13,GT_CHHS-COVID19,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
13,GT-DeepCOVID,eligible,eligible,eligible,"NA",eligible
13,IHME-CurveFit,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
13,IowaStateLW-STEM,eligible,eligible,eligible,"NA",eligible
