location,location_name,model_abbreviation,eligibility
20,KS,IowaStateLW-STEM10,eligible
21,KY,IowaStateLW-STEM10,eligible
22,LA,IowaStateLW-STEM10,eligible
23,ME,IowaStateLW-STEM10,eligible
24,MD,IowaStateLW-STEM10,eligible
25,MA,IowaStateLW-STEM10,eligible
26,MI,IowaStateLW-STEM10,eligible
27,MN,IowaStateLW-STEM10,eligible
28,MS,IowaStateLW-STEM10,eligible
29,MO,IowaStateLW-STEM10,eligible
30,MT,IowaStateLW-STEM10,eligible
31,NE,IowaStateLW-STEM10,eligible
32,NV,IowaStateLW-STEM10,eligible
33,NH,IowaStateLW-STEM10,eligible
34,NJ,IowaStateLW-STEM10,eligible
35,NM,IowaStateLW-STEM10,eligible
36,NY,IowaStateLW-STEM10,eligible
37,NC,IowaStateLW-STEM10,quantile 0.1 of forecast for horizon 1 is less than most recent observed
38,ND,IowaStateLW-STEM10,eligible
39,OH,IowaStateLW-STEM10,eligible
40,OK,IowaStateLW-STEM10,quantile 0.1 of forecast for horizon 1 is less than most recent observed
41,OR,IowaStateLW-STEM10,eligible
42,PA,IowaStateLW-STEM10,eligible
44,RI,IowaStateLW-STEM10,eligible
45,SC,IowaStateLW-STEM10,eligible
46,SD,IowaStateLW-STEM10,eligible
47,TN,IowaStateLW-STEM10,eligible
48,TX,IowaStateLW-STEM10,eligible
49,UT,IowaStateLW-STEM10,eligible
50,VT,IowaStateLW-STEM10,eligible
51,VA,IowaStateLW-STEM10,eligible
53,WA,IowaStateLW-STEM10,eligible
54,WV,IowaStateLW-STEM10,quantile 0.1 of forecast for horizon 1 is less than most recent observed
55,WI,IowaStateLW-STEM10,eligible
56,WY,IowaStateLW-STEM10,eligible
66,GU,IowaStateLW-STEM10,missing required forecasts
69,MP,IowaStateLW-STEM10,missing required forecasts
72,PR,IowaStateLW-STEM10,missing required forecasts
78,VI,IowaStateLW-STEM10,missing required forecasts
US,US,IowaStateLW-STEM10,eligible
01,AL,JHU_IDD-CovidSP,eligible
02,AK,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
04,AZ,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
05,AR,JHU_IDD-CovidSP,eligible
06,CA,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
08,CO,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
09,CT,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
10,DE,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
11,DC,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
12,FL,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
13,GA,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
15,HI,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
16,ID,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
17,IL,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
18,IN,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
19,IA,JHU_IDD-CovidSP,eligible
20,KS,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
21,KY,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
22,LA,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
23,ME,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
24,MD,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
25,MA,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
26,MI,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
27,MN,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
28,MS,JHU_IDD-CovidSP,eligible
29,MO,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
30,MT,JHU_IDD-CovidSP,eligible
31,NE,JHU_IDD-CovidSP,eligible
32,NV,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
33,NH,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
34,NJ,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
35,NM,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
36,NY,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
37,NC,JHU_IDD-CovidSP,eligible
38,ND,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
39,OH,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
40,OK,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
41,OR,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
42,PA,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
44,RI,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
45,SC,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
46,SD,JHU_IDD-CovidSP,eligible
47,TN,JHU_IDD-CovidSP,eligible
48,TX,JHU_IDD-CovidSP,eligible
49,UT,JHU_IDD-CovidSP,eligible
50,VT,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
51,VA,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
53,WA,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
54,WV,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
55,WI,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
56,WY,JHU_IDD-CovidSP,eligible
66,GU,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
69,MP,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
72,PR,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
78,VI,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
US,US,JHU_IDD-CovidSP,quantile 0.1 of forecast for horizon 1 is less than most recent observed
01,AL,LANL-GrowthRate,eligible
02,AK,LANL-GrowthRate,eligible
04,AZ,LANL-GrowthRate,eligible
05,AR,LANL-GrowthRate,eligible
06,CA,LANL-GrowthRate,eligible
08,CO,LANL-GrowthRate,eligible
09,CT,LANL-GrowthRate,eligible
10,DE,LANL-GrowthRate,eligible
11,DC,LANL-GrowthRate,eligible
12,FL,LANL-GrowthRate,eligible
13,GA,LANL-GrowthRate,eligible
15,HI,LANL-GrowthRate,eligible
16,ID,LANL-GrowthRate,eligible
17,IL,LANL-GrowthRate,eligible
18,IN,LANL-GrowthRate,eligible
19,IA,LANL-GrowthRate,eligible
20,KS,LANL-GrowthRate,eligible
21,KY,LANL-GrowthRate,eligible
22,LA,LANL-GrowthRate,eligible
23,ME,LANL-GrowthRate,eligible
24,MD,LANL-GrowthRate,eligible
25,MA,LANL-GrowthRate,eligible
26,MI,LANL-GrowthRate,eligible
27,MN,LANL-GrowthRate,eligible
28,MS,LANL-GrowthRate,eligible
29,MO,LANL-GrowthRate,eligible
30,MT,LANL-GrowthRate,eligible
31,NE,LANL-GrowthRate,eligible
32,NV,LANL-GrowthRate,eligible
33,NH,LANL-GrowthRate,eligible
34,NJ,LANL-GrowthRate,eligible
35,NM,LANL-GrowthRate,eligible
36,NY,LANL-GrowthRate,eligible
37,NC,LANL-GrowthRate,eligible
38,ND,LANL-GrowthRate,eligible
39,OH,LANL-GrowthRate,eligible
40,OK,LANL-GrowthRate,eligible
41,OR,LANL-GrowthRate,eligible
42,PA,LANL-GrowthRate,eligible
44,RI,LANL-GrowthRate,eligible
45,SC,LANL-GrowthRate,eligible
46,SD,LANL-GrowthRate,eligible
47,TN,LANL-GrowthRate,eligible
48,TX,LANL-GrowthRate,eligible
49,UT,LANL-GrowthRate,eligible
50,VT,LANL-GrowthRate,eligible
51,VA,LANL-GrowthRate,eligible
53,WA,LANL-GrowthRate,eligible
54,WV,LANL-GrowthRate,eligible
55,WI,LANL-GrowthRate,eligible
56,WY,LANL-GrowthRate,eligible
66,GU,LANL-GrowthRate,missing required forecasts
69,MP,LANL-GrowthRate,missing required forecasts
72,PR,LANL-GrowthRate,eligible
78,VI,LANL-GrowthRate,eligible
US,US,LANL-GrowthRate,eligible
01,AL,MOBS-GLEAM_COVID,eligible
02,AK,MOBS-GLEAM_COVID,eligible
04,AZ,MOBS-GLEAM_COVID,eligible
05,AR,MOBS-GLEAM_COVID,eligible
06,CA,MOBS-GLEAM_COVID,eligible
08,CO,MOBS-GLEAM_COVID,eligible
09,CT,MOBS-GLEAM_COVID,eligible
10,DE,MOBS-GLEAM_COVID,eligible
11,DC,MOBS-GLEAM_COVID,missing required forecasts
12,FL,MOBS-GLEAM_COVID,eligible
13,GA,MOBS-GLEAM_COVID,eligible
15,HI,MOBS-GLEAM_COVID,eligible
16,ID,MOBS-GLEAM_COVID,eligible
17,IL,MOBS-GLEAM_COVID,eligible
18,IN,MOBS-GLEAM_COVID,eligible
19,IA,MOBS-GLEAM_COVID,eligible
20,KS,MOBS-GLEAM_COVID,eligible
21,KY,MOBS-GLEAM_COVID,eligible
22,LA,MOBS-GLEAM_COVID,eligible
23,ME,MOBS-GLEAM_COVID,eligible
24,MD,MOBS-GLEAM_COVID,eligible
25,MA,MOBS-GLEAM_COVID,eligible
26,MI,MOBS-GLEAM_COVID,eligible
27,MN,MOBS-GLEAM_COVID,eligible
28,MS,MOBS-GLEAM_COVID,eligible
29,MO,MOBS-GLEAM_COVID,eligible
30,MT,MOBS-GLEAM_COVID,eligible
31,NE,MOBS-GLEAM_COVID,eligible
32,NV,MOBS-GLEAM_COVID,eligible
33,NH,MOBS-GLEAM_COVID,eligible
34,NJ,MOBS-GLEAM_COVID,eligible
35,NM,MOBS-GLEAM_COVID,eligible
36,NY,MOBS-GLEAM_COVID,eligible
37,NC,MOBS-GLEAM_COVID,eligible
38,ND,MOBS-GLEAM_COVID,eligible
39,OH,MOBS-GLEAM_COVID,eligible
40,OK,MOBS-GLEAM_COVID,eligible
41,OR,MOBS-GLEAM_COVID,eligible
42,PA,MOBS-GLEAM_COVID,eligible
44,RI,MOBS-GLEAM_COVID,eligible
45,SC,MOBS-GLEAM_COVID,eligible
46,SD,MOBS-GLEAM_COVID,eligible
47,TN,MOBS-GLEAM_COVID,eligible
48,TX,MOBS-GLEAM_COVID,eligible
49,UT,MOBS-GLEAM_COVID,eligible
50,VT,MOBS-GLEAM_COVID,eligible
51,VA,MOBS-GLEAM_COVID,eligible
53,WA,MOBS-GLEAM_COVID,eligible
54,WV,MOBS-GLEAM_COVID,eligible
55,WI,MOBS-GLEAM_COVID,eligible
56,WY,MOBS-GLEAM_COVID,eligible
66,GU,MOBS-GLEAM_COVID,missing required forecasts
69,MP,MOBS-GLEAM_COVID,missing required forecasts
72,PR,MOBS-GLEAM_COVID,missing required forecasts
78,VI,MOBS-GLEAM_COVID,missing required forecasts
US,US,MOBS-GLEAM_COVID,eligible
01,AL,NotreDame-FRED,missing required forecasts
02,AK,NotreDame-FRED,missing required forecasts
04,AZ,NotreDame-FRED,missing required forecasts
05,AR,NotreDame-FRED,missing required forecasts
06,CA,NotreDame-FRED,missing required forecasts
08,CO,NotreDame-FRED,missing required forecasts
09,CT,NotreDame-FRED,missing required forecasts
10,DE,NotreDame-FRED,missing required forecasts
11,DC,NotreDame-FRED,missing required forecasts
12,FL,NotreDame-FRED,missing required forecasts
13,GA,NotreDame-FRED,missing required forecasts
15,HI,NotreDame-FRED,missing required forecasts
16,ID,NotreDame-FRED,missing required forecasts
17,IL,NotreDame-FRED,quantile 0.1 of forecast for horizon 1 is less than most recent observed
18,IN,NotreDame-FRED,quantile 0.1 of forecast for horizon 1 is less than most recent observed
19,IA,NotreDame-FRED,missing required forecasts
20,KS,NotreDame-FRED,missing required forecasts
21,KY,NotreDame-FRED,quantile 0.1 of forecast for horizon 1 is less than most recent observed
22,LA,NotreDame-FRED,missing required forecasts
23,ME,NotreDame-FRED,missing required forecasts
24,MD,NotreDame-FRED,missing required forecasts
25,MA,NotreDame-FRED,missing required forecasts
26,MI,NotreDame-FRED,quantile 0.1 of forecast for horizon 1 is less than most recent observed
27,MN,NotreDame-FRED,quantile 0.1 of forecast for horizon 1 is less than most recent observed
28,MS,NotreDame-FRED,missing required forecasts
29,MO,NotreDame-FRED,missing required forecasts
30,MT,NotreDame-FRED,missing required forecasts
31,NE,NotreDame-FRED,missing required forecasts
32,NV,NotreDame-FRED,missing required forecasts
33,NH,NotreDame-FRED,missing required forecasts
34,NJ,NotreDame-FRED,missing required forecasts
35,NM,NotreDame-FRED,missing required forecasts
36,NY,NotreDame-FRED,missing required forecasts
37,NC,NotreDame-FRED,missing required forecasts
38,ND,NotreDame-FRED,missing required forecasts
39,OH,NotreDame-FRED,quantile 0.1 of forecast for horizon 1 is less than most recent observed
40,OK,NotreDame-FRED,missing required forecasts
41,OR,NotreDame-FRED,missing required forecasts
42,PA,NotreDame-FRED,missing required forecasts
44,RI,NotreDame-FRED,missing required forecasts
45,SC,NotreDame-FRED,missing required forecasts
46,SD,NotreDame-FRED,missing required forecasts
47,TN,NotreDame-FRED,missing required forecasts
48,TX,NotreDame-FRED,missing required forecasts
49,UT,NotreDame-FRED,missing required forecasts
50,VT,NotreDame-FRED,missing required forecasts
51,VA,NotreDame-FRED,missing required forecasts
53,WA,NotreDame-FRED,missing required forecasts
54,WV,NotreDame-FRED,missing required forecasts
55,WI,NotreDame-FRED,quantile 0.1 of forecast for horizon 1 is less than most recent observed
56,WY,NotreDame-FRED,missing required forecasts
66,GU,NotreDame-FRED,missing required forecasts
69,MP,NotreDame-FRED,missing required forecasts
