location,location_name,model_abbreviation,eligibility
30,MT,UMass-MechBayes,eligible
31,NE,UMass-MechBayes,eligible
32,NV,UMass-MechBayes,eligible
33,NH,UMass-MechBayes,eligible
34,NJ,UMass-MechBayes,eligible
35,NM,UMass-MechBayes,eligible
36,NY,UMass-MechBayes,eligible
37,NC,UMass-MechBayes,eligible
38,ND,UMass-MechBayes,eligible
39,OH,UMass-MechBayes,eligible
40,OK,UMass-MechBayes,eligible
41,OR,UMass-MechBayes,eligible
42,PA,UMass-MechBayes,eligible
44,RI,UMass-MechBayes,eligible
45,SC,UMass-MechBayes,eligible
46,SD,UMass-MechBayes,eligible
47,TN,UMass-MechBayes,eligible
48,TX,UMass-MechBayes,eligible
49,UT,UMass-MechBayes,eligible
50,VT,UMass-MechBayes,eligible
51,VA,UMass-MechBayes,eligible
53,WA,UMass-MechBayes,eligible
54,WV,UMass-MechBayes,eligible
55,WI,UMass-MechBayes,eligible
56,WY,UMass-MechBayes,eligible
66,GU,UMass-MechBayes,missing required forecasts
69,MP,UMass-MechBayes,missing required forecasts
72,PR,UMass-MechBayes,missing required forecasts
78,VI,UMass-MechBayes,missing required forecasts
US,US,UMass-MechBayes,eligible
01,AL,UT-Mobility,eligible
02,AK,UT-Mobility,eligible
04,AZ,UT-Mobility,eligible
05,AR,UT-Mobility,eligible
06,CA,UT-Mobility,eligible
08,CO,UT-Mobility,eligible
09,CT,UT-Mobility,eligible
10,DE,UT-Mobility,eligible
11,DC,UT-Mobility,eligible
12,FL,UT-Mobility,eligible
13,GA,UT-Mobility,eligible
15,HI,UT-Mobility,eligible
16,ID,UT-Mobility,eligible
17,IL,UT-Mobility,eligible
18,IN,UT-Mobility,eligible
19,IA,UT-Mobility,eligible
20,KS,UT-Mobility,eligible
21,KY,UT-Mobility,eligible
22,LA,UT-Mobility,eligible
23,ME,UT-Mobility,eligible
24,MD,UT-Mobility,eligible
25,MA,UT-Mobility,eligible
26,MI,UT-Mobility,eligible
27,MN,UT-Mobility,eligible
28,MS,UT-Mobility,eligible
29,MO,UT-Mobility,eligible
30,MT,UT-Mobility,eligible
31,NE,UT-Mobility,eligible
32,NV,UT-Mobility,eligible
33,NH,UT-Mobility,eligible
34,NJ,UT-Mobility,eligible
35,NM,UT-Mobility,eligible
36,NY,UT-Mobility,eligible
37,NC,UT-Mobility,eligible
38,ND,UT-Mobility,eligible
39,OH,UT-Mobility,eligible
40,OK,UT-Mobility,eligible
41,OR,UT-Mobility,eligible
42,PA,UT-Mobility,eligible
44,RI,UT-Mobility,eligible
45,SC,UT-Mobility,eligible
46,SD,UT-Mobility,eligible
47,TN,UT-Mobility,eligible
48,TX,UT-Mobility,eligible
49,UT,UT-Mobility,eligible
50,VT,UT-Mobility,eligible
51,VA,UT-Mobility,eligible
53,WA,UT-Mobility,eligible
54,WV,UT-Mobility,eligible
55,WI,UT-Mobility,eligible
56,WY,UT-Mobility,eligible
66,GU,UT-Mobility,missing required forecasts
69,MP,UT-Mobility,missing required forecasts
72,PR,UT-Mobility,missing required forecasts
78,VI,UT-Mobility,missing required forecasts
US,US,UT-Mobility,eligible
01,AL,YYG-ParamSearch,eligible
02,AK,YYG-ParamSearch,eligible
04,AZ,YYG-ParamSearch,eligible
05,AR,YYG-ParamSearch,eligible
06,CA,YYG-ParamSearch,eligible
08,CO,YYG-ParamSearch,eligible
09,CT,YYG-ParamSearch,eligible
10,DE,YYG-ParamSearch,eligible
11,DC,YYG-ParamSearch,eligible
12,FL,YYG-ParamSearch,eligible
13,GA,YYG-ParamSearch,eligible
15,HI,YYG-ParamSearch,eligible
16,ID,YYG-ParamSearch,eligible
17,IL,YYG-ParamSearch,eligible
18,IN,YYG-ParamSearch,eligible
19,IA,YYG-ParamSearch,eligible
20,KS,YYG-ParamSearch,eligible
21,KY,YYG-ParamSearch,eligible
22,LA,YYG-ParamSearch,eligible
23,ME,YYG-ParamSearch,eligible
24,MD,YYG-ParamSearch,eligible
25,MA,YYG-ParamSearch,eligible
26,MI,YYG-ParamSearch,eligible
27,MN,YYG-ParamSearch,eligible
28,MS,YYG-ParamSearch,eligible
29,MO,YYG-ParamSearch,eligible
30,MT,YYG-ParamSearch,eligible
31,NE,YYG-ParamSearch,eligible
32,NV,YYG-ParamSearch,eligible
33,NH,YYG-ParamSearch,eligible
34,NJ,YYG-ParamSearch,eligible
35,NM,YYG-ParamSearch,eligible
36,NY,YYG-ParamSearch,eligible
37,NC,YYG-ParamSearch,eligible
38,ND,YYG-ParamSearch,eligible
39,OH,YYG-ParamSearch,eligible
40,OK,YYG-ParamSearch,eligible
41,OR,YYG-ParamSearch,eligible
42,PA,YYG-ParamSearch,eligible
44,RI,YYG-ParamSearch,eligible
45,SC,YYG-ParamSearch,eligible
46,SD,YYG-ParamSearch,eligible
47,TN,YYG-ParamSearch,eligible
48,TX,YYG-ParamSearch,eligible
49,UT,YYG-ParamSearch,eligible
50,VT,YYG-ParamSearch,eligible
51,VA,YYG-ParamSearch,eligible
53,WA,YYG-ParamSearch,eligible
54,WV,YYG-ParamSearch,eligible
55,WI,YYG-ParamSearch,eligible
56,WY,YYG-ParamSearch,eligible
66,GU,YYG-ParamSearch,eligible
69,MP,YYG-ParamSearch,eligible
72,PR,YYG-ParamSearch,eligible
78,VI,YYG-ParamSearch,eligible
US,US,YYG-ParamSearch,eligible
