location,location_abbreviation,location_name,YYG-ParamSearch,LANL-GrowthRate,UCLA-SuEIR,UMass-MechBayes,MOBS-GLEAM_COVID,CU-select,UT-Mobility,JHU_IDD-CovidSP,CovidAnalytics-DELPHI,CAN-SEIR_CAN,PSI-DRAFT
45,SC,South Carolina,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
46,SD,South Dakota,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
47,TN,Tennessee,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0
48,TX,Texas,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
49,UT,Utah,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
50,VT,Vermont,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
51,VA,Virginia,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
53,WA,Washington,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
54,WV,West Virginia,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0
55,WI,Wisconsin,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
56,WY,Wyoming,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0
66,GU,Guam,1,0,0,0,0,0,0,0,0,0,0
69,MP,Northern Mariana Islands,1,0,0,0,0,0,0,0,0,0,0
72,PR,Puerto Rico,0.5,0.5,0,0,0,0,0,0,0,0,0
78,VI,Virgin Islands,0.5,0.5,0,0,0,0,0,0,0,0,0
US,US,United States,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0,0
