location,model,missingness_eligibility,q10_eligibility,nondecreasing_quantiles_eligibility,overall_eligibility
09,YYG-ParamSearch,eligible,"NA","NA",eligible
10,CAN-SEIR_CAN,eligible,"NA","NA",eligible
10,Covid19Sim-Simulator,eligible,"NA","NA",eligible
10,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
10,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
10,GT-DeepCOVID,eligible,"NA","NA",eligible
10,IHME-CurveFit,eligible,"NA","NA",eligible
10,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
10,LANL-GrowthRate,eligible,"NA","NA",eligible
10,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
10,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
10,NotreDame-mobility,eligible,"NA","NA",eligible
10,OliverWyman-Navigator,eligible,"NA","NA",eligible
10,UA-EpiCovDA,eligible,"NA","NA",eligible
10,UCLA-SuEIR,eligible,"NA","NA",eligible
10,UMass-MechBayes,eligible,"NA","NA",eligible
10,UT-Mobility,eligible,"NA","NA",eligible
10,YYG-ParamSearch,eligible,"NA","NA",eligible
11,CAN-SEIR_CAN,eligible,"NA","NA",eligible
11,Covid19Sim-Simulator,eligible,"NA","NA",eligible
11,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
11,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
11,GT-DeepCOVID,eligible,"NA","NA",eligible
11,IHME-CurveFit,eligible,"NA","NA",eligible
11,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
11,LANL-GrowthRate,eligible,"NA","NA",eligible
11,MOBS-GLEAM_COVID,missing required forecasts,"NA","NA",ineligible
11,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
11,NotreDame-mobility,eligible,"NA","NA",eligible
11,OliverWyman-Navigator,eligible,"NA","NA",eligible
11,UA-EpiCovDA,eligible,"NA","NA",eligible
11,UCLA-SuEIR,eligible,"NA","NA",eligible
11,UMass-MechBayes,eligible,"NA","NA",eligible
11,UT-Mobility,eligible,"NA","NA",eligible
11,YYG-ParamSearch,eligible,"NA","NA",eligible
12,CAN-SEIR_CAN,missing required forecasts,"NA","NA",ineligible
12,Covid19Sim-Simulator,eligible,"NA","NA",eligible
12,epiforecasts-ensemble1,eligible,"NA","NA",eligible
12,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
12,GT-DeepCOVID,eligible,"NA","NA",eligible
12,IHME-CurveFit,eligible,"NA","NA",eligible
12,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
12,LANL-GrowthRate,eligible,"NA","NA",eligible
12,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
12,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
12,NotreDame-mobility,eligible,"NA","NA",eligible
12,OliverWyman-Navigator,eligible,"NA","NA",eligible
12,UA-EpiCovDA,eligible,"NA","NA",eligible
12,UCLA-SuEIR,eligible,"NA","NA",eligible
12,UMass-MechBayes,eligible,"NA","NA",eligible
12,UT-Mobility,eligible,"NA","NA",eligible
12,YYG-ParamSearch,eligible,"NA","NA",eligible
13,CAN-SEIR_CAN,eligible,"NA","NA",eligible
13,Covid19Sim-Simulator,eligible,"NA","NA",eligible
13,epiforecasts-ensemble1,eligible,"NA","NA",eligible
13,GT_CHHS-COVID19,eligible,"NA","NA",eligible
13,GT-DeepCOVID,eligible,"NA","NA",eligible
13,IHME-CurveFit,eligible,"NA","NA",eligible
13,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
13,LANL-GrowthRate,eligible,"NA","NA",eligible
13,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
13,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
13,NotreDame-mobility,eligible,"NA","NA",eligible
13,OliverWyman-Navigator,eligible,"NA","NA",eligible
13,UA-EpiCovDA,eligible,"NA","NA",eligible
13,UCLA-SuEIR,eligible,"NA","NA",eligible
13,UMass-MechBayes,eligible,"NA","NA",eligible
13,UT-Mobility,eligible,"NA","NA",eligible
13,YYG-ParamSearch,eligible,"NA","NA",eligible
15,CAN-SEIR_CAN,eligible,"NA","NA",eligible
15,Covid19Sim-Simulator,eligible,"NA","NA",eligible
15,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
15,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
15,GT-DeepCOVID,missing required forecasts,"NA","NA",ineligible
15,IHME-CurveFit,eligible,"NA","NA",eligible
15,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
15,LANL-GrowthRate,eligible,"NA","NA",eligible
15,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
15,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
15,NotreDame-mobility,eligible,"NA","NA",eligible
15,OliverWyman-Navigator,eligible,"NA","NA",eligible
15,UA-EpiCovDA,eligible,"NA","NA",eligible
15,UCLA-SuEIR,eligible,"NA","NA",eligible
15,UMass-MechBayes,eligible,"NA","NA",eligible
15,UT-Mobility,eligible,"NA","NA",eligible
15,YYG-ParamSearch,eligible,"NA","NA",eligible
16,CAN-SEIR_CAN,eligible,"NA","NA",eligible
16,Covid19Sim-Simulator,eligible,"NA","NA",eligible
16,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
16,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
16,GT-DeepCOVID,eligible,"NA","NA",eligible
16,IHME-CurveFit,eligible,"NA","NA",eligible
16,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
16,LANL-GrowthRate,eligible,"NA","NA",eligible
16,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
16,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
16,NotreDame-mobility,eligible,"NA","NA",eligible
16,OliverWyman-Navigator,eligible,"NA","NA",eligible
16,UA-EpiCovDA,eligible,"NA","NA",eligible
16,UCLA-SuEIR,eligible,"NA","NA",eligible
16,UMass-MechBayes,eligible,"NA","NA",eligible
16,UT-Mobility,eligible,"NA","NA",eligible
16,YYG-ParamSearch,eligible,"NA","NA",eligible
17,CAN-SEIR_CAN,eligible,"NA","NA",eligible
17,Covid19Sim-Simulator,eligible,"NA","NA",eligible
17,epiforecasts-ensemble1,eligible,"NA","NA",eligible
17,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
17,GT-DeepCOVID,eligible,"NA","NA",eligible
17,IHME-CurveFit,eligible,"NA","NA",eligible
17,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
17,LANL-GrowthRate,eligible,"NA","NA",eligible
17,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
17,NotreDame-FRED,eligible,"NA","NA",eligible
17,NotreDame-mobility,eligible,"NA","NA",eligible
17,OliverWyman-Navigator,eligible,"NA","NA",eligible
17,UA-EpiCovDA,eligible,"NA","NA",eligible
17,UCLA-SuEIR,eligible,"NA","NA",eligible
17,UMass-MechBayes,eligible,"NA","NA",eligible
17,UT-Mobility,eligible,"NA","NA",eligible
17,YYG-ParamSearch,eligible,"NA","NA",eligible
18,CAN-SEIR_CAN,eligible,"NA","NA",eligible
18,Covid19Sim-Simulator,eligible,"NA","NA",eligible
18,epiforecasts-ensemble1,eligible,"NA","NA",eligible
18,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
18,GT-DeepCOVID,missing required forecasts,"NA","NA",ineligible
18,IHME-CurveFit,eligible,"NA","NA",eligible
18,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
18,LANL-GrowthRate,eligible,"NA","NA",eligible
18,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
18,NotreDame-FRED,eligible,"NA","NA",eligible
18,NotreDame-mobility,eligible,"NA","NA",eligible
18,OliverWyman-Navigator,eligible,"NA","NA",eligible
18,UA-EpiCovDA,eligible,"NA","NA",eligible
18,UCLA-SuEIR,eligible,"NA","NA",eligible
18,UMass-MechBayes,eligible,"NA","NA",eligible
18,UT-Mobility,eligible,"NA","NA",eligible
18,YYG-ParamSearch,eligible,"NA","NA",eligible
19,CAN-SEIR_CAN,eligible,"NA","NA",eligible
19,Covid19Sim-Simulator,eligible,"NA","NA",eligible
19,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
19,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
19,GT-DeepCOVID,eligible,"NA","NA",eligible
19,IHME-CurveFit,eligible,"NA","NA",eligible
19,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
19,LANL-GrowthRate,eligible,"NA","NA",eligible
19,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
19,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
19,NotreDame-mobility,eligible,"NA","NA",eligible
19,OliverWyman-Navigator,eligible,"NA","NA",eligible
19,UA-EpiCovDA,eligible,"NA","NA",eligible
19,UCLA-SuEIR,eligible,"NA","NA",eligible
19,UMass-MechBayes,eligible,"NA","NA",eligible
19,UT-Mobility,eligible,"NA","NA",eligible
19,YYG-ParamSearch,eligible,"NA","NA",eligible
20,CAN-SEIR_CAN,eligible,"NA","NA",eligible
20,Covid19Sim-Simulator,eligible,"NA","NA",eligible
20,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
20,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
20,GT-DeepCOVID,eligible,"NA","NA",eligible
20,IHME-CurveFit,eligible,"NA","NA",eligible
20,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
20,LANL-GrowthRate,eligible,"NA","NA",eligible
20,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
20,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
20,NotreDame-mobility,eligible,"NA","NA",eligible
20,OliverWyman-Navigator,eligible,"NA","NA",eligible
20,UA-EpiCovDA,eligible,"NA","NA",eligible
20,UCLA-SuEIR,eligible,"NA","NA",eligible
20,UMass-MechBayes,eligible,"NA","NA",eligible
20,UT-Mobility,eligible,"NA","NA",eligible
20,YYG-ParamSearch,eligible,"NA","NA",eligible
21,CAN-SEIR_CAN,eligible,"NA","NA",eligible
21,Covid19Sim-Simulator,eligible,"NA","NA",eligible
21,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
21,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
21,GT-DeepCOVID,eligible,"NA","NA",eligible
21,IHME-CurveFit,eligible,"NA","NA",eligible
21,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
21,LANL-GrowthRate,eligible,"NA","NA",eligible
21,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
21,NotreDame-FRED,eligible,"NA","NA",eligible
21,NotreDame-mobility,eligible,"NA","NA",eligible
21,OliverWyman-Navigator,eligible,"NA","NA",eligible
21,UA-EpiCovDA,eligible,"NA","NA",eligible
21,UCLA-SuEIR,eligible,"NA","NA",eligible
21,UMass-MechBayes,eligible,"NA","NA",eligible
21,UT-Mobility,eligible,"NA","NA",eligible
21,YYG-ParamSearch,eligible,"NA","NA",eligible
22,CAN-SEIR_CAN,eligible,"NA","NA",eligible
22,Covid19Sim-Simulator,eligible,"NA","NA",eligible
22,epiforecasts-ensemble1,eligible,"NA","NA",eligible
22,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
22,GT-DeepCOVID,eligible,"NA","NA",eligible
22,IHME-CurveFit,eligible,"NA","NA",eligible
22,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
22,LANL-GrowthRate,eligible,"NA","NA",eligible
22,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
22,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
22,NotreDame-mobility,eligible,"NA","NA",eligible
22,OliverWyman-Navigator,eligible,"NA","NA",eligible
22,UA-EpiCovDA,eligible,"NA","NA",eligible
22,UCLA-SuEIR,eligible,"NA","NA",eligible
22,UMass-MechBayes,eligible,"NA","NA",eligible
22,UT-Mobility,eligible,"NA","NA",eligible
22,YYG-ParamSearch,eligible,"NA","NA",eligible
23,CAN-SEIR_CAN,eligible,"NA","NA",eligible
23,Covid19Sim-Simulator,eligible,"NA","NA",eligible
23,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
23,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
23,GT-DeepCOVID,eligible,"NA","NA",eligible
23,IHME-CurveFit,eligible,"NA","NA",eligible
23,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
23,LANL-GrowthRate,eligible,"NA","NA",eligible
23,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
23,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
23,NotreDame-mobility,eligible,"NA","NA",eligible
23,OliverWyman-Navigator,eligible,"NA","NA",eligible
23,UA-EpiCovDA,eligible,"NA","NA",eligible
23,UCLA-SuEIR,eligible,"NA","NA",eligible
23,UMass-MechBayes,eligible,"NA","NA",eligible
23,UT-Mobility,eligible,"NA","NA",eligible
23,YYG-ParamSearch,eligible,"NA","NA",eligible
24,CAN-SEIR_CAN,eligible,"NA","NA",eligible
24,Covid19Sim-Simulator,eligible,"NA","NA",eligible
24,epiforecasts-ensemble1,eligible,"NA","NA",eligible
24,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
24,GT-DeepCOVID,eligible,"NA","NA",eligible
24,IHME-CurveFit,eligible,"NA","NA",eligible
24,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
24,LANL-GrowthRate,eligible,"NA","NA",eligible
24,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
24,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
24,NotreDame-mobility,eligible,"NA","NA",eligible
24,OliverWyman-Navigator,eligible,"NA","NA",eligible
24,UA-EpiCovDA,eligible,"NA","NA",eligible
24,UCLA-SuEIR,eligible,"NA","NA",eligible
24,UMass-MechBayes,eligible,"NA","NA",eligible
24,UT-Mobility,eligible,"NA","NA",eligible
24,YYG-ParamSearch,eligible,"NA","NA",eligible
25,CAN-SEIR_CAN,eligible,"NA","NA",eligible
25,Covid19Sim-Simulator,eligible,"NA","NA",eligible
25,epiforecasts-ensemble1,eligible,"NA","NA",eligible
25,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
25,GT-DeepCOVID,missing required forecasts,"NA","NA",ineligible
25,IHME-CurveFit,eligible,"NA","NA",eligible
25,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
25,LANL-GrowthRate,eligible,"NA","NA",eligible
25,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
25,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
25,NotreDame-mobility,eligible,"NA","NA",eligible
25,OliverWyman-Navigator,eligible,"NA","NA",eligible
25,UA-EpiCovDA,eligible,"NA","NA",eligible
25,UCLA-SuEIR,eligible,"NA","NA",eligible
25,UMass-MechBayes,eligible,"NA","NA",eligible
25,UT-Mobility,eligible,"NA","NA",eligible
25,YYG-ParamSearch,eligible,"NA","NA",eligible
26,CAN-SEIR_CAN,eligible,"NA","NA",eligible
26,Covid19Sim-Simulator,eligible,"NA","NA",eligible
26,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
26,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
26,GT-DeepCOVID,eligible,"NA","NA",eligible
26,IHME-CurveFit,eligible,"NA","NA",eligible
26,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
26,LANL-GrowthRate,eligible,"NA","NA",eligible
26,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
26,NotreDame-FRED,eligible,"NA","NA",eligible
26,NotreDame-mobility,eligible,"NA","NA",eligible
26,OliverWyman-Navigator,eligible,"NA","NA",eligible
26,UA-EpiCovDA,eligible,"NA","NA",eligible
26,UCLA-SuEIR,eligible,"NA","NA",eligible
26,UMass-MechBayes,eligible,"NA","NA",eligible
26,UT-Mobility,eligible,"NA","NA",eligible
26,YYG-ParamSearch,eligible,"NA","NA",eligible
27,CAN-SEIR_CAN,eligible,"NA","NA",eligible
27,Covid19Sim-Simulator,eligible,"NA","NA",eligible
27,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
27,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
27,GT-DeepCOVID,eligible,"NA","NA",eligible
27,IHME-CurveFit,eligible,"NA","NA",eligible
27,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
27,LANL-GrowthRate,eligible,"NA","NA",eligible
27,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
27,NotreDame-FRED,eligible,"NA","NA",eligible
27,NotreDame-mobility,eligible,"NA","NA",eligible
27,OliverWyman-Navigator,eligible,"NA","NA",eligible
27,UA-EpiCovDA,eligible,"NA","NA",eligible
27,UCLA-SuEIR,eligible,"NA","NA",eligible
27,UMass-MechBayes,eligible,"NA","NA",eligible
27,UT-Mobility,eligible,"NA","NA",eligible
27,YYG-ParamSearch,eligible,"NA","NA",eligible
28,CAN-SEIR_CAN,eligible,"NA","NA",eligible
28,Covid19Sim-Simulator,eligible,"NA","NA",eligible
28,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
28,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
28,GT-DeepCOVID,eligible,"NA","NA",eligible
28,IHME-CurveFit,eligible,"NA","NA",eligible
28,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
28,LANL-GrowthRate,eligible,"NA","NA",eligible
28,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
28,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
28,NotreDame-mobility,eligible,"NA","NA",eligible
28,OliverWyman-Navigator,eligible,"NA","NA",eligible
28,UA-EpiCovDA,eligible,"NA","NA",eligible
28,UCLA-SuEIR,eligible,"NA","NA",eligible
28,UMass-MechBayes,eligible,"NA","NA",eligible
28,UT-Mobility,eligible,"NA","NA",eligible
28,YYG-ParamSearch,eligible,"NA","NA",eligible
29,CAN-SEIR_CAN,eligible,"NA","NA",eligible
29,Covid19Sim-Simulator,eligible,"NA","NA",eligible
29,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
29,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
29,GT-DeepCOVID,eligible,"NA","NA",eligible
29,IHME-CurveFit,eligible,"NA","NA",eligible
29,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
29,LANL-GrowthRate,eligible,"NA","NA",eligible
29,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
29,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
29,NotreDame-mobility,eligible,"NA","NA",eligible
29,OliverWyman-Navigator,eligible,"NA","NA",eligible
29,UA-EpiCovDA,eligible,"NA","NA",eligible
29,UCLA-SuEIR,eligible,"NA","NA",eligible
29,UMass-MechBayes,eligible,"NA","NA",eligible
29,UT-Mobility,eligible,"NA","NA",eligible
29,YYG-ParamSearch,eligible,"NA","NA",eligible
30,CAN-SEIR_CAN,eligible,"NA","NA",eligible
30,Covid19Sim-Simulator,eligible,"NA","NA",eligible
30,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
30,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
30,GT-DeepCOVID,eligible,"NA","NA",eligible
30,IHME-CurveFit,eligible,"NA","NA",eligible
30,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
30,LANL-GrowthRate,eligible,"NA","NA",eligible
30,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
30,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
30,NotreDame-mobility,eligible,"NA","NA",eligible
30,OliverWyman-Navigator,eligible,"NA","NA",eligible
30,UA-EpiCovDA,eligible,"NA","NA",eligible
30,UCLA-SuEIR,eligible,"NA","NA",eligible
30,UMass-MechBayes,eligible,"NA","NA",eligible
30,UT-Mobility,eligible,"NA","NA",eligible
30,YYG-ParamSearch,eligible,"NA","NA",eligible
31,CAN-SEIR_CAN,eligible,"NA","NA",eligible
31,Covid19Sim-Simulator,eligible,"NA","NA",eligible
31,epiforecasts-ensemble1,missing required forecasts,"NA","NA",ineligible
31,GT_CHHS-COVID19,missing required forecasts,"NA","NA",ineligible
31,GT-DeepCOVID,missing required forecasts,"NA","NA",ineligible
31,IHME-CurveFit,eligible,"NA","NA",eligible
31,Imperial-Ensemble2,missing required forecasts,"NA","NA",ineligible
31,LANL-GrowthRate,eligible,"NA","NA",eligible
31,MOBS-GLEAM_COVID,eligible,"NA","NA",eligible
31,NotreDame-FRED,missing required forecasts,"NA","NA",ineligible
31,NotreDame-mobility,eligible,"NA","NA",eligible
