location,fips,Date, hosp_new_1, hosp_new_2point5, hosp_new_5, hosp_new_10, hosp_new_15, hosp_new_20, hosp_new_25, hosp_new_30, hosp_new_35, hosp_new_40, hosp_new_45, hosp_new_50, hosp_new_55, hosp_new_60, hosp_new_65, hosp_new_70, hosp_new_75, hosp_new_80, hosp_new_85, hosp_new_90, hosp_new_95, hosp_new_97point5, hosp_new_99, death_1, death_2point5, death_5, death_10, death_15, death_20, death_25, death_30, death_35, death_40, death_45, death_50, death_55, death_60, death_65, death_70, death_75, death_80, death_85, death_90, death_95, death_97point5, death_99, cdeath_1, cdeath_2point5, cdeath_5, cdeath_10, cdeath_15, cdeath_20, cdeath_25, cdeath_30, cdeath_35, cdeath_40, cdeath_45, cdeath_50, cdeath_55, cdeath_60, cdeath_65, cdeath_70, cdeath_75, cdeath_80, cdeath_85, cdeath_90, cdeath_95, cdeath_97point5, cdeath_99
Hawaii,15,04/12/20, 0, 0, 0, 0, 1, 1, 2, 2, 3, 4, 7, 7, 8, 9, 10, 13, 14, 18, 27, 34, 43, 47, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 3, 4, 6, 8, 10, 1, 1, 1, 11, 20, 20, 28, 36, 43, 49, 58, 67, 84, 86, 92, 102, 103, 105, 105, 114, 116, 120, 122
Idaho,16,04/12/20, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 4, 6, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6
Illinois,17,04/12/20, 173, 178, 220, 264, 331, 360, 385, 389, 452, 469, 516, 536, 566, 599, 668, 700, 749, 797, 877, 957, 1150, 1659, 2135, 16, 23, 27, 36, 39, 44, 47, 48, 49, 54, 57, 59, 62, 69, 70, 79, 83, 89, 99, 107, 127, 140, 170, 72, 202, 318, 706, 1147, 1574, 1990, 2331, 2614, 2866, 3241, 3574, 3873, 4155, 4443, 4817, 5137, 5494, 5800, 6140, 6397, 6524, 6622
Indiana,18,04/12/20, 24, 33, 40, 50, 57, 60, 64, 68, 72, 77, 81, 90, 96, 109, 119, 124, 131, 141, 153, 186, 219, 233, 290, 1, 2, 2, 4, 4, 5, 5, 6, 7, 7, 8, 9, 10, 10, 11, 13, 14, 14, 15, 19, 21, 23, 26, 10, 20, 40, 91, 160, 203, 262, 307, 373, 409, 450, 496, 537, 570, 605, 650, 693, 748, 800, 869, 913, 957, 968
Iowa,19,04/12/20, 4, 5, 5, 10, 12, 13, 14, 16, 18, 19, 22, 24, 26, 28, 32, 36, 39, 41, 47, 49, 75, 101, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 3, 4, 7, 7, 10, 1, 1, 1, 4, 8, 15, 35, 37, 52, 54, 67, 73, 82, 94, 102, 106, 110, 116, 122, 136, 144, 146, 147
Kansas,20,04/12/20, 5, 5, 7, 8, 10, 11, 12, 13, 15, 16, 16, 17, 18, 18, 21, 24, 25, 29, 33, 37, 58, 87, 97, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 6, 6, 8, 1, 2, 6, 18, 32, 35, 50, 53, 65, 68, 82, 91, 103, 113, 121, 124, 128, 133, 137, 149, 152, 158, 159
Kentucky,21,04/12/20, 2, 3, 6, 10, 11, 13, 14, 15, 18, 19, 25, 28, 30, 35, 41, 45, 57, 63, 69, 81, 99, 104, 140, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 5, 7, 8, 10, 11, 3, 5, 15, 30, 40, 48, 63, 93, 110, 115, 128, 139, 150, 161, 175, 186, 193, 203, 213, 230, 236, 238, 240
Louisiana,22,04/12/20, 52, 58, 65, 81, 89, 95, 112, 134, 147, 155, 166, 179, 196, 210, 233, 256, 285, 344, 376, 423, 531, 553, 618, 4, 4, 6, 8, 10, 13, 13, 14, 15, 15, 19, 20, 21, 23, 25, 29, 33, 35, 40, 49, 58, 62, 67, 21, 42, 109, 200, 353, 426, 555, 726, 937, 1015, 1098, 1182, 1250, 1347, 1483, 1623, 1796, 1928, 2047, 2181, 2266, 2324, 2369
Maine,23,04/12/20, 2, 4, 4, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 28, 37, 46, 48, 110, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 5, 7, 10, 4, 8, 13, 23, 30, 42, 57, 70, 78, 86, 94, 102, 110, 120, 138, 144, 153, 158, 167, 187, 191, 195, 195
Maryland,24,04/12/20, 24, 27, 36, 45, 50, 54, 60, 66, 70, 74, 82, 86, 88, 95, 101, 108, 116, 125, 139, 166, 188, 255, 306, 0, 1, 2, 3, 3, 4, 5, 5, 6, 6, 7, 7, 9, 10, 10, 11, 12, 15, 16, 19, 24, 29, 30, 18, 35, 48, 109, 152, 176, 253, 311, 363, 395, 447, 500, 546, 596, 658, 697, 732, 764, 814, 873, 908, 925, 934
Massachusetts,25,04/12/20, 290, 300, 304, 325, 355, 379, 390, 402, 426, 453, 470, 483, 502, 517, 553, 580, 607, 633, 689, 737, 908, 962, 1536, 27, 33, 35, 38, 41, 43, 45, 47, 48, 53, 54, 56, 58, 60, 62, 65, 66, 71, 76, 86, 105, 121, 148, 85, 177, 257, 595, 890, 1166, 1579, 1883, 2123, 2387, 2731, 3072, 3353, 3658, 3963, 4228, 4496, 4810, 5115, 5451, 5707, 5851, 5931
Michigan,26,04/12/20, 391, 489, 558, 583, 620, 652, 688, 735, 787, 858, 891, 923, 1011, 1060, 1103, 1142, 1202, 1263, 1391, 1545, 1823, 2102, 2371, 54, 61, 64, 67, 72, 75, 81, 85, 91, 94, 97, 100, 106, 108, 111, 115, 121, 126, 130, 140, 150, 209, 216, 138, 272, 505, 1075, 1607, 2150, 2700, 3222, 3711, 4134, 4687, 5088, 5470, 5961, 6564, 7117, 7640, 8172, 8662, 9406, 9873, 10138, 10296
Minnesota,27,04/12/20, 9, 10, 12, 15, 18, 21, 23, 25, 28, 31, 34, 37, 38, 41, 47, 54, 58, 67, 77, 97, 119, 224, 252, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 4, 5, 7, 8, 11, 15, 21, 6, 8, 8, 22, 38, 47, 90, 115, 134, 149, 176, 190, 206, 233, 252, 258, 270, 281, 299, 329, 341, 347, 352
Mississippi,28,04/12/20, 5, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 20, 22, 25, 29, 32, 36, 40, 47, 68, 79, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 7, 2, 3, 3, 5, 6, 9, 17, 26, 44, 47, 54, 62, 73, 79, 86, 94, 96, 100, 106, 113, 119, 119, 122
Missouri,29,04/12/20, 38, 54, 59, 67, 73, 77, 82, 88, 91, 95, 100, 109, 117, 122, 126, 130, 136, 142, 148, 162, 195, 203, 239, 5, 5, 6, 7, 7, 8, 9, 9, 10, 10, 11, 11, 12, 13, 13, 15, 15, 16, 17, 18, 19, 22, 25, 15, 35, 74, 131, 198, 266, 336, 398, 458, 505, 574, 637, 690, 762, 824, 876, 943, 1010, 1060, 1121, 1160, 1187, 1201
Montana,30,04/12/20, 3, 4, 6, 9, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 23, 24, 27, 30, 34, 36, 50, 55, 67, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 6, 6, 9, 1, 2, 6, 18, 28, 38, 54, 62, 65, 70, 80, 91, 93, 106, 112, 118, 131, 138, 143, 157, 169, 179, 181
Nebraska,31,04/12/20, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 3, 4, 7, 8, 9, 11, 13, 16, 20, 26, 30, 47, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 4, 0, 2, 2, 4, 8, 10, 12, 17, 18, 20, 24, 24, 26, 27, 28, 28, 31, 32, 33, 40, 42, 43, 43
Nevada,32,04/12/20, 1, 1, 7, 9, 11, 13, 14, 16, 17, 19, 21, 23, 25, 29, 32, 37, 41, 51, 57, 66, 74, 84, 124, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 5, 5, 6, 8, 8, 9, 11, 6, 10, 17, 42, 57, 64, 91, 108, 122, 139, 157, 165, 177, 188, 203, 220, 233, 251, 273, 291, 302, 307, 313
New Hampshire,33,04/12/20, 4, 4, 7, 9, 10, 13, 15, 16, 17, 20, 22, 24, 28, 28, 31, 35, 41, 44, 53, 66, 93, 145, 154, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 5, 5, 6, 7, 9, 11, 3, 4, 6, 22, 27, 34, 60, 85, 97, 113, 125, 132, 142, 154, 167, 174, 184, 198, 209, 224, 227, 234, 240
New Jersey,34,04/12/20, 570, 615, 644, 725, 769, 826, 872, 912, 960, 1019, 1073, 1107, 1168, 1195, 1263, 1303, 1359, 1392, 1478, 1696, 1956, 2119, 2350, 68, 69, 78, 92, 99, 102, 106, 110, 117, 122, 126, 134, 139, 143, 146, 147, 154, 165, 179, 188, 221, 230, 247, 189, 342, 595, 1202, 2040, 2707, 3491, 4160, 4851, 5475, 6222, 6935, 7534, 8275, 8953, 9665, 10347, 11083, 11711, 12393, 12939, 13268, 13476
New Mexico,35,04/12/20, 1, 1, 2, 3, 3, 4, 5, 7, 7, 8, 9, 12, 13, 14, 15, 18, 22, 24, 30, 39, 53, 87, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 3, 4, 6, 9, 10, 1, 1, 6, 14, 20, 29, 47, 61, 68, 73, 85, 88, 96, 103, 109, 114, 119, 123, 128, 131, 134, 137, 137
New York,36,04/12/20, 2737, 3454, 4070, 4357, 4606, 4714, 5050, 5264, 5490, 5688, 5905, 6101, 6317, 6525, 6781, 7007, 7313, 7606, 8115, 8686, 9192, 9860, 10318, 415, 534, 565, 584, 611, 628, 664, 685, 703, 737, 763, 776, 794, 808, 834, 859, 884, 931, 973, 1013, 1127, 1164, 1283, 972, 2058, 3862, 7742, 11974, 16162, 20931, 24766, 28044, 31708, 36005, 40101, 43771, 47709, 51641, 55357, 59375, 63388, 67129, 71582, 75295, 77255, 78494
North Carolina,37,04/12/20, 57, 63, 67, 78, 85, 91, 96, 102, 105, 112, 114, 125, 133, 138, 149, 156, 165, 175, 196, 205, 246, 263, 326, 3, 4, 5, 6, 6, 7, 8, 8, 9, 9, 10, 10, 10, 11, 12, 14, 15, 15, 17, 19, 21, 22, 24, 14, 29, 52, 100, 158, 224, 289, 338, 402, 451, 505, 552, 601, 660, 726, 798, 870, 913, 961, 1014, 1073, 1091, 1105
North Dakota,38,04/12/20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 6, 12, 17, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 0, 0, 0, 0, 0, 0, 1, 1, 5, 5, 5, 5, 5, 6, 6, 7, 8, 8, 8, 8, 8, 8, 11
Ohio,39,04/12/20, 21, 23, 32, 36, 41, 42, 44, 46, 48, 52, 57, 60, 63, 64, 76, 91, 98, 107, 124, 135, 178, 196, 231, 0, 0, 1, 2, 2, 3, 3, 4, 5, 5, 6, 6, 7, 7, 8, 8, 10, 11, 12, 14, 18, 23, 28, 10, 17, 33, 64, 104, 146, 189, 227, 267, 306, 331, 363, 398, 443, 503, 532, 570, 600, 621, 652, 678, 688, 721
Oklahoma,40,04/12/20, 7, 8, 9, 14, 16, 18, 21, 22, 23, 25, 29, 32, 35, 35, 39, 42, 45, 50, 54, 63, 74, 94, 102, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 5, 5, 6, 6, 8, 2, 5, 12, 24, 39, 59, 73, 87, 100, 111, 130, 145, 164, 178, 191, 201, 218, 229, 238, 251, 264, 270, 276
Oregon,41,04/12/20, 13, 15, 23, 26, 29, 35, 37, 43, 49, 53, 55, 58, 65, 72, 76, 81, 84, 91, 102, 128, 149, 170, 417, 0, 0, 1, 2, 2, 3, 3, 4, 4, 4, 5, 5, 6, 6, 7, 8, 9, 9, 11, 12, 16, 17, 31, 7, 9, 24, 48, 73, 101, 156, 185, 228, 251, 281, 319, 349, 379, 405, 429, 461, 482, 508, 582, 611, 625, 645
Pennsylvania,42,04/12/20, 141, 154, 164, 208, 248, 259, 276, 310, 339, 345, 371, 380, 396, 417, 439, 480, 510, 531, 541, 596, 709, 880, 1058, 10, 14, 17, 24, 29, 32, 33, 35, 36, 38, 39, 41, 43, 44, 45, 46, 47, 52, 58, 64, 69, 82, 105, 72, 130, 212, 406, 653, 875, 1102, 1314, 1504, 1720, 1939, 2201, 2394, 2598, 2836, 3002, 3243, 3441, 3610, 3859, 4028, 4151, 4220
Rhode Island,44,04/12/20, 8, 10, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23, 23, 24, 25, 26, 28, 29, 33, 36, 45, 54, 61, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 4, 4, 5, 6, 7, 10, 2, 4, 13, 36, 52, 66, 76, 84, 94, 100, 119, 131, 145, 157, 164, 173, 186, 197, 206, 220, 228, 235, 238
South Carolina,45,04/12/20, 16, 18, 24, 29, 33, 37, 39, 41, 43, 47, 53, 57, 61, 65, 70, 74, 78, 87, 100, 123, 133, 177, 192, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 6, 7, 8, 9, 10, 13, 14, 17, 10, 18, 33, 63, 92, 109, 164, 188, 206, 213, 239, 257, 274, 303, 330, 352, 381, 399, 420, 446, 465, 478, 482
South Dakota,46,04/12/20, 0, 0, 0, 2, 3, 4, 6, 8, 8, 10, 11, 12, 15, 19, 23, 29, 34, 42, 60, 88, 113, 166, 309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 3, 4, 4, 6, 8, 11, 13, 1, 1, 2, 19, 19, 20, 37, 47, 63, 77, 96, 98, 107, 122, 126, 126, 132, 133, 139, 156, 170, 175, 177
Tennessee,47,04/12/20, 33, 35, 40, 54, 63, 69, 74, 81, 89, 100, 104, 109, 115, 119, 124, 132, 144, 159, 172, 192, 217, 244, 262, 2, 2, 4, 4, 5, 6, 6, 7, 8, 9, 10, 10, 11, 11, 12, 13, 13, 15, 17, 18, 21, 22, 34, 15, 24, 50, 84, 145, 197, 299, 377, 434, 469, 525, 574, 603, 660, 715, 756, 799, 864, 916, 980, 1039, 1058, 1068
Texas,48,04/12/20, 96, 111, 118, 146, 158, 162, 174, 180, 188, 195, 211, 221, 231, 239, 241, 249, 265, 286, 321, 364, 422, 496, 568, 6, 8, 11, 13, 14, 15, 16, 17, 19, 20, 20, 21, 22, 22, 23, 24, 25, 26, 29, 31, 37, 42, 60, 35, 63, 119, 213, 315, 418, 546, 651, 759, 843, 1004, 1097, 1189, 1312, 1423, 1511, 1619, 1740, 1858, 2005, 2097, 2132, 2156
Utah,49,04/12/20, 5, 6, 10, 13, 14, 17, 18, 21, 23, 26, 30, 33, 39, 41, 45, 49, 53, 61, 65, 77, 90, 111, 117, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 6, 7, 8, 9, 12, 8, 10, 21, 49, 67, 82, 99, 117, 136, 149, 166, 181, 204, 222, 239, 255, 276, 289, 307, 323, 341, 353, 363
Vermont,50,04/12/20, 7, 10, 13, 17, 20, 23, 24, 27, 32, 35, 37, 38, 40, 43, 44, 48, 50, 54, 62, 67, 75, 85, 120, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 6, 7, 7, 9, 4, 9, 15, 40, 57, 70, 85, 98, 109, 122, 148, 164, 171, 181, 199, 212, 230, 241, 253, 275, 288, 294, 297
Virginia,51,04/12/20, 23, 27, 36, 40, 44, 51, 60, 65, 68, 77, 82, 85, 90, 96, 111, 115, 124, 132, 145, 167, 233, 302, 442, 0, 0, 1, 1, 1, 2, 3, 3, 3, 4, 5, 5, 5, 6, 7, 8, 9, 10, 11, 13, 16, 19, 27, 8, 13, 20, 48, 80, 97, 166, 200, 225, 259, 310, 333, 356, 387, 420, 446, 463, 485, 512, 590, 612, 623, 627
Washington,53,04/12/20, 40, 48, 63, 71, 84, 90, 100, 102, 113, 119, 136, 156, 166, 216, 238, 246, 299, 357, 449, 511, 610, 684, 1020, 5, 6, 6, 7, 8, 10, 10, 11, 11, 13, 16, 17, 19, 22, 23, 25, 29, 35, 42, 52, 65, 70, 103, 100, 136, 170, 253, 371, 435, 576, 701, 876, 944, 1014, 1109, 1235, 1334, 1444, 1580, 1707, 1787, 1873, 2084, 2232, 2318, 2329
West Virginia,54,04/12/20, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 3, 4, 4, 5, 7, 19, 24, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 0, 0, 0, 0, 0, 3, 4, 4, 4, 4, 4, 4, 4, 7, 7, 7, 8, 11, 11, 11, 11, 11, 11
Wisconsin,55,04/12/20, 30, 33, 42, 50, 61, 65, 71, 75, 84, 90, 95, 106, 111, 114, 120, 127, 134, 149, 167, 189, 218, 250, 315, 1, 2, 3, 4, 5, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13, 15, 17, 18, 21, 25, 33, 16, 27, 51, 116, 166, 223, 282, 330, 394, 446, 495, 536, 618, 662, 709, 755, 810, 845, 890, 938, 986, 1017, 1032
Wyoming,56,04/12/20, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 3, 4, 4, 5, 8, 9, 11, 15, 21, 26, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 6, 0, 0, 1, 4, 6, 6, 8, 9, 9, 9, 9, 10, 18, 19, 20, 22, 23, 26, 26, 28, 28, 28, 28
US National,US,04/12/20, 7656, 8498, 9066, 9770, 10508, 11098, 11663, 11940, 12319, 12514, 12906, 13850, 14495, 14879, 15125, 15528, 16206, 17034, 18098, 19559, 22084, 23509, 27820, 1032, 1120, 1152, 1209, 1250, 1296, 1337, 1400, 1426, 1459, 1534, 1568, 1619, 1645, 1673, 1731, 1823, 1883, 1905, 2051, 2243, 2457, 2933, 2150, 4326, 7783, 15870, 24709, 32923, 42938, 51097, 58644, 65795, 74404, 82249, 89652, 97725, 105787, 113491, 121600, 129729, 137078, 146491, 153776, 157830, 160193
Alabama,1,04/13/20, 21, 22, 23, 26, 30, 31, 35, 37, 39, 42, 44, 45, 46, 49, 51, 54, 55, 59, 72, 87, 105, 112, 151, 0, 0, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 6, 6, 6, 7, 9, 10, 12, 5, 12, 22, 40, 59, 76, 97, 125, 141, 157, 184, 198, 223, 244, 260, 278, 290, 315, 330, 358, 371, 380, 384
Alaska,2,04/13/20, 0, 1, 2, 3, 4, 4, 5, 6, 7, 7, 8, 8, 9, 10, 11, 13, 15, 15, 16, 19, 27, 32, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 4, 4, 5, 1, 2, 6, 12, 14, 22, 31, 41, 50, 57, 62, 67, 69, 78, 85, 92, 93, 97, 99, 101, 106, 106, 110
Arizona,4,04/13/20, 32, 47, 58, 71, 87, 96, 114, 126, 134, 147, 156, 160, 168, 179, 187, 205, 218, 223, 252, 268, 291, 333, 399, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 15, 16, 18, 19, 21, 22, 24, 25, 30, 37, 48, 22, 41, 72, 164, 246, 330, 396, 483, 571, 629, 695, 786, 861, 964, 1050, 1140, 1246, 1315, 1382, 1445, 1522, 1551, 1578
Arkansas,5,04/13/20, 0, 0, 2, 2, 4, 4, 5, 6, 8, 9, 10, 12, 13, 15, 16, 18, 20, 23, 26, 27, 36, 46, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 4, 4, 6, 5, 6, 10, 14, 33, 38, 43, 47, 54, 56, 59, 66, 71, 75, 77, 80, 84, 88, 97, 103, 109, 110, 110
California,6,04/13/20, 94, 141, 179, 239, 266, 295, 357, 392, 453, 493, 526, 574, 602, 650, 702, 752, 783, 865, 1037, 1225, 1404, 1824, 2537, 10, 12, 20, 28, 33, 37, 41, 47, 49, 53, 56, 60, 64, 68, 73, 78, 84, 96, 113, 122, 133, 167, 261, 103, 192, 294, 733, 1101, 1445, 1869, 2237, 2651, 2984, 3389, 3668, 4011, 4376, 4672, 4998, 5295, 5617, 5843, 6309, 6584, 6817, 6864
Colorado,8,04/13/20, 68, 77, 94, 113, 124, 138, 150, 163, 171, 177, 190, 198, 214, 225, 234, 248, 261, 271, 311, 346, 433, 491, 608, 6, 7, 8, 11, 14, 15, 16, 17, 18, 19, 20, 20, 21, 22, 24, 25, 27, 29, 31, 37, 42, 51, 68, 18, 40, 96, 212, 348, 445, 573, 686, 808, 924, 1042, 1140, 1248, 1394, 1487, 1604, 1710, 1817, 1926, 2077, 2172, 2228, 2250
