forecast_date,location,si,target_end_date,quantile,values,type,target
2020-04-19,US,si_1,2020-04-23,0.7,4540,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.7,4901,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.7,5290,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.7,5710,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.75,3900,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.75,3978,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.75,4234,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.75,4567,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.75,4934,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.75,5329,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.75,5756,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.8,3933,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.8,4001,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.8,4258,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.8,4595,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.8,4968,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.8,5367,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.8,5800,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.85,3964,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.85,4025,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.85,4285,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.85,4625,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.85,5002,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.85,5409,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.85,5847,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.9,3996,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.9,4052,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.9,4315,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.9,4663,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.9,5044,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.9,5460,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.9,5906,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.95,4037,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.95,4093,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.95,4361,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.95,4714,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.95,5104,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.95,5531,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.95,5990,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.975,4073,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.975,4123,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.975,4397,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.975,4757,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.975,5155,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.975,5593,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.975,6056,quantile,7 day ahead inc death
2020-04-19,US,si_1,2020-04-20,0.99,4107,quantile,1 day ahead inc death
2020-04-19,US,si_1,2020-04-21,0.99,4158,quantile,2 day ahead inc death
2020-04-19,US,si_1,2020-04-22,0.99,4440,quantile,3 day ahead inc death
2020-04-19,US,si_1,2020-04-23,0.99,4806,quantile,4 day ahead inc death
2020-04-19,US,si_1,2020-04-24,0.99,5213,quantile,5 day ahead inc death
2020-04-19,US,si_1,2020-04-25,0.99,5661,quantile,6 day ahead inc death
2020-04-19,US,si_1,2020-04-26,0.99,6133.009999999998,quantile,7 day ahead inc death
