location,forecast_date,value,target_end_date,target,type,quantile
01081,2020-09-21,1008,2020-09-26,1 wk ahead inc case,point,NA
01081,2020-09-21,1749,2020-10-03,2 wk ahead inc case,point,NA
01083,2020-09-21,103,2020-09-26,1 wk ahead inc case,point,NA
01083,2020-09-21,159,2020-10-03,2 wk ahead inc case,point,NA
01085,2020-09-21,23,2020-09-26,1 wk ahead inc case,point,NA
01085,2020-09-21,28,2020-10-03,2 wk ahead inc case,point,NA
01087,2020-09-21,28,2020-09-26,1 wk ahead inc case,point,NA
01087,2020-09-21,14,2020-10-03,2 wk ahead inc case,point,NA
01089,2020-09-21,367,2020-09-26,1 wk ahead inc case,point,NA
01089,2020-09-21,348,2020-10-03,2 wk ahead inc case,point,NA
01091,2020-09-21,17,2020-09-26,1 wk ahead inc case,point,NA
01091,2020-09-21,22,2020-10-03,2 wk ahead inc case,point,NA
01093,2020-09-21,67,2020-09-26,1 wk ahead inc case,point,NA
01093,2020-09-21,142,2020-10-03,2 wk ahead inc case,point,NA
01095,2020-09-21,203,2020-09-26,1 wk ahead inc case,point,NA
01095,2020-09-21,249,2020-10-03,2 wk ahead inc case,point,NA
01097,2020-09-21,465,2020-09-26,1 wk ahead inc case,point,NA
01097,2020-09-21,585,2020-10-03,2 wk ahead inc case,point,NA
01099,2020-09-21,62,2020-09-26,1 wk ahead inc case,point,NA
01099,2020-09-21,132,2020-10-03,2 wk ahead inc case,point,NA
01101,2020-09-21,233,2020-09-26,1 wk ahead inc case,point,NA
01101,2020-09-21,400,2020-10-03,2 wk ahead inc case,point,NA
01103,2020-09-21,108,2020-09-26,1 wk ahead inc case,point,NA
01103,2020-09-21,165,2020-10-03,2 wk ahead inc case,point,NA
01105,2020-09-21,26,2020-09-26,1 wk ahead inc case,point,NA
01105,2020-09-21,31,2020-10-03,2 wk ahead inc case,point,NA
01107,2020-09-21,42,2020-09-26,1 wk ahead inc case,point,NA
01107,2020-09-21,51,2020-10-03,2 wk ahead inc case,point,NA
01109,2020-09-21,97,2020-09-26,1 wk ahead inc case,point,NA
01109,2020-09-21,176,2020-10-03,2 wk ahead inc case,point,NA
01111,2020-09-21,59,2020-09-26,1 wk ahead inc case,point,NA
01111,2020-09-21,105,2020-10-03,2 wk ahead inc case,point,NA
01113,2020-09-21,73,2020-09-26,1 wk ahead inc case,point,NA
01113,2020-09-21,59,2020-10-03,2 wk ahead inc case,point,NA
01117,2020-09-21,511,2020-09-26,1 wk ahead inc case,point,NA
01117,2020-09-21,1167,2020-10-03,2 wk ahead inc case,point,NA
01119,2020-09-21,15,2020-10-03,2 wk ahead inc case,point,NA
01121,2020-09-21,231,2020-09-26,1 wk ahead inc case,point,NA
01121,2020-09-21,759,2020-10-03,2 wk ahead inc case,point,NA
01123,2020-09-21,89,2020-09-26,1 wk ahead inc case,point,NA
01123,2020-09-21,135,2020-10-03,2 wk ahead inc case,point,NA
01125,2020-09-21,666,2020-09-26,1 wk ahead inc case,point,NA
01125,2020-09-21,1675,2020-10-03,2 wk ahead inc case,point,NA
01127,2020-09-21,134,2020-09-26,1 wk ahead inc case,point,NA
01127,2020-09-21,110,2020-10-03,2 wk ahead inc case,point,NA
01129,2020-09-21,27,2020-09-26,1 wk ahead inc case,point,NA
01129,2020-09-21,31,2020-10-03,2 wk ahead inc case,point,NA
01131,2020-09-21,27,2020-09-26,1 wk ahead inc case,point,NA
01131,2020-09-21,26,2020-10-03,2 wk ahead inc case,point,NA
01133,2020-09-21,45,2020-09-26,1 wk ahead inc case,point,NA
01133,2020-09-21,41,2020-10-03,2 wk ahead inc case,point,NA
02013,2020-09-21,1,2020-09-26,1 wk ahead inc case,point,NA
02013,2020-09-21,1,2020-10-03,2 wk ahead inc case,point,NA
02016,2020-09-21,1,2020-09-26,1 wk ahead inc case,point,NA
02016,2020-09-21,1,2020-10-03,2 wk ahead inc case,point,NA
02020,2020-09-21,336,2020-09-26,1 wk ahead inc case,point,NA
02020,2020-09-21,318,2020-10-03,2 wk ahead inc case,point,NA
02050,2020-09-21,18,2020-09-26,1 wk ahead inc case,point,NA
02050,2020-09-21,27,2020-10-03,2 wk ahead inc case,point,NA
02060,2020-09-21,0,2020-09-26,1 wk ahead inc case,point,NA
02060,2020-09-21,0,2020-10-03,2 wk ahead inc case,point,NA
02070,2020-09-21,5,2020-09-26,1 wk ahead inc case,point,NA
02070,2020-09-21,4,2020-10-03,2 wk ahead inc case,point,NA
02090,2020-09-21,21,2020-09-26,1 wk ahead inc case,point,NA
02090,2020-09-21,55,2020-10-03,2 wk ahead inc case,point,NA
02100,2020-09-21,3,2020-09-26,1 wk ahead inc case,point,NA
02100,2020-09-21,3,2020-10-03,2 wk ahead inc case,point,NA
02110,2020-09-21,17,2020-09-26,1 wk ahead inc case,point,NA
02110,2020-09-21,7,2020-10-03,2 wk ahead inc case,point,NA
02122,2020-09-21,16,2020-09-26,1 wk ahead inc case,point,NA
02122,2020-09-21,19,2020-10-03,2 wk ahead inc case,point,NA
02150,2020-09-21,2,2020-09-26,1 wk ahead inc case,point,NA
02150,2020-09-21,2,2020-10-03,2 wk ahead inc case,point,NA
02164,2020-09-21,0,2020-09-26,1 wk ahead inc case,point,NA
02164,2020-09-21,0,2020-10-03,2 wk ahead inc case,point,NA
02170,2020-09-21,50,2020-09-26,1 wk ahead inc case,point,NA
02170,2020-09-21,48,2020-10-03,2 wk ahead inc case,point,NA
02180,2020-09-21,2,2020-09-26,1 wk ahead inc case,point,NA
02180,2020-09-21,5,2020-10-03,2 wk ahead inc case,point,NA
02185,2020-09-21,26,2020-09-26,1 wk ahead inc case,point,NA
02185,2020-09-21,34,2020-10-03,2 wk ahead inc case,point,NA
02188,2020-09-21,9,2020-09-26,1 wk ahead inc case,point,NA
02188,2020-09-21,9,2020-10-03,2 wk ahead inc case,point,NA
02220,2020-09-21,10,2020-09-26,1 wk ahead inc case,point,NA
02220,2020-09-21,13,2020-10-03,2 wk ahead inc case,point,NA
02240,2020-09-21,1,2020-09-26,1 wk ahead inc case,point,NA
02240,2020-09-21,0,2020-10-03,2 wk ahead inc case,point,NA
02261,2020-09-21,3,2020-09-26,1 wk ahead inc case,point,NA
02261,2020-09-21,3,2020-10-03,2 wk ahead inc case,point,NA
04001,2020-09-21,181,2020-09-26,1 wk ahead inc case,point,NA
04001,2020-09-21,260,2020-10-03,2 wk ahead inc case,point,NA
04003,2020-09-21,17,2020-09-26,1 wk ahead inc case,point,NA
04003,2020-09-21,17,2020-10-03,2 wk ahead inc case,point,NA
04005,2020-09-21,320,2020-09-26,1 wk ahead inc case,point,NA
04005,2020-09-21,468,2020-10-03,2 wk ahead inc case,point,NA
04007,2020-09-21,76,2020-09-26,1 wk ahead inc case,point,NA
04007,2020-09-21,128,2020-10-03,2 wk ahead inc case,point,NA
04009,2020-09-21,4,2020-09-26,1 wk ahead inc case,point,NA
04009,2020-09-21,3,2020-10-03,2 wk ahead inc case,point,NA
04011,2020-09-21,3,2020-09-26,1 wk ahead inc case,point,NA
04011,2020-09-21,3,2020-10-03,2 wk ahead inc case,point,NA
04012,2020-09-21,21,2020-09-26,1 wk ahead inc case,point,NA
04012,2020-09-21,65,2020-10-03,2 wk ahead inc case,point,NA
04013,2020-09-21,2655,2020-09-26,1 wk ahead inc case,point,NA
04013,2020-09-21,3582,2020-10-03,2 wk ahead inc case,point,NA
04015,2020-09-21,261,2020-09-26,1 wk ahead inc case,point,NA
04015,2020-09-21,674,2020-10-03,2 wk ahead inc case,point,NA
04017,2020-09-21,65,2020-09-26,1 wk ahead inc case,point,NA
04017,2020-09-21,73,2020-10-03,2 wk ahead inc case,point,NA
04019,2020-09-21,4153,2020-09-26,1 wk ahead inc case,point,NA
04019,2020-09-21,7124,2020-10-03,2 wk ahead inc case,point,NA
04021,2020-09-21,152,2020-09-26,1 wk ahead inc case,point,NA
04021,2020-09-21,233,2020-10-03,2 wk ahead inc case,point,NA
04023,2020-09-21,41,2020-09-26,1 wk ahead inc case,point,NA
04023,2020-09-21,92,2020-10-03,2 wk ahead inc case,point,NA
04025,2020-09-21,32,2020-09-26,1 wk ahead inc case,point,NA
04025,2020-09-21,19,2020-10-03,2 wk ahead inc case,point,NA
