"state","X80contact_1x","X80contact","X80contactw","ensemble1","ensemble2","GrowthRate","DELPHI","GLEAM_COVID","FRED","SuEIR","MechBayes","Mobility","ParamSearch","sum"
"OK",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,1
"OR",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,1
"PA",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,1
"RI",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,1
"SC",0.111111111111111,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0,0.111111111111111,0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,1
"SD",0.111111111111111,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0,0.111111111111111,0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,1
"TN",0.111111111111111,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0.111111111111111,0.111111111111111,0,0.111111111111111,0,0.111111111111111,0.111111111111111,1
"TX",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,1
"UT",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,1
"VT",0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0.166666666666667,1
"VA",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,1
"WA",0.111111111111111,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0.111111111111111,0.111111111111111,0,0.111111111111111,0,0.111111111111111,0.111111111111111,1
"WV",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,1
"WI",0.111111111111111,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0.111111111111111,0.111111111111111,0,0.111111111111111,0,0.111111111111111,0.111111111111111,1
"WY",0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0,0.2,1
"DC",0,0,0,0,0,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,1
"PR",0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,1
"VI",0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,1
"GU",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"MP",0,0,0,0,0,0,0,0,0,0,0,0,1,1
