"""forecast_date""","""target""","""target_end_date""","""location""","""type""","""quantile""","""value""",,,,,,
2020-05-29,41 day ahead inc death,2020-07-09,US,point,NA,1979.829422,,,,,,
2020-05-29,42 day ahead inc death,2020-07-10,US,point,NA,1867.166524,,,,,,
2020-05-29,43 day ahead inc death,2020-07-11,US,point,NA,1745.087262,,,,,,
2020-05-29,44 day ahead inc death,2020-07-12,US,point,NA,1632.790502,,,,,,
2020-05-29,45 day ahead inc death,2020-07-13,US,point,NA,1524.223471,,,,,,
2020-05-29,46 day ahead inc death,2020-07-14,US,point,NA,1421.474673,,,,,,
2020-05-29,47 day ahead inc death,2020-07-15,US,point,NA,1323.90024,,,,,,
2020-05-29,48 day ahead inc death,2020-07-16,US,point,NA,1231.677334,,,,,,
2020-05-29,49 day ahead inc death,2020-07-17,US,point,NA,1144.657388,,,,,,
2020-05-29,50 day ahead inc death,2020-07-18,US,point,NA,1062.749067,,,,,,
2020-05-29,51 day ahead inc death,2020-07-19,US,point,NA,985.802613,,,,,,
2020-05-29,52 day ahead inc death,2020-07-20,US,point,NA,913.6555756,,,,,,
2020-05-29,53 day ahead inc death,2020-07-21,US,point,NA,846.125216,,,,,,
2020-05-29,54 day ahead inc death,2020-07-22,US,point,NA,783.0174029,,,,,,
2020-05-29,55 day ahead inc death,2020-07-23,US,point,NA,724.1293328,,,,,,
2020-05-29,56 day ahead inc death,2020-07-24,US,point,NA,669.2534802,,,,,,
2020-05-29,57 day ahead inc death,2020-07-25,US,point,NA,618.1804279,,,,,,
2020-05-29,58 day ahead inc death,2020-07-26,US,point,NA,570.7013983,,,,,,
2020-05-29,59 day ahead inc death,2020-07-27,US,point,NA,526.610283,,,,,,
2020-05-29,60 day ahead inc death,2020-07-28,US,point,NA,485.7053007,,,,,,
2020-05-29,61 day ahead inc death,2020-07-29,US,point,NA,447.7903027,,,,,,
2020-05-29,62 day ahead inc death,2020-07-30,US,point,NA,412.67578,,,,,,
2020-05-29,63 day ahead inc death,2020-07-31,US,point,NA,380.1796098,,,,,,
2020-05-29,64 day ahead inc death,2020-08-01,US,point,NA,350.1275813,,,,,,
2020-05-29,65 day ahead inc death,2020-08-02,US,point,NA,322.3537339,,,,,,
2020-05-29,66 day ahead inc death,2020-08-03,US,point,NA,296.700539,,,,,,
2020-05-29,67 day ahead inc death,2020-08-04,US,point,NA,273.0189534,,,,,,
2020-05-29,68 day ahead inc death,2020-08-05,US,point,NA,251.1683675,,,,,,
2020-05-29,69 day ahead inc death,2020-08-06,US,point,NA,231.0164689,,,,,,
2020-05-29,70 day ahead inc death,2020-08-07,US,point,NA,214.8531203,,,,,,
2020-05-29,71 day ahead inc death,2020-08-08,US,point,NA,201.2286715,,,,,,
2020-05-29,72 day ahead inc death,2020-08-09,US,point,NA,187.9619277,,,,,,
2020-05-29,73 day ahead inc death,2020-08-10,US,point,NA,175.6949742,,,,,,
2020-05-29,74 day ahead inc death,2020-08-11,US,point,NA,164.1533537,,,,,,
2020-05-29,75 day ahead inc death,2020-08-12,US,point,NA,153.3643269,,,,,,
2020-05-29,76 day ahead inc death,2020-08-13,US,point,NA,143.2599678,,,,,,
2020-05-29,77 day ahead inc death,2020-08-14,US,point,NA,133.806372,,,,,,
2020-05-29,78 day ahead inc death,2020-08-15,US,point,NA,124.9614868,,,,,,
2020-05-29,79 day ahead inc death,2020-08-16,US,point,NA,116.6887523,,,,,,
2020-05-29,80 day ahead inc death,2020-08-17,US,point,NA,108.9525592,,,,,,
2020-05-29,81 day ahead inc death,2020-08-18,US,point,NA,101.7196241,,,,,,
2020-05-29,82 day ahead inc death,2020-08-19,US,point,NA,94.95843518,,,,,,
2020-05-29,83 day ahead inc death,2020-08-20,US,point,NA,88.63932446,,,,,,
2020-05-29,84 day ahead inc death,2020-08-21,US,point,NA,83.65360649,,,,,,
2020-05-29,85 day ahead inc death,2020-08-22,US,point,NA,79.50411333,,,,,,
2020-05-29,86 day ahead inc death,2020-08-23,US,point,NA,75.37034216,,,,,,
2020-05-29,87 day ahead inc death,2020-08-24,US,point,NA,71.50718094,,,,,,
2020-05-29,88 day ahead inc death,2020-08-25,US,point,NA,67.8179832,,,,,,
2020-05-29,89 day ahead inc death,2020-08-26,US,point,NA,64.32176644,,,,,,
2020-05-29,90 day ahead inc death,2020-08-27,US,point,NA,61.00022495,,,,,,
2020-05-29,91 day ahead inc death,2020-08-28,US,point,NA,57.84780242,,,,,,
2020-05-29,92 day ahead inc death,2020-08-29,US,point,NA,54.85528033,,,,,,
2020-05-29,93 day ahead inc death,2020-08-30,US,point,NA,52.01513353,,,,,,
2020-05-29,94 day ahead inc death,2020-08-31,US,point,NA,49.31975931,,,,,,
2020-05-29,95 day ahead inc death,2020-09-01,US,point,NA,46.76203973,,,,,,
2020-05-29,96 day ahead inc death,2020-09-02,US,point,NA,44.33514028,,,,,,
2020-05-29,97 day ahead inc death,2020-09-03,US,point,NA,42.03255878,,,,,,
2020-05-29,98 day ahead inc death,2020-09-04,US,point,NA,40.28122407,,,,,,
2020-05-29,99 day ahead inc death,2020-09-05,US,point,NA,38.87169638,,,,,,
2020-05-29,100 day ahead inc death,2020-09-06,US,point,NA,37.81889516,,,,,,
2020-05-29,101 day ahead inc death,2020-09-07,US,point,NA,37.84953064,,,,,,
2020-05-29,102 day ahead inc death,2020-09-08,US,point,NA,37.52009245,,,,,,
2020-05-29,103 day ahead inc death,2020-09-09,US,point,NA,37.3107681,,,,,,
2020-05-29,104 day ahead inc death,2020-09-10,US,point,NA,37.06186364,,,,,,
2020-05-29,105 day ahead inc death,2020-09-11,US,point,NA,36.82652649,,,,,,
2020-05-29,106 day ahead inc death,2020-09-12,US,point,NA,36.58710766,,,,,,
2020-05-29,107 day ahead inc death,2020-09-13,US,point,NA,36.34950597,,,,,,
2020-05-29,108 day ahead inc death,2020-09-14,US,point,NA,36.11178741,,,,,,
2020-05-29,109 day ahead inc death,2020-09-15,US,point,NA,35.87462285,,,,,,
2020-05-29,110 day ahead inc death,2020-09-16,US,point,NA,35.63781627,,,,,110,FALSE
2020-05-29,111 day ahead inc death,2020-09-17,US,point,NA,35.40145957,,,,,,
2020-05-29,112 day ahead inc death,2020-09-18,US,point,NA,35.16554842,,,,,,
2020-05-29,113 day ahead inc death,2020-09-19,US,point,NA,34.93011005,,,,,,
2020-05-29,114 day ahead inc death,2020-09-20,US,point,NA,34.69516075,,,,,,
2020-05-29,115 day ahead inc death,2020-09-21,US,point,NA,34.46072,,,,,,
2020-05-29,116 day ahead inc death,2020-09-22,US,point,NA,34.22680577,,,,,,
2020-05-29,117 day ahead inc death,2020-09-23,US,point,NA,33.99343609,,,,,,
2020-05-29,118 day ahead inc death,2020-09-24,US,point,NA,33.76062853,,,,,,
2020-05-29,119 day ahead inc death,2020-09-25,US,point,NA,33.52840036,,,,,,
2020-05-29,120 day ahead inc death,2020-09-26,US,point,NA,33.29676852,,,,,,
2020-05-29,121 day ahead inc death,2020-09-27,US,point,NA,33.0657496,,,,,,
2020-05-29,122 day ahead inc death,2020-09-28,US,point,NA,32.83535987,,,,,,
2020-05-29,123 day ahead inc death,2020-09-29,US,point,NA,32.60561528,,,,,,
2020-05-29,124 day ahead inc death,2020-09-30,US,point,NA,32.37653144,,,,,,
2020-05-29,125 day ahead inc death,2020-10-01,US,point,NA,32.14812363,,,,,,
2020-05-29,126 day ahead inc death,2020-10-02,US,point,NA,31.92040683,,,,,,
2020-05-29,127 day ahead inc death,2020-10-03,US,point,NA,31.69339567,,,,,,
2020-05-29,128 day ahead inc death,2020-10-04,US,point,NA,31.46710446,,,,,,
2020-05-29,129 day ahead inc death,2020-10-05,US,point,NA,31.24154721,,,,,,
2020-05-29,130 day ahead inc death,2020-10-06,US,point,NA,31.01673759,,,,,,
2020-05-29,0 day ahead inc death,2020-05-29,TX,point,NA,72.23382936,,,,,,
2020-05-29,1 day ahead inc death,2020-05-30,TX,point,NA,81.55850906,,,,,,
2020-05-29,2 day ahead inc death,2020-05-31,TX,point,NA,89.24430596,,,,,,
2020-05-29,3 day ahead inc death,2020-06-01,TX,point,NA,98.50865466,,,,,,
2020-05-29,4 day ahead inc death,2020-06-02,TX,point,NA,108.3169926,,,,,,
2020-05-29,5 day ahead inc death,2020-06-03,TX,point,NA,120.3919898,,,,,,
2020-05-29,6 day ahead inc death,2020-06-04,TX,point,NA,133.1810794,,,,,,
2020-05-29,7 day ahead inc death,2020-06-05,TX,point,NA,147.3204077,,,,,,
2020-05-29,8 day ahead inc death,2020-06-06,TX,point,NA,162.6880929,,,,,,
2020-05-29,9 day ahead inc death,2020-06-07,TX,point,NA,179.4163126,,,,,,
2020-05-29,10 day ahead inc death,2020-06-08,TX,point,NA,199.6628292,,,,,,
2020-05-29,11 day ahead inc death,2020-06-09,TX,point,NA,221.0590619,,,,,,
2020-05-29,12 day ahead inc death,2020-06-10,TX,point,NA,244.5106283,,,,,,
2020-05-29,13 day ahead inc death,2020-06-11,TX,point,NA,269.7643928,,,,,,
2020-05-29,14 day ahead inc death,2020-06-12,TX,point,NA,296.927055,,,,,,
2020-05-29,15 day ahead inc death,2020-06-13,TX,point,NA,329.398671,,,,,,
2020-05-29,16 day ahead inc death,2020-06-14,TX,point,NA,363.1230553,,,,,,
2020-05-29,17 day ahead inc death,2020-06-15,TX,point,NA,399.3749116,,,,,,
2020-05-29,18 day ahead inc death,2020-06-16,TX,point,NA,437.4905533,,,,,,
2020-05-29,19 day ahead inc death,2020-06-17,TX,point,NA,482.3790517,,,,,,
2020-05-29,20 day ahead inc death,2020-06-18,TX,point,NA,527.7364256,,,,,,
2020-05-29,21 day ahead inc death,2020-06-19,TX,point,NA,575.1070152,,,,,,
2020-05-29,22 day ahead inc death,2020-06-20,TX,point,NA,623.1430652,,,,,,
2020-05-29,23 day ahead inc death,2020-06-21,TX,point,NA,671.289937,,,,,,
2020-05-29,24 day ahead inc death,2020-06-22,TX,point,NA,718.5269941,,,,,,
2020-05-29,25 day ahead inc death,2020-06-23,TX,point,NA,763.8202732,,,,,,
2020-05-29,26 day ahead inc death,2020-06-24,TX,point,NA,806.0066124,,,,,,
2020-05-29,27 day ahead inc death,2020-06-25,TX,point,NA,843.8908993,,,,,,
2020-05-29,28 day ahead inc death,2020-06-26,TX,point,NA,867.1599803,,,,,,
2020-05-29,29 day ahead inc death,2020-06-27,TX,point,NA,886.5284745,,,,,,
2020-05-29,30 day ahead inc death,2020-06-28,TX,point,NA,897.3933221,,,,,,
2020-05-29,31 day ahead inc death,2020-06-29,TX,point,NA,900.6132412,,,,,,
2020-05-29,32 day ahead inc death,2020-06-30,TX,point,NA,895.5683335,,,,,,
2020-05-29,33 day ahead inc death,2020-07-01,TX,point,NA,882.5194916,,,,,,
2020-05-29,34 day ahead inc death,2020-07-02,TX,point,NA,861.8197543,,,,,,
2020-05-29,35 day ahead inc death,2020-07-03,TX,point,NA,825.3687762,,,,,,
2020-05-29,36 day ahead inc death,2020-07-04,TX,point,NA,786.5585544,,,,,,
2020-05-29,37 day ahead inc death,2020-07-05,TX,point,NA,742.5093844,,,,,,
2020-05-29,38 day ahead inc death,2020-07-06,TX,point,NA,695.7662942,,,,,,
2020-05-29,39 day ahead inc death,2020-07-07,TX,point,NA,647.0771514,,,,,,
2020-05-29,40 day ahead inc death,2020-07-08,TX,point,NA,597.6855036,,,,,,
2020-05-29,41 day ahead inc death,2020-07-09,TX,point,NA,548.5236179,,,,,,
2020-05-29,42 day ahead inc death,2020-07-10,TX,point,NA,495.1137279,,,,,,
2020-05-29,43 day ahead inc death,2020-07-11,TX,point,NA,441.414166,,,,,,
2020-05-29,44 day ahead inc death,2020-07-12,TX,point,NA,392.6522771,,,,,,
2020-05-29,45 day ahead inc death,2020-07-13,TX,point,NA,343.699611,,,,,,
2020-05-29,46 day ahead inc death,2020-07-14,TX,point,NA,297.710305,,,,,,
2020-05-29,47 day ahead inc death,2020-07-15,TX,point,NA,257.6801199,,,,,,
2020-05-29,48 day ahead inc death,2020-07-16,TX,point,NA,222.2073455,,,,,,
2020-05-29,49 day ahead inc death,2020-07-17,TX,point,NA,189.0934328,,,,,,
2020-05-29,50 day ahead inc death,2020-07-18,TX,point,NA,159.4159812,,,,,,
2020-05-29,51 day ahead inc death,2020-07-19,TX,point,NA,132.9999647,,,,,,
2020-05-29,52 day ahead inc death,2020-07-20,TX,point,NA,109.8856903,,,,,,
2020-05-29,53 day ahead inc death,2020-07-21,TX,point,NA,89.90697453,,,,,,
2020-05-29,54 day ahead inc death,2020-07-22,TX,point,NA,73.72847209,,,,,,
2020-05-29,55 day ahead inc death,2020-07-23,TX,point,NA,60.3390969,,,,,,
2020-05-29,56 day ahead inc death,2020-07-24,TX,point,NA,48.79141158,,,,,,
2020-05-29,57 day ahead inc death,2020-07-25,TX,point,NA,39.13270123,,,,,,
2020-05-29,58 day ahead inc death,2020-07-26,TX,point,NA,31.0858943,,,,,,
2020-05-29,59 day ahead inc death,2020-07-27,TX,point,NA,24.77315242,,,,,,
2020-05-29,60 day ahead inc death,2020-07-28,TX,point,NA,19.71021702,,,,,,
2020-05-29,61 day ahead inc death,2020-07-29,TX,point,NA,15.6869854,,,,,,
2020-05-29,62 day ahead inc death,2020-07-30,TX,point,NA,12.48035193,,,,,,
2020-05-29,63 day ahead inc death,2020-07-31,TX,point,NA,9.928660164,,,,,,
2020-05-29,64 day ahead inc death,2020-08-01,TX,point,NA,7.897606017,,,,,,
2020-05-29,65 day ahead inc death,2020-08-02,TX,point,NA,6.281580012,,,,,,
2020-05-29,66 day ahead inc death,2020-08-03,TX,point,NA,4.995872686,,,,,,
2020-05-29,67 day ahead inc death,2020-08-04,TX,point,NA,3.973118477,,,,,,
2020-05-29,68 day ahead inc death,2020-08-05,TX,point,NA,3.159606727,,,,,,
2020-05-29,69 day ahead inc death,2020-08-06,TX,point,NA,2.512580966,,,,,,
2020-05-29,70 day ahead inc death,2020-08-07,TX,point,NA,2.022365715,,,,,,
2020-05-29,71 day ahead inc death,2020-08-08,TX,point,NA,1.639707864,,,,,,
2020-05-29,72 day ahead inc death,2020-08-09,TX,point,NA,1.341500432,,,,,,
2020-05-29,73 day ahead inc death,2020-08-10,TX,point,NA,1.093744206,,,,,,
2020-05-29,74 day ahead inc death,2020-08-11,TX,point,NA,0.892899489,,,,,,
2020-05-29,75 day ahead inc death,2020-08-12,TX,point,NA,0.728567441,,,,,,
2020-05-29,76 day ahead inc death,2020-08-13,TX,point,NA,0.594586957,,,,,,
2020-05-29,77 day ahead inc death,2020-08-14,TX,point,NA,0.490915386,,,,,,
2020-05-29,78 day ahead inc death,2020-08-15,TX,point,NA,0.408230411,,,,,,
2020-05-29,79 day ahead inc death,2020-08-16,TX,point,NA,0.342448478,,,,,,
2020-05-29,80 day ahead inc death,2020-08-17,TX,point,NA,0.289581234,,,,,,
2020-05-29,81 day ahead inc death,2020-08-18,TX,point,NA,0.246886752,,,,,,
2020-05-29,82 day ahead inc death,2020-08-19,TX,point,NA,0.209849019,,,,,,
2020-05-29,83 day ahead inc death,2020-08-20,TX,point,NA,0.178567505,,,,,,
2020-05-29,84 day ahead inc death,2020-08-21,TX,point,NA,0.153573228,,,,,,
2020-05-29,85 day ahead inc death,2020-08-22,TX,point,NA,0.131560108,,,,,,
2020-05-29,86 day ahead inc death,2020-08-23,TX,point,NA,0.112865029,,,,,,
2020-05-29,87 day ahead inc death,2020-08-24,TX,point,NA,0.096774964,,,,,,
2020-05-29,88 day ahead inc death,2020-08-25,TX,point,NA,0.082994871,,,,,,
2020-05-29,89 day ahead inc death,2020-08-26,TX,point,NA,0.071171768,,,,,,
2020-05-29,90 day ahead inc death,2020-08-27,TX,point,NA,0.061034509,,,,,,
2020-05-29,91 day ahead inc death,2020-08-28,TX,point,NA,0.052915761,,,,,,
2020-05-29,92 day ahead inc death,2020-08-29,TX,point,NA,0.045693437,,,,,,
2020-05-29,93 day ahead inc death,2020-08-30,TX,point,NA,0.039514804,,,,,,
2020-05-29,94 day ahead inc death,2020-08-31,TX,point,NA,0.034153248,,,,,,
2020-05-29,95 day ahead inc death,2020-09-01,TX,point,NA,0.029524981,,,,,,
2020-05-29,96 day ahead inc death,2020-09-02,TX,point,NA,0.025522061,,,,,,
2020-05-29,97 day ahead inc death,2020-09-03,TX,point,NA,0.022062424,,,,,,
2020-05-29,98 day ahead inc death,2020-09-04,TX,point,NA,0.019278867,,,,,,
2020-05-29,99 day ahead inc death,2020-09-05,TX,point,NA,0.017682339,,,,,,
2020-05-29,100 day ahead inc death,2020-09-06,TX,point,NA,0.015939012,,,,,,
2020-05-29,101 day ahead inc death,2020-09-07,TX,point,NA,0.014456292,,,,,,
2020-05-29,102 day ahead inc death,2020-09-08,TX,point,NA,0.013082786,,,,,,
2020-05-29,103 day ahead inc death,2020-09-09,TX,point,NA,0.01184901,,,,,,
2020-05-29,104 day ahead inc death,2020-09-10,TX,point,NA,0.010728608,,,,,,
2020-05-29,105 day ahead inc death,2020-09-11,TX,point,NA,0.009715105,,,,,,
2020-05-29,106 day ahead inc death,2020-09-12,TX,point,NA,0.008797036,,,,,,
2020-05-29,107 day ahead inc death,2020-09-13,TX,point,NA,0.007965821,,,,,,
2020-05-29,108 day ahead inc death,2020-09-14,TX,point,NA,0.007213114,,,,,,
2020-05-29,109 day ahead inc death,2020-09-15,TX,point,NA,0.006531542,,,,,,
2020-05-29,110 day ahead inc death,2020-09-16,TX,point,NA,0.005914368,,,,,,
2020-05-29,111 day ahead inc death,2020-09-17,TX,point,NA,0.005355512,,,,,,
2020-05-29,112 day ahead inc death,2020-09-18,TX,point,NA,0.004849463,,,,,,
2020-05-29,113 day ahead inc death,2020-09-19,TX,point,NA,0.00439123,,,,,,
2020-05-29,114 day ahead inc death,2020-09-20,TX,point,NA,0.003976297,,,,,,
2020-05-29,115 day ahead inc death,2020-09-21,TX,point,NA,0.003600571,,,,,,
2020-05-29,116 day ahead inc death,2020-09-22,TX,point,NA,0.003260348,,,,,,
2020-05-29,117 day ahead inc death,2020-09-23,TX,point,NA,0.002952272,,,,,,
2020-05-29,118 day ahead inc death,2020-09-24,TX,point,NA,0.002673308,,,,,,
2020-05-29,119 day ahead inc death,2020-09-25,TX,point,NA,0.002445404,,,,,,
2020-05-29,120 day ahead inc death,2020-09-26,TX,point,NA,0.002228891,,,,,,
2020-05-29,121 day ahead inc death,2020-09-27,TX,point,NA,0.002034137,,,,,,
2020-05-29,122 day ahead inc death,2020-09-28,TX,point,NA,0.001855563,,,,,,
2020-05-29,123 day ahead inc death,2020-09-29,TX,point,NA,0.001692936,,,,,,
2020-05-29,124 day ahead inc death,2020-09-30,TX,point,NA,0.001544474,,,,,,
2020-05-29,125 day ahead inc death,2020-10-01,TX,point,NA,0.001409061,,,,,,
2020-05-29,126 day ahead inc death,2020-10-02,TX,point,NA,0.00128551,,,,,,
2020-05-29,127 day ahead inc death,2020-10-03,TX,point,NA,0.001172796,,,,,,
2020-05-29,128 day ahead inc death,2020-10-04,TX,point,NA,0.001069964,,,,,,
2020-05-29,129 day ahead inc death,2020-10-05,TX,point,NA,0.000976148,,,,,,
2020-05-29,130 day ahead inc death,2020-10-06,TX,point,NA,0.000890558,,,,,,
