forecast_date,target,target_end_date,type,quantile,value,location
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.025,2725.465372725581,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.05,3131.3807288862035,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.1,3574.6946375514312,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.15,3876.7667131190333,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.2,4072.393435721641,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.25,4268.967991445094,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.3,4478.857408651652,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.35,4616.104169106091,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.4,4800.350077809127,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.45,4995.034445972681,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.5,5167.7253847401535,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.55,5426.2197120452365,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.6,5626.447468029371,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.65,5809.998486168969,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.7,6010.459180775577,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.75,6240.807217875518,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.8,6540.206374860022,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.85,6889.134456766074,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.9,7266.140055616343,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.95,7941.653668195652,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.975,8627.076860245557,US
2021-03-28,2 wk ahead inc death,2021-04-10,quantile,0.99,9441.798440756911,US
2021-03-28,3 wk ahead cum death,2021-04-17,point,,564999.0,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.01,556043.2232585957,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.025,557295.9087115416,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.05,558295.8596477673,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.1,559624.597198815,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.15,560548.4492051766,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.2,561158.7002778504,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.25,561717.5879862489,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.3,562316.534320756,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.35,562823.9200718483,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.4,563382.1229382706,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.45,563858.7888820748,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.5,564372.4354014765,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.55,565080.060051219,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.6,565661.2190382648,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.65,566168.0348209302,US
2021-03-28,3 wk ahead cum death,2021-04-17,quantile,0.7,567131.8558773445,US
