target,forecast_date,target_end_date,type,quantile,value,location
2 wk ahead inc death,2022-01-09,2022-01-22,point,,117.0,41
2 wk ahead inc death,2022-01-09,2022-01-22,point,,780.0,42
2 wk ahead inc death,2022-01-09,2022-01-22,point,,66.0,44
2 wk ahead inc death,2022-01-09,2022-01-22,point,,175.0,45
2 wk ahead inc death,2022-01-09,2022-01-22,point,,46.0,46
2 wk ahead inc death,2022-01-09,2022-01-22,point,,306.0,47
2 wk ahead inc death,2022-01-09,2022-01-22,point,,889.0,48
2 wk ahead inc death,2022-01-09,2022-01-22,point,,119.0,49
2 wk ahead inc death,2022-01-09,2022-01-22,point,,18.0,50
2 wk ahead inc death,2022-01-09,2022-01-22,point,,220.0,51
2 wk ahead inc death,2022-01-09,2022-01-22,point,,154.0,53
2 wk ahead inc death,2022-01-09,2022-01-22,point,,81.0,54
2 wk ahead inc death,2022-01-09,2022-01-22,point,,241.0,55
2 wk ahead inc death,2022-01-09,2022-01-22,point,,58.0,56
1 wk ahead cum death,2022-01-09,2022-01-15,point,,16749.0,01
2 wk ahead cum death,2022-01-09,2022-01-22,point,,16919.0,01
1 wk ahead cum death,2022-01-09,2022-01-15,point,,987.0,02
2 wk ahead cum death,2022-01-09,2022-01-22,point,,999.0,02
1 wk ahead cum death,2022-01-09,2022-01-15,point,,25050.0,04
2 wk ahead cum death,2022-01-09,2022-01-22,point,,25418.0,04
1 wk ahead cum death,2022-01-09,2022-01-15,point,,9462.0,05
2 wk ahead cum death,2022-01-09,2022-01-22,point,,9651.0,05
1 wk ahead cum death,2022-01-09,2022-01-15,point,,77533.0,06
2 wk ahead cum death,2022-01-09,2022-01-22,point,,78113.0,06
1 wk ahead cum death,2022-01-09,2022-01-15,point,,10589.0,08
2 wk ahead cum death,2022-01-09,2022-01-22,point,,10766.0,08
1 wk ahead cum death,2022-01-09,2022-01-15,point,,9561.0,09
2 wk ahead cum death,2022-01-09,2022-01-22,point,,9791.0,09
1 wk ahead cum death,2022-01-09,2022-01-15,point,,62880.0,12
2 wk ahead cum death,2022-01-09,2022-01-22,point,,63119.0,12
1 wk ahead cum death,2022-01-09,2022-01-15,point,,31702.0,13
2 wk ahead cum death,2022-01-09,2022-01-22,point,,31888.0,13
1 wk ahead cum death,2022-01-09,2022-01-15,point,,4302.0,16
2 wk ahead cum death,2022-01-09,2022-01-22,point,,4379.0,16
1 wk ahead cum death,2022-01-09,2022-01-15,point,,31291.0,17
2 wk ahead cum death,2022-01-09,2022-01-22,point,,31818.0,17
1 wk ahead cum death,2022-01-09,2022-01-15,point,,20045.0,18
2 wk ahead cum death,2022-01-09,2022-01-22,point,,20501.0,18
1 wk ahead cum death,2022-01-09,2022-01-15,point,,8143.0,19
2 wk ahead cum death,2022-01-09,2022-01-22,point,,8282.0,19
1 wk ahead cum death,2022-01-09,2022-01-15,point,,7179.0,20
2 wk ahead cum death,2022-01-09,2022-01-22,point,,7276.0,20
1 wk ahead cum death,2022-01-09,2022-01-15,point,,12591.0,21
2 wk ahead cum death,2022-01-09,2022-01-22,point,,12860.0,21
1 wk ahead cum death,2022-01-09,2022-01-15,point,,15126.0,22
2 wk ahead cum death,2022-01-09,2022-01-22,point,,15225.0,22
1 wk ahead cum death,2022-01-09,2022-01-15,point,,20858.0,25
2 wk ahead cum death,2022-01-09,2022-01-22,point,,21175.0,25
1 wk ahead cum death,2022-01-09,2022-01-15,point,,30738.0,26
2 wk ahead cum death,2022-01-09,2022-01-22,point,,31554.0,26
1 wk ahead cum death,2022-01-09,2022-01-15,point,,11134.0,27
2 wk ahead cum death,2022-01-09,2022-01-22,point,,11368.0,27
1 wk ahead cum death,2022-01-09,2022-01-15,point,,10613.0,28
2 wk ahead cum death,2022-01-09,2022-01-22,point,,10732.0,28
1 wk ahead cum death,2022-01-09,2022-01-15,point,,16769.0,29
2 wk ahead cum death,2022-01-09,2022-01-22,point,,17063.0,29
1 wk ahead cum death,2022-01-09,2022-01-15,point,,2934.0,30
2 wk ahead cum death,2022-01-09,2022-01-22,point,,2957.0,30
1 wk ahead cum death,2022-01-09,2022-01-15,point,,3544.0,31
2 wk ahead cum death,2022-01-09,2022-01-22,point,,3638.0,31
1 wk ahead cum death,2022-01-09,2022-01-15,point,,8592.0,32
2 wk ahead cum death,2022-01-09,2022-01-22,point,,8700.0,32
1 wk ahead cum death,2022-01-09,2022-01-15,point,,2093.0,33
2 wk ahead cum death,2022-01-09,2022-01-22,point,,2177.0,33
1 wk ahead cum death,2022-01-09,2022-01-15,point,,29783.0,34
2 wk ahead cum death,2022-01-09,2022-01-22,point,,30165.0,34
1 wk ahead cum death,2022-01-09,2022-01-15,point,,6114.0,35
2 wk ahead cum death,2022-01-09,2022-01-22,point,,6260.0,35
1 wk ahead cum death,2022-01-09,2022-01-15,point,,61181.0,36
2 wk ahead cum death,2022-01-09,2022-01-22,point,,61943.0,36
1 wk ahead cum death,2022-01-09,2022-01-15,point,,19795.0,37
2 wk ahead cum death,2022-01-09,2022-01-22,point,,19993.0,37
1 wk ahead cum death,2022-01-09,2022-01-15,point,,2093.0,38
2 wk ahead cum death,2022-01-09,2022-01-22,point,,2116.0,38
1 wk ahead cum death,2022-01-09,2022-01-15,point,,12757.0,40
2 wk ahead cum death,2022-01-09,2022-01-22,point,,12950.0,40
1 wk ahead cum death,2022-01-09,2022-01-15,point,,5850.0,41
2 wk ahead cum death,2022-01-09,2022-01-22,point,,5967.0,41
1 wk ahead cum death,2022-01-09,2022-01-15,point,,38397.0,42
2 wk ahead cum death,2022-01-09,2022-01-22,point,,39177.0,42
1 wk ahead cum death,2022-01-09,2022-01-15,point,,3176.0,44
2 wk ahead cum death,2022-01-09,2022-01-22,point,,3242.0,44
1 wk ahead cum death,2022-01-09,2022-01-15,point,,14875.0,45
2 wk ahead cum death,2022-01-09,2022-01-22,point,,15050.0,45
1 wk ahead cum death,2022-01-09,2022-01-15,point,,2558.0,46
2 wk ahead cum death,2022-01-09,2022-01-22,point,,2604.0,46
1 wk ahead cum death,2022-01-09,2022-01-15,point,,21175.0,47
2 wk ahead cum death,2022-01-09,2022-01-22,point,,21481.0,47
1 wk ahead cum death,2022-01-09,2022-01-15,point,,77166.0,48
2 wk ahead cum death,2022-01-09,2022-01-22,point,,78055.0,48
1 wk ahead cum death,2022-01-09,2022-01-15,point,,3971.0,49
2 wk ahead cum death,2022-01-09,2022-01-22,point,,4090.0,49
1 wk ahead cum death,2022-01-09,2022-01-15,point,,497.0,50
2 wk ahead cum death,2022-01-09,2022-01-22,point,,515.0,50
1 wk ahead cum death,2022-01-09,2022-01-15,point,,15817.0,51
2 wk ahead cum death,2022-01-09,2022-01-22,point,,16037.0,51
1 wk ahead cum death,2022-01-09,2022-01-15,point,,10124.0,53
2 wk ahead cum death,2022-01-09,2022-01-22,point,,10278.0,53
1 wk ahead cum death,2022-01-09,2022-01-15,point,,5496.0,54
2 wk ahead cum death,2022-01-09,2022-01-22,point,,5577.0,54
1 wk ahead cum death,2022-01-09,2022-01-15,point,,11624.0,55
2 wk ahead cum death,2022-01-09,2022-01-22,point,,11865.0,55
1 wk ahead cum death,2022-01-09,2022-01-15,point,,1618.0,56
2 wk ahead cum death,2022-01-09,2022-01-22,point,,1676.0,56
1 wk ahead cum death,2022-01-09,2022-01-15,point,,276.0,66
2 wk ahead cum death,2022-01-09,2022-01-22,point,,281.0,66
1 wk ahead cum death,2022-01-09,2022-01-15,point,,25.0,69
2 wk ahead cum death,2022-01-09,2022-01-22,point,,30.0,69
1 wk ahead cum death,2022-01-09,2022-01-15,point,,3413.0,72
2 wk ahead cum death,2022-01-09,2022-01-22,point,,3476.0,72
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,3193116.7981821964,US
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,3979960.047944982,US
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,4682045.932240299,US
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.5,5721408.034180085,US
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.75,6778867.38596356,US
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.9,7685336.155347275,US
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.975,9159711.339441838,US
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,0.0,60
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,501.98095703125,66
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,175.82278462736832,69
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,50954.37890625,01
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,6297.28564453125,02
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,50516.763020833336,04
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,31669.5,05
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,51982.74186126148,08
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,51094.89737215909,09
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,16389.57080078125,10
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,14998.523763020834,11
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,97750.20557005097,13
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,17712.733940972223,15
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,6955.052024147727,16
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,155238.578125,17
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,56828.03031313272,18
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,20397.07080078125,19
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,43800.9296875,20
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,50587.819010416664,21
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,66182.2890625,22
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,3513.321240552829,23
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,86994.79575892857,24
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,105452.43048024295,25
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,105326.40830828554,26
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,32237.427734375,27
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,39227.0,28
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,50971.6025390625,29
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,4688.8369140625,30
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,18339.142578125,31
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,20715.143229166668,32
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,15954.428228105653,33
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,156243.95833333334,34
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,18431.475452369876,35
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,99106.2457083765,37
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,5085.270862896973,38
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,115237.64453125,39
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,21388.285807291668,40
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,30197.51925223214,41
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,138398.5469894633,42
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,30800.221261160714,44
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,51340.804626079276,45
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,7521.974867876838,46
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,52495.87068595185,47
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,43352.619791666664,49
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,9033.2138671875,50
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,92197.9482289171,51
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,78829.76041666667,53
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,21522.958984375,54
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,45987.611979166664,55
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.025,3097.8570585250854,56
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,0.0,60
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,824.4999771118164,66
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,200.10553080698017,69
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,56157.940625,01
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,7175.653076171875,02
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,53368.14453125,04
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,45040.73828125,05
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,64250.1435484197,08
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,57152.1875,09
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,18022.202966308592,10
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,16180.35693359375,11
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,98615.69161821883,13
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,22612.4287109375,15
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,7665.28564453125,16
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,234100.18776977487,17
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,83753.76797985962,18
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,23590.787109375,19
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,50435.5546875,20
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,51639.21022727273,21
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,87438.84263392857,22
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,3981.654871718759,23
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,98685.59189471985,24
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,143434.8406902226,25
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,137519.50857922435,26
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,49098.751302083336,27
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,50439.14453125,28
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,68321.95052083333,29
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,5343.018798828125,30
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,21716.973544034092,31
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,24409.346819196428,32
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,18972.786694801554,33
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,181324.05163043478,34
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,21708.45727401739,35
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,141873.34040358342,37
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,5455.5217162812505,38
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,139370.19910243823,39
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,24652.660400390625,40
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,45719.0,41
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,152398.9374097502,42
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,45127.11328125,44
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,72601.26888828618,45
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,8642.64306640625,46
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,64251.551890158225,47
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,51118.94609375,49
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,11517.35693359375,50
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,100832.28940930871,51
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,91011.8453125,53
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,22695.0,54
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,51711.445963541664,55
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.1,3797.678547314252,56
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,0.0,60
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,959.1746751915454,66
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,216.30166687992852,69
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,72693.22055288461,01
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,8869.999733664772,02
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,58466.58558238636,04
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,50784.592447916664,05
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,77403.61148692376,08
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,79947.57145649736,09
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,18874.41508278918,10
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,18253.94231238732,11
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,110224.7451141394,13
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,25761.12548828125,15
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,10117.4287109375,16
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,287489.7969942154,17
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,93094.11735911659,18
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,26272.74296875,19
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,54820.568359375,20
1 wk ahead inc case,2022-01-09,2022-01-15,quantile,0.25,58490.85546875,21
