target,forecast_date,target_end_date,type,quantile,location,value
1 wk ahead inc case,2021-12-26,2022-01-01,point,,04,20215.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,05,7295.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,06,99474.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,08,20036.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,09,22421.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,10,6439.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,11,12532.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,12,105406.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,13,52012.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,16,2092.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,18,28920.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,19,9510.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,20,10860.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,21,14777.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,22,14278.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,23,6512.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,25,54890.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,26,41376.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,27,18923.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,28,4484.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,29,20840.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,30,1148.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,31,5164.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,32,5858.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,33,7802.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,35,8208.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,37,23088.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,38,2529.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,39,88656.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,40,8938.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,41,6069.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,42,62166.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,44,9882.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,45,9588.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,46,2184.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,47,21347.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,48,72442.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,49,6206.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,50,2910.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,51,39992.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,53,16294.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,54,7003.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,55,30264.0
1 wk ahead inc case,2021-12-26,2022-01-01,point,,56,802.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,60,6.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,66,123.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,69,329.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,78,506.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,01,13289.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,02,1207.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,04,20514.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,05,8382.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,06,122704.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,08,20388.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,09,24636.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,10,7848.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,11,18343.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,12,203027.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,13,67448.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,16,1844.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,18,27094.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,19,8564.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,20,9917.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,21,15596.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,22,17668.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,23,6453.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,25,58015.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,26,38672.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,27,17642.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,28,5086.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,29,21310.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,30,1248.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,31,5159.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,32,5748.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,33,7199.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,35,8894.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,37,20396.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,38,2994.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,39,103562.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,40,10478.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,41,5888.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,42,66520.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,44,9798.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,45,9732.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,46,1817.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,47,22777.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,48,87433.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,49,5136.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,50,2958.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,51,45528.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,53,17332.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,54,6504.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,55,29238.0
2 wk ahead inc case,2021-12-26,2022-01-08,point,,56,977.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,60,8.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,66,164.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,69,319.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,78,594.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,01,15700.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,02,1447.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,04,20706.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,05,9244.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,06,153354.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,08,21540.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,09,29569.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,10,8783.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,11,27358.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,12,327573.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,13,90571.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,16,1928.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,18,27578.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,19,8844.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,20,9870.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,21,16176.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,22,22000.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,23,6452.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,25,69426.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,26,39717.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,27,17399.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,28,6572.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,29,22854.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,30,1546.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,31,5156.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,32,6156.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,33,7628.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,35,11507.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,37,23421.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,38,3692.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,39,127009.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,40,12931.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,41,6252.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,42,68383.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,44,11089.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,45,11105.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,46,1856.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,47,24991.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,48,117750.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,49,4910.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,50,2970.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,51,52489.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,53,18892.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,54,7034.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,55,29264.0
3 wk ahead inc case,2021-12-26,2022-01-15,point,,56,1206.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,60,8.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,66,202.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,69,318.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,78,676.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,01,17372.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,02,1762.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,04,20800.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,05,10016.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,06,191036.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,08,21946.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,09,35764.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,10,9708.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,11,35354.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,12,586099.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,13,121366.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,16,1990.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,18,28454.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,19,8778.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,20,9660.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,21,16612.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,22,27132.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,23,6643.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,25,88787.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,26,40164.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,27,18452.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,28,8572.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,29,24238.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,30,1964.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,31,5206.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,32,6588.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,33,7611.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,35,14230.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,37,25404.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,38,4624.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,39,153062.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,40,15972.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,41,6464.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,42,71907.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,44,12120.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,45,12340.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,46,1823.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,47,27564.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,48,161900.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,49,4726.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,50,2959.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,51,60766.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,53,20778.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,54,7056.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,55,29951.0
4 wk ahead inc case,2021-12-26,2022-01-22,point,,56,1564.0
1 wk ahead cum death,2021-12-26,2022-01-01,point,,US,825748.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,US,9218.0
2 wk ahead cum death,2021-12-26,2022-01-08,point,,US,835074.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,US,9325.0
3 wk ahead cum death,2021-12-26,2022-01-15,point,,US,845280.0
3 wk ahead inc death,2021-12-26,2022-01-15,point,,US,10207.0
4 wk ahead cum death,2021-12-26,2022-01-22,point,,US,855938.0
4 wk ahead inc death,2021-12-26,2022-01-22,point,,US,10658.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,60,0.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,66,1.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,69,6.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,72,14.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,78,1.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,01,82.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,02,18.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,04,452.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,05,104.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,06,465.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,08,230.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,09,91.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,10,32.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,11,8.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,12,182.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,13,237.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,16,35.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,18,390.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,19,142.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,20,77.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,21,238.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,22,44.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,23,49.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,25,250.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,26,793.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,27,242.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,28,42.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,29,204.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,30,40.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,31,64.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,32,99.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,33,54.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,35,183.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,37,153.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,38,24.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,40,164.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,41,98.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,42,847.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,44,35.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,45,97.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,46,28.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,47,268.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,48,435.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,49,59.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,50,18.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,51,218.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,53,127.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,54,96.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,55,368.0
1 wk ahead inc death,2021-12-26,2022-01-01,point,,56,27.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,60,0.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,66,1.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,69,6.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,72,41.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,78,2.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,01,96.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,02,18.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,04,430.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,05,110.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,06,466.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,08,216.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,09,92.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,10,40.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,11,16.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,12,198.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,13,269.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,16,30.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,18,345.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,19,136.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,20,99.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,21,206.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,22,48.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,23,48.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,25,282.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,26,710.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,27,219.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,28,40.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,29,186.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,30,42.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,31,72.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,32,94.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,33,51.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,35,165.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,37,145.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,38,24.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,40,146.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,41,96.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,42,842.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,44,36.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,45,92.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,46,25.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,47,224.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,48,404.0
2 wk ahead inc death,2021-12-26,2022-01-08,point,,49,55.0
