target,location,forecast_date,target_end_date,type,quantile,value
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.15,254.38163859159386
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.2,265.06325358187087
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.25,277.54491037832986
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.3,284.06951129360834
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.35,285.82454953465526
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.4,289.4664758218034
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.45,294.1409628017775
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.5,300.9896011061737
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.55,310.54531141314857
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.6,319.04425087038624
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.65,322.01094899515635
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.7,327.53856212779453
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.75,361.00554299759193
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.8,380.3110141674852
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.85,388.7448290618442
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.9,430.92524157105146
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.95,527.3388636725356
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.975,548.0684269894999
2 wk ahead inc death,09,2022-01-16,2022-01-29,quantile,0.99,551.8087378683845
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.01,9655.4859870677
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.01,9804.168093589666
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.025,9685.1075531813
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.025,9867.605358321845
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.05,9702.668470175206
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.05,9920.51675899222
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.1,9725.873909275831
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.1,9966.892500941327
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.15,9740.840914459408
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.15,9995.222553051002
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.2,9744.495059840316
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.2,10009.558313422189
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.25,9745.340569364753
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.25,10022.885479743083
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.3,9753.771230338109
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.3,10037.840741631717
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.35,9756.04395936978
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.35,10041.868508904434
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.4,9758.22807464144
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.4,10047.694550463242
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.45,9767.853428027338
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.45,10061.994390829113
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.5,9769.117532895205
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.5,10070.107134001379
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.55,9772.982831646721
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.55,10083.528143059868
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.6,9783.829383869073
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.6,10102.873634739459
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.65,9792.29356262361
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.65,10114.304511618768
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.7,9814.57692732406
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.7,10142.115489451855
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.75,9826.743000119455
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.75,10187.748543117048
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.8,9828.426271219243
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.8,10208.737285386727
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.85,9830.06115228003
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.85,10218.805981341873
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.9,9841.250111644675
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.9,10272.175353215727
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.95,9863.377478978306
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.95,10390.716342650841
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.975,9930.076269400251
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.975,10478.14469638975
1 wk ahead cum death,09,2022-01-16,2022-01-22,quantile,0.99,9954.215015983045
2 wk ahead cum death,09,2022-01-16,2022-01-29,quantile,0.99,10506.02375385143
1 wk ahead inc death,23,2022-01-16,2022-01-22,point,,70.0
2 wk ahead inc death,23,2022-01-16,2022-01-29,point,,99.0
1 wk ahead cum death,23,2022-01-16,2022-01-22,point,,1728.0
2 wk ahead cum death,23,2022-01-16,2022-01-29,point,,1828.0
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.01,3.6447369342839657
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.025,15.149065979897525
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.05,17.10780585815784
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.1,33.11766164094685
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.15,37.97203419418584
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.2,45.492037552295756
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.25,46.55962564995839
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.3,48.17373055098031
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.35,48.64959403960848
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.4,51.89281010776675
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.45,54.33949071645617
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.5,58.55546950878206
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.55,63.639736041827376
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.6,65.53302033552066
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.65,68.15936639496573
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.7,70.62689486743812
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.75,77.7624261518221
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.8,82.58232265697274
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.85,85.12251366570902
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.9,96.24168824599573
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.95,220.29870102622294
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.975,227.22727177359843
1 wk ahead inc death,23,2022-01-16,2022-01-22,quantile,0.99,229.01298592307353
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.01,19.136934268917095
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.025,21.004467380489363
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.05,27.031103475102586
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.1,46.670458866661335
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.15,51.69935714832542
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.2,57.31994410979753
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.25,58.39101424871255
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.3,62.547938931606396
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.35,64.40260078485397
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.4,72.83615348973589
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.45,79.09130032700449
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.5,84.64738916843106
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.55,88.02211457755158
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.6,91.47939648238332
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.65,96.61452653455416
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.7,101.25219093087526
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.75,108.70585457121774
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.8,111.02605775042599
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.85,115.83049098175319
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.9,135.75216486761218
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.95,316.87098785196605
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.975,339.72813125406566
2 wk ahead inc death,23,2022-01-16,2022-01-29,quantile,0.99,410.91384292398754
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.01,1661.644736934284
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.01,1680.781671203201
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.025,1673.1490659798976
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.025,1694.153533360387
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.05,1675.107805858158
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.05,1702.1389093332605
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.1,1691.117661640947
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.1,1737.7881205076083
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.15,1695.9720341941859
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.15,1747.6713913425112
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.2,1703.4920375522956
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.2,1760.8119816620933
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.25,1704.5596256499584
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.25,1762.950639898671
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.3,1706.1737305509803
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.3,1768.7216694825865
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.35,1706.6495940396085
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.35,1771.0521948244625
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.4,1709.8928101077668
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.4,1782.7289635975026
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.45,1712.339490716456
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.45,1791.4307910434607
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.5,1716.5554695087822
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.5,1801.202858677213
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.55,1721.6397360418273
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.55,1809.661850619379
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.6,1723.5330203355206
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.6,1815.012416817904
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.65,1726.1593663949657
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.65,1822.7738929295197
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.7,1728.6268948674383
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.7,1829.8790857983136
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.75,1735.7624261518222
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.75,1844.4682807230397
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.8,1740.5823226569728
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.8,1851.6083804073987
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.85,1743.122513665709
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.85,1858.9530046474622
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.9,1754.2416882459956
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.9,1889.993853113608
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.95,1878.298701026223
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.95,2195.169688878189
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.975,1885.2272717735984
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.975,2224.955403027664
1 wk ahead cum death,23,2022-01-16,2022-01-22,quantile,0.99,1887.0129859230735
2 wk ahead cum death,23,2022-01-16,2022-01-29,quantile,0.99,2297.926828847061
1 wk ahead inc death,25,2022-01-16,2022-01-22,point,,459.0
2 wk ahead inc death,25,2022-01-16,2022-01-29,point,,546.0
1 wk ahead cum death,25,2022-01-16,2022-01-22,point,,21398.0
2 wk ahead cum death,25,2022-01-16,2022-01-29,point,,21944.0
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.01,136.9409561320123
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.025,201.9037580478882
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.05,270.0566689225719
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.1,342.3322343343455
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.15,364.77576129750486
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.2,378.8117843752354
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.25,400.3122265741574
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.3,419.32277521009576
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.35,432.27413280242286
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.4,444.2386711170594
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.45,453.7110955835367
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.5,467.14103364902394
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.55,472.7315848977352
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.6,481.80919024910963
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.65,488.6220785134508
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.7,504.5505132471697
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.75,543.48642141085
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.8,564.2060568054234
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.85,570.9676934569168
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.9,575.0617464616474
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.95,606.2363013169459
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.975,625.2895659075978
1 wk ahead inc death,25,2022-01-16,2022-01-22,quantile,0.99,749.2516530691274
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.01,211.4545906899549
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.025,303.3548681232892
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.05,365.41879569711546
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.1,413.7376414627536
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.15,435.02722312041413
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.2,458.17295074139884
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.25,477.7031668625543
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.3,491.9703285263972
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.35,499.47004461647964
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.4,514.8724534521223
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.45,542.1885408612803
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.5,548.6589516738084
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.55,556.0196346438904
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.6,558.119512460446
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.65,586.0080134729856
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.7,593.5798983297334
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.75,629.310210863574
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.8,634.647922879584
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.85,636.9860029960898
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.9,650.9417871471335
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.95,812.4694089232376
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.975,843.5680664839771
2 wk ahead inc death,25,2022-01-16,2022-01-29,quantile,0.99,887.1583672488177
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.01,21075.940956132014
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.01,21287.39554682197
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.025,21140.90375804789
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.025,21444.258626171177
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.05,21209.056668922574
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.05,21574.47546461969
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.1,21281.332234334346
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.1,21695.0698757971
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.15,21303.775761297504
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.15,21738.80298441792
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.2,21317.811784375233
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.2,21775.98473511663
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.25,21339.31222657416
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.25,21817.01539343671
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.3,21358.322775210094
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.3,21850.29310373649
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.35,21371.27413280242
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.35,21870.744177418903
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.4,21383.238671117062
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.4,21898.111124569183
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.45,21392.711095583538
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.45,21934.899636444818
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.5,21406.141033649023
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.5,21954.799985322832
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.55,21411.731584897734
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.55,21967.751219541628
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.6,21420.809190249107
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.6,21978.928702709556
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.65,21427.62207851345
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.65,22013.630091986437
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.7,21443.55051324717
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.7,22037.1304115769
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.75,21482.48642141085
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.75,22111.796632274425
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.8,21503.206056805422
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.8,22137.853979685005
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.85,21509.967693456914
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.85,22146.953696453005
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.9,21514.061746461648
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.9,22165.003533608782
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.95,21545.236301316945
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.95,22357.70571024018
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.975,21564.289565907595
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.975,22407.857632391573
1 wk ahead cum death,25,2022-01-16,2022-01-22,quantile,0.99,21688.25165306913
2 wk ahead cum death,25,2022-01-16,2022-01-29,quantile,0.99,22575.410020317948
1 wk ahead inc death,50,2022-01-16,2022-01-22,point,,14.0
2 wk ahead inc death,50,2022-01-16,2022-01-29,point,,41.0
1 wk ahead cum death,50,2022-01-16,2022-01-22,point,,512.0
2 wk ahead cum death,50,2022-01-16,2022-01-29,point,,552.0
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.01,2.4935064894425425
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.025,2.9220609687199235
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.05,4.613341078989084
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.1,5.759619627053157
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.15,6.184592002494234
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.2,6.687971907220885
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.25,6.84895986038317
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.3,7.1522410668200775
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.35,8.395374674558074
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.4,9.497568177022469
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.45,10.369335611145239
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.5,10.6048174860246
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.55,11.369408218031516
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.6,12.0839623795204
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.65,12.583314119564617
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.7,13.474256660921238
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.75,15.12151628528607
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.8,16.7188897156022
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.85,17.397633398612655
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.9,19.185785506022572
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.95,37.636363590950666
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.975,44.603896066740056
1 wk ahead inc death,50,2022-01-16,2022-01-22,quantile,0.99,114.54978236078708
2 wk ahead inc death,50,2022-01-16,2022-01-29,quantile,0.01,4.378377725610091
2 wk ahead inc death,50,2022-01-16,2022-01-29,quantile,0.025,6.742110695423634
2 wk ahead inc death,50,2022-01-16,2022-01-29,quantile,0.05,9.285559771247044
2 wk ahead inc death,50,2022-01-16,2022-01-29,quantile,0.1,13.296672463133529
2 wk ahead inc death,50,2022-01-16,2022-01-29,quantile,0.15,14.115725679040015
2 wk ahead inc death,50,2022-01-16,2022-01-29,quantile,0.2,16.008768438968254
2 wk ahead inc death,50,2022-01-16,2022-01-29,quantile,0.25,17.671306433679554
2 wk ahead inc death,50,2022-01-16,2022-01-29,quantile,0.3,18.94128754325536
2 wk ahead inc death,50,2022-01-16,2022-01-29,quantile,0.35,20.938260173646462
2 wk ahead inc death,50,2022-01-16,2022-01-29,quantile,0.4,21.58781662033558
2 wk ahead inc death,50,2022-01-16,2022-01-29,quantile,0.45,22.59549981893954
2 wk ahead inc death,50,2022-01-16,2022-01-29,quantile,0.5,24.347560333181
