,date,location,location_name,hosps
204,2021-05-19,38,North Dakota,7
205,2021-05-18,09,Connecticut,51
206,2021-05-18,33,New Hampshire,12
207,2021-05-17,02,Alaska,0
208,2021-05-17,16,Idaho,21
209,2021-05-16,11,District of Columbia,7
210,2021-05-16,39,Ohio,153
211,2021-05-15,10,Delaware,8
212,2021-05-15,31,Nebraska,7
213,2021-05-14,10,Delaware,14
214,2021-05-12,15,Hawaii,6
215,2021-05-11,38,North Dakota,9
216,2021-05-10,27,Minnesota,59
217,2021-05-09,19,Iowa,20
218,2021-05-08,33,New Hampshire,9
219,2021-05-07,31,Nebraska,15
220,2021-05-06,16,Idaho,11
221,2021-05-06,38,North Dakota,5
222,2021-05-05,19,Iowa,43
223,2021-05-04,02,Alaska,4
224,2021-05-04,44,Rhode Island,4
225,2021-05-03,49,Utah,35
226,2021-05-02,56,Wyoming,9
227,2021-05-01,33,New Hampshire,10
228,2021-04-30,33,New Hampshire,6
229,2021-04-29,10,Delaware,27
230,2021-04-28,72,Puerto Rico,36
231,2021-04-27,15,Hawaii,9
232,2021-04-27,33,New Hampshire,17
233,2021-04-26,50,Vermont,7
234,2021-04-24,02,Alaska,9
235,2021-04-24,35,New Mexico,11
236,2021-04-23,15,Hawaii,2
237,2021-04-23,44,Rhode Island,10
238,2021-04-19,15,Hawaii,9
239,2021-04-17,02,Alaska,4
240,2021-04-17,23,Maine,8
241,2021-04-17,44,Rhode Island,14
242,2021-04-15,19,Iowa,57
243,2021-04-14,02,Alaska,6
244,2021-04-12,15,Hawaii,5
245,2021-04-11,15,Hawaii,4
246,2021-04-11,23,Maine,12
247,2021-04-10,11,District of Columbia,13
248,2021-04-10,44,Rhode Island,5
249,2021-04-08,16,Idaho,9
250,2021-04-08,56,Wyoming,8
251,2021-04-07,23,Maine,8
252,2021-04-06,15,Hawaii,6
253,2020-09-25,30,Montana,46
254,2020-10-24,49,Utah,48
255,2020-10-19,37,North Carolina,163
256,2020-11-04,56,Wyoming,28
257,2020-07-26,18,Indiana,9
258,2020-07-18,20,Kansas,47
259,2020-07-21,29,Missouri,67
260,2020-09-24,12,Florida,283
261,2020-09-09,40,Oklahoma,74
262,2020-07-25,17,Illinois,82
263,2020-10-11,32,Nevada,29
264,2020-10-04,08,Colorado,43
265,2020-07-24,32,Nevada,0
266,2020-07-21,54,West Virginia,17
267,2020-10-16,19,Iowa,86
268,2020-09-13,53,Washington,30
269,2020-08-24,44,Rhode Island,5
270,2020-08-18,41,Oregon,13
271,2020-10-07,02,Alaska,8
272,2020-08-18,55,Wisconsin,67
273,2020-09-20,55,Wisconsin,76
274,2020-10-21,55,Wisconsin,345
275,2020-08-11,42,Pennsylvania,73
276,2020-08-13,34,New Jersey,27
277,2020-08-22,27,Minnesota,32
278,2020-09-30,11,District of Columbia,16
279,2020-07-26,56,Wyoming,1
280,2020-10-11,50,Vermont,0
281,2020-10-03,08,Colorado,26
282,2020-09-26,13,Georgia,133
283,2020-07-25,51,Virginia,55
284,2020-08-22,08,Colorado,26
285,2020-10-09,20,Kansas,83
286,2020-07-27,50,Vermont,0
287,2020-07-07,13,Georgia,0
288,2020-10-24,31,Nebraska,55
289,2020-08-24,55,Wisconsin,80
290,2020-07-31,15,Hawaii,11
291,2020-07-23,35,New Mexico,21
292,2020-09-17,54,West Virginia,17
293,2020-08-20,53,Washington,21
294,2020-10-16,02,Alaska,8
295,2020-07-16,22,Louisiana,163
296,2020-10-08,23,Maine,1
297,2020-10-29,33,New Hampshire,6
298,2020-08-01,40,Oklahoma,46
299,2020-05-14,36,New York,0
300,2020-09-14,29,Missouri,126
301,2020-10-10,37,North Carolina,139
302,2020-08-06,50,Vermont,0
303,2020-11-02,18,Indiana,182
304,2020-09-11,13,Georgia,718
305,2020-10-01,06,California,316
306,2020-10-13,11,District of Columbia,11
307,2020-10-14,42,Pennsylvania,119
308,2020-09-23,56,Wyoming,8
309,2020-09-22,13,Georgia,147
310,2020-08-11,53,Washington,24
311,2020-08-19,04,Arizona,117
312,2020-08-13,36,New York,75
313,2020-09-03,46,South Dakota,17
314,2020-10-21,01,Alabama,151
315,2020-08-21,16,Idaho,18
316,2020-07-17,13,Georgia,224
317,2020-08-13,50,Vermont,2
318,2020-09-22,49,Utah,39
319,2020-11-03,34,New Jersey,147
320,2020-09-09,27,Minnesota,39
321,2020-08-06,41,Oregon,13
322,2020-07-22,15,Hawaii,4
323,2020-09-26,78,Virgin Islands,0
324,2020-10-08,09,Connecticut,13
325,2020-08-04,20,Kansas,29
326,2020-09-27,02,Alaska,4
327,2020-07-31,34,New Jersey,41
328,2020-07-17,53,Washington,26
329,2020-10-05,30,Montana,51
330,2020-09-13,08,Colorado,20
331,2020-09-27,45,South Carolina,53
332,2020-07-29,53,Washington,29
333,2020-08-16,08,Colorado,20
334,2020-07-27,19,Iowa,23
335,2020-08-28,44,Rhode Island,5
336,2020-08-20,21,Kentucky,144
337,2020-10-02,01,Alabama,120
338,2020-09-02,47,Tennessee,122
339,2020-09-28,21,Kentucky,167
340,2020-08-23,48,Texas,430
341,2020-08-18,22,Louisiana,134
342,2020-10-27,42,Pennsylvania,174
343,2020-08-04,09,Connecticut,20
344,2020-08-25,22,Louisiana,139
345,2020-10-06,08,Colorado,47
346,2020-10-15,38,North Dakota,29
347,2020-10-29,19,Iowa,103
348,2020-08-28,49,Utah,26
349,2020-08-08,50,Vermont,0
350,2020-08-21,33,New Hampshire,29
351,2020-10-03,20,Kansas,42
352,2020-07-16,55,Wisconsin,57
353,2020-09-01,28,Mississippi,90
354,2020-09-06,27,Minnesota,27
355,2020-09-20,13,Georgia,177
356,2020-09-12,55,Wisconsin,84
357,2020-10-12,01,Alabama,127
358,2020-10-20,36,New York,176
359,2020-07-27,04,Arizona,263
360,2020-08-18,35,New Mexico,4
361,2020-10-19,48,Texas,735
362,2020-09-11,46,South Dakota,27
363,2020-05-10,36,New York,1
364,2020-08-16,32,Nevada,60
365,2020-08-31,18,Indiana,53
366,2020-08-27,29,Missouri,85
367,2020-10-30,54,West Virginia,28
368,2020-10-24,38,North Dakota,29
369,2020-08-22,44,Rhode Island,7
370,2020-10-16,11,District of Columbia,2
371,2020-10-31,24,Maryland,56
372,2020-06-24,36,New York,0
373,2020-07-26,24,Maryland,66
374,2020-09-19,10,Delaware,9
375,2020-09-02,45,South Carolina,89
376,2020-09-30,37,North Carolina,101
377,2020-10-19,38,North Dakota,35
378,2020-10-01,23,Maine,1
379,2020-08-29,16,Idaho,10
380,2020-08-05,19,Iowa,32
381,2020-10-11,30,Montana,57
382,2020-08-24,33,New Hampshire,93
383,2020-08-25,55,Wisconsin,69
384,2020-09-13,17,Illinois,92
385,2020-07-21,25,Massachusetts,2
386,2020-07-21,45,South Carolina,117
387,2020-09-17,36,New York,84
388,2020-10-26,29,Missouri,212
389,2020-10-01,34,New Jersey,40
390,2020-09-19,48,Texas,371
391,2020-09-20,28,Mississippi,50
392,2020-08-22,33,New Hampshire,30
393,2020-10-15,09,Connecticut,30
394,2020-10-18,48,Texas,690
395,2020-09-28,06,California,362
396,2020-10-27,37,North Carolina,153
397,2020-06-02,36,New York,2
398,2020-09-18,54,West Virginia,16
399,2020-07-30,78,Virgin Islands,0
400,2020-09-01,44,Rhode Island,2
401,2020-08-21,27,Minnesota,36
402,2020-10-31,08,Colorado,114
403,2020-09-18,40,Oklahoma,124
404,2020-07-15,51,Virginia,88
405,2020-10-18,27,Minnesota,74
406,2020-11-05,40,Oklahoma,206
407,2020-08-23,45,South Carolina,83
408,2020-10-14,53,Washington,25
409,2020-07-14,40,Oklahoma,50
410,2020-09-22,39,Ohio,82
411,2020-08-08,01,Alabama,75
412,2020-07-20,49,Utah,3
413,2020-10-21,22,Louisiana,96
414,2020-08-30,54,West Virginia,11
415,2020-10-25,10,Delaware,9
416,2020-08-02,31,Nebraska,0
417,2020-08-08,78,Virgin Islands,0
418,2020-10-23,16,Idaho,30
419,2020-08-05,41,Oregon,5
420,2020-10-02,56,Wyoming,13
421,2020-07-14,10,Delaware,1
422,2020-10-11,09,Connecticut,24
423,2020-09-29,34,New Jersey,49
424,2020-07-22,02,Alaska,5
425,2020-09-29,28,Mississippi,51
426,2020-08-03,51,Virginia,54
427,2020-07-31,30,Montana,18
428,2020-11-03,22,Louisiana,108
429,2020-10-07,50,Vermont,0
430,2020-09-23,41,Oregon,22
431,2020-10-06,02,Alaska,3
432,2020-08-04,15,Hawaii,17
433,2020-10-15,32,Nevada,48
434,2020-09-06,38,North Dakota,7
435,2020-10-04,30,Montana,47
436,2020-10-27,44,Rhode Island,18
437,2020-08-18,18,Indiana,68
438,2020-10-29,21,Kentucky,278
439,2020-09-23,11,District of Columbia,6
440,2020-09-21,17,Illinois,123
441,2020-10-01,40,Oklahoma,136
442,2020-08-27,09,Connecticut,11
443,2020-10-13,21,Kentucky,153
444,2020-07-25,23,Maine,4
445,2020-09-27,51,Virginia,42
446,2020-08-21,54,West Virginia,12
447,2020-08-30,25,Massachusetts,16
448,2020-08-04,42,Pennsylvania,84
449,2020-07-25,34,New Jersey,26
450,2020-07-14,54,West Virginia,8
451,2020-10-03,41,Oregon,14
452,2020-09-06,45,South Carolina,85
453,2020-05-22,44,Rhode Island,0
454,2020-10-28,24,Maryland,81
455,2020-10-17,09,Connecticut,22
456,2020-11-02,78,Virgin Islands,0
457,2020-07-17,54,West Virginia,7
458,2020-07-14,20,Kansas,33
459,2020-08-27,11,District of Columbia,16
460,2020-10-13,38,North Dakota,27
461,2020-08-22,54,West Virginia,11
462,2020-08-08,32,Nevada,44
463,2020-10-26,31,Nebraska,68
464,2020-08-21,49,Utah,9
465,2020-06-09,28,Mississippi,0
466,2020-07-18,30,Montana,6
467,2020-10-14,38,North Dakota,28
468,2020-09-18,06,California,323
469,2020-10-25,39,Ohio,177
470,2020-09-10,48,Texas,395
471,2020-10-21,04,Arizona,98
472,2020-08-14,16,Idaho,18
473,2020-07-04,44,Rhode Island,0
474,2020-06-17,44,Rhode Island,0
475,2020-09-08,36,New York,103
476,2020-09-30,56,Wyoming,15
477,2020-10-17,36,New York,109
478,2020-09-24,24,Maryland,51
479,2020-09-26,32,Nevada,31
480,2020-09-10,10,Delaware,10
481,2020-10-06,46,South Dakota,53
482,2020-07-31,40,Oklahoma,50
483,2020-11-03,49,Utah,69
484,2020-09-26,24,Maryland,49
485,2020-07-29,17,Illinois,110
486,2020-09-03,17,Illinois,120
487,2020-07-30,13,Georgia,254
488,2020-08-17,26,Michigan,64
489,2020-08-12,34,New Jersey,24
490,2020-08-15,31,Nebraska,13
491,2020-07-20,33,New Hampshire,3
492,2020-10-23,33,New Hampshire,2
493,2020-10-22,29,Missouri,175
494,2020-08-20,33,New Hampshire,29
495,2020-10-11,01,Alabama,108
496,2020-09-30,13,Georgia,305
497,2020-11-01,45,South Carolina,73
498,2020-10-31,78,Virgin Islands,1
499,2020-09-24,45,South Carolina,62
500,2020-09-16,10,Delaware,3
501,2020-10-16,48,Texas,703
502,2020-08-24,28,Mississippi,94
503,2020-08-15,01,Alabama,110
504,2020-09-13,39,Ohio,89
505,2020-08-23,25,Massachusetts,16
506,2020-10-07,23,Maine,1
507,2020-07-20,10,Delaware,2
508,2020-08-26,39,Ohio,99
509,2020-09-16,33,New Hampshire,1
510,2020-08-12,51,Virginia,110
511,2020-08-25,32,Nevada,41
512,2020-09-19,44,Rhode Island,4
513,2020-09-05,32,Nevada,37
514,2020-07-28,38,North Dakota,7
515,2020-08-01,21,Kentucky,136
516,2020-07-21,12,Florida,827
517,2020-09-21,51,Virginia,48
518,2020-09-11,31,Nebraska,18
519,2020-07-18,50,Vermont,6
520,2020-09-27,34,New Jersey,30
521,2020-08-30,36,New York,62
522,2020-10-09,50,Vermont,0
523,2020-08-02,01,Alabama,92
524,2020-09-13,04,Arizona,42
525,2020-10-02,46,South Dakota,42
526,2020-09-16,49,Utah,34
527,2020-09-01,10,Delaware,10
528,2020-08-31,78,Virgin Islands,2
529,2020-07-29,34,New Jersey,42
530,2020-09-04,39,Ohio,110
531,2020-07-11,36,New York,0
532,2020-09-02,23,Maine,1
533,2020-10-17,27,Minnesota,68
534,2020-09-18,25,Massachusetts,29
535,2020-09-08,05,Arkansas,56
536,2020-08-14,38,North Dakota,8
537,2020-09-06,12,Florida,283
538,2020-05-17,44,Rhode Island,0
539,2020-09-10,23,Maine,1
540,2020-09-17,31,Nebraska,12
541,2020-07-28,32,Nevada,0
542,2020-10-09,09,Connecticut,23
543,2020-09-01,54,West Virginia,16
544,2020-10-09,37,North Carolina,175
545,2020-10-30,30,Montana,69
546,2020-09-10,18,Indiana,129
547,2020-09-29,17,Illinois,121
548,2020-08-08,20,Kansas,18
549,2020-08-22,24,Maryland,47
550,2020-09-23,08,Colorado,38
551,2020-08-06,24,Maryland,65
552,2020-07-17,34,New Jersey,27
553,2020-08-23,30,Montana,17
554,2020-09-07,11,District of Columbia,16
555,2020-10-22,39,Ohio,232
556,2020-10-16,53,Washington,32
557,2020-07-22,47,Tennessee,162
558,2020-09-15,06,California,349
559,2020-10-07,47,Tennessee,135
560,2020-09-15,12,Florida,313
561,2020-09-28,40,Oklahoma,135
562,2020-08-23,29,Missouri,90
563,2020-07-19,56,Wyoming,5
564,2020-07-30,18,Indiana,68
565,2020-08-03,17,Illinois,109
566,2020-11-05,45,South Carolina,63
567,2020-10-03,18,Indiana,92
568,2020-09-07,21,Kentucky,399
569,2020-08-08,33,New Hampshire,0
570,2020-07-14,28,Mississippi,52
571,2020-08-10,38,North Dakota,10
572,2020-07-15,31,Nebraska,1
573,2020-10-19,10,Delaware,15
574,2020-09-09,37,North Carolina,97
575,2020-10-13,26,Michigan,100
576,2020-10-27,10,Delaware,13
577,2020-11-03,55,Wisconsin,393
578,2020-09-26,18,Indiana,132
579,2020-07-29,16,Idaho,25
580,2020-09-23,72,Puerto Rico,25
581,2020-10-31,22,Louisiana,77
582,2020-10-06,41,Oregon,20
583,2020-07-21,36,New York,145
584,2020-09-26,33,New Hampshire,5
585,2020-07-26,39,Ohio,147
586,2020-09-12,15,Hawaii,59
587,2020-10-14,19,Iowa,68
588,2020-10-29,48,Texas,846
589,2020-10-12,32,Nevada,45
590,2020-10-19,16,Idaho,36
591,2020-08-15,20,Kansas,36
592,2020-07-28,01,Alabama,129
593,2020-10-28,56,Wyoming,25
594,2020-10-23,05,Arkansas,98
595,2020-08-31,40,Oklahoma,75
596,2020-10-26,21,Kentucky,225
597,2020-08-17,15,Hawaii,23
598,2020-09-21,34,New Jersey,25
599,2020-09-29,51,Virginia,69
600,2020-07-20,04,Arizona,275
601,2020-10-02,37,North Carolina,102
602,2020-08-10,72,Puerto Rico,28
603,2020-09-02,51,Virginia,85
604,2020-09-12,38,North Dakota,9
605,2020-10-07,35,New Mexico,25
606,2020-07-29,30,Montana,23
607,2020-10-24,17,Illinois,276
608,2020-10-04,35,New Mexico,14
609,2020-08-10,50,Vermont,1
610,2020-08-14,49,Utah,23
611,2020-07-23,02,Alaska,3
612,2020-08-03,37,North Carolina,153
613,2020-10-31,44,Rhode Island,8
614,2020-10-23,29,Missouri,187
615,2020-07-27,34,New Jersey,31
616,2020-07-26,16,Idaho,20
617,2020-07-14,15,Hawaii,4
618,2020-10-11,20,Kansas,89
619,2020-11-01,30,Montana,62
620,2020-10-25,55,Wisconsin,332
621,2020-07-22,35,New Mexico,21
622,2020-08-07,16,Idaho,17
623,2020-10-09,46,South Dakota,56
624,2020-08-12,22,Louisiana,144
625,2020-08-10,21,Kentucky,276
626,2020-10-16,21,Kentucky,144
627,2020-10-20,53,Washington,34
628,2020-04-10,72,Puerto Rico,39
629,2020-09-02,30,Montana,16
630,2020-08-12,13,Georgia,285
631,2020-10-14,47,Tennessee,169
632,2020-10-08,42,Pennsylvania,101
633,2020-08-11,13,Georgia,235
634,2020-07-24,28,Mississippi,101
635,2020-08-19,11,District of Columbia,17
636,2020-08-24,18,Indiana,92
637,2020-10-08,53,Washington,24
638,2020-11-05,51,Virginia,107
639,2020-09-24,08,Colorado,30
640,2020-10-04,49,Utah,31
641,2020-09-09,35,New Mexico,5
642,2020-08-11,23,Maine,1
643,2020-07-15,17,Illinois,69
644,2020-07-25,05,Arkansas,52
645,2020-07-23,23,Maine,2
646,2020-10-15,01,Alabama,140
647,2020-10-02,26,Michigan,85
648,2020-07-31,18,Indiana,51
649,2020-10-09,34,New Jersey,66
650,2020-09-05,24,Maryland,36
651,2020-08-30,18,Indiana,61
652,2020-07-18,24,Maryland,52
653,2020-08-17,33,New Hampshire,30
654,2020-10-04,15,Hawaii,18
655,2020-08-02,42,Pennsylvania,103
656,2020-08-25,17,Illinois,137
657,2020-10-05,01,Alabama,126
658,2020-05-07,36,New York,0
659,2020-08-09,08,Colorado,33
660,2020-08-14,44,Rhode Island,10
661,2020-09-01,33,New Hampshire,30
662,2020-10-29,55,Wisconsin,377
663,2020-10-29,53,Washington,58
664,2020-11-04,72,Puerto Rico,221
665,2020-08-20,49,Utah,21
666,2020-10-05,50,Vermont,2
667,2020-07-27,48,Texas,1044
668,2020-09-07,31,Nebraska,10
669,2020-07-05,26,Michigan,0
670,2020-09-01,24,Maryland,52
671,2020-07-23,40,Oklahoma,74
672,2020-09-08,15,Hawaii,24
673,2020-08-26,22,Louisiana,82
674,2020-08-13,05,Arkansas,98
675,2020-08-07,08,Colorado,56
676,2020-10-14,11,District of Columbia,10
677,2020-07-22,11,District of Columbia,61
678,2020-09-17,51,Virginia,64
679,2020-09-15,25,Massachusetts,30
680,2020-10-03,47,Tennessee,87
681,2020-08-10,02,Alaska,4
682,2020-07-16,09,Connecticut,6
683,2020-10-11,23,Maine,1
684,2020-10-26,72,Puerto Rico,36
685,2020-09-09,25,Massachusetts,20
686,2020-09-27,06,California,291
687,2020-08-06,56,Wyoming,9
688,2020-09-03,31,Nebraska,13
689,2020-08-09,25,Massachusetts,14
690,2020-09-02,15,Hawaii,30
691,2020-07-19,17,Illinois,95
692,2020-08-28,37,North Carolina,469
693,2020-09-07,48,Texas,407
694,2020-08-20,56,Wyoming,7
695,2020-08-22,04,Arizona,84
696,2020-04-14,44,Rhode Island,0
697,2020-08-21,25,Massachusetts,13
698,2020-10-25,04,Arizona,79
699,2020-08-28,38,North Dakota,9
700,2020-08-05,48,Texas,828
701,2020-09-02,12,Florida,386
702,2020-11-02,25,Massachusetts,64
703,2020-08-05,33,New Hampshire,3
704,2020-09-14,24,Maryland,47
705,2020-09-11,72,Puerto Rico,31
706,2020-08-21,36,New York,455
707,2020-09-08,09,Connecticut,16
708,2020-07-28,29,Missouri,66
709,2020-10-03,26,Michigan,69
710,2020-06-16,36,New York,0
711,2020-10-01,50,Vermont,0
712,2020-10-26,09,Connecticut,47
713,2020-08-17,20,Kansas,33
714,2020-08-11,09,Connecticut,9
715,2020-09-25,78,Virgin Islands,0
716,2020-09-06,34,New Jersey,24
717,2020-10-14,36,New York,150
718,2020-09-28,23,Maine,1
719,2020-10-21,42,Pennsylvania,156
720,2020-09-22,24,Maryland,36
721,2020-09-01,41,Oregon,8
722,2020-10-22,12,Florida,361
723,2020-09-20,51,Virginia,39
724,2020-09-03,39,Ohio,93
725,2020-09-10,01,Alabama,125
726,2020-10-12,72,Puerto Rico,14
727,2020-09-25,06,California,332
728,2020-07-28,56,Wyoming,8
729,2020-04-10,36,New York,0
730,2020-07-29,51,Virginia,46
731,2020-08-09,13,Georgia,174
732,2020-09-20,35,New Mexico,10
733,2020-07-31,45,South Carolina,179
734,2020-09-30,02,Alaska,4
735,2020-09-15,49,Utah,30
736,2020-10-27,34,New Jersey,105
737,2020-07-20,16,Idaho,22
738,2020-08-29,50,Vermont,2
739,2020-10-13,55,Wisconsin,268
740,2020-08-16,26,Michigan,58
741,2020-08-25,01,Alabama,140
742,2020-08-05,20,Kansas,28
743,2020-08-13,29,Missouri,67
744,2020-10-20,05,Arkansas,93
745,2020-10-11,42,Pennsylvania,87
746,2020-08-27,25,Massachusetts,17
747,2020-08-11,46,South Dakota,11
748,2020-08-09,26,Michigan,48
749,2020-07-20,28,Mississippi,87
750,2020-09-19,23,Maine,2
