date,location,location_name,value
2020-08-12,29,Missouri,313
2020-09-13,56,Wyoming,62
2020-09-03,33,New Hampshire,448
2020-09-10,33,New Hampshire,448
2020-10-31,44,Rhode Island,289
2020-11-14,29,Missouri,627
2020-08-23,11,District of Columbia,209
2020-09-22,39,Ohio,254
2020-10-06,26,Michigan,395
2020-11-09,44,Rhode Island,310
2020-09-07,56,Wyoming,70
2020-06-13,26,Michigan,395
2020-11-04,44,Rhode Island,321
2020-06-08,36,New York,0
2020-05-22,36,New York,1
2020-10-17,47,Tennessee,1143
2020-10-06,41,Oregon,190
2020-10-05,41,Oregon,205
2020-06-07,44,Rhode Island,321
2020-09-17,56,Wyoming,74
2020-07-15,33,New Hampshire,450
2020-07-22,33,New Hampshire,456
2020-07-17,11,District of Columbia,216
2020-11-06,33,New Hampshire,465
2020-10-15,41,Oregon,226
2020-11-19,33,New Hampshire,477
2020-10-22,11,District of Columbia,230
2020-09-22,44,Rhode Island,327
2020-11-12,56,Wyoming,101
2020-04-24,44,Rhode Island,327
2020-10-29,44,Rhode Island,338
2020-10-30,44,Rhode Island,345
2020-05-20,36,New York,2
2020-09-02,36,New York,77
2020-05-28,44,Rhode Island,345
2020-08-13,44,Rhode Island,355
2020-08-30,44,Rhode Island,357
2020-07-22,44,Rhode Island,365
2020-07-16,44,Rhode Island,366
2020-04-25,44,Rhode Island,366
2020-07-07,44,Rhode Island,366
2020-08-26,44,Rhode Island,367
2020-10-29,36,New York,240
2020-06-05,36,New York,240
2020-09-28,44,Rhode Island,370
2020-06-16,44,Rhode Island,370
2020-05-17,36,New York,241
2020-05-17,44,Rhode Island,370
2020-10-18,36,New York,355
2020-06-21,44,Rhode Island,370
2020-05-25,36,New York,356
2020-07-21,36,New York,501
2020-05-08,44,Rhode Island,370
2020-07-26,44,Rhode Island,383
2020-09-13,44,Rhode Island,385
2020-10-19,36,New York,642
2020-05-30,36,New York,642
2020-06-13,36,New York,642
2020-09-01,36,New York,702
2020-08-25,36,New York,782
2020-07-09,44,Rhode Island,385
2020-09-27,36,New York,1009
2020-08-23,44,Rhode Island,390
2020-04-23,44,Rhode Island,390
2020-05-08,36,New York,1009
2020-10-22,36,New York,1174
2020-06-12,44,Rhode Island,390
2020-11-01,36,New York,1318
2020-06-14,44,Rhode Island,390
2020-05-03,44,Rhode Island,390
2020-06-10,36,New York,1319
2020-05-19,44,Rhode Island,390
2020-10-23,44,Rhode Island,398
2020-11-16,44,Rhode Island,427
2020-07-30,44,Rhode Island,434
2020-06-04,36,New York,1320
2020-05-02,44,Rhode Island,434
2020-05-07,44,Rhode Island,434
2020-07-17,44,Rhode Island,440
2020-04-27,36,New York,1320
2020-10-28,44,Rhode Island,451
2020-05-12,44,Rhode Island,451
2020-09-11,36,New York,1409
2020-11-14,36,New York,1795
2020-09-09,36,New York,1889
2020-05-27,36,New York,1889
2020-07-26,36,New York,1962
2020-08-21,36,New York,2417
2020-05-16,36,New York,2417
2020-07-19,36,New York,2462
2020-08-16,36,New York,2517
2020-06-01,36,New York,2517
2020-08-07,36,New York,2585
2020-10-19,44,Rhode Island,461
2020-11-13,44,Rhode Island,475
2020-10-17,44,Rhode Island,486
2020-08-23,36,New York,2647
2020-07-29,36,New York,2736
2020-09-17,36,New York,2820
2020-08-06,44,Rhode Island,491
2020-10-08,44,Rhode Island,504
2020-09-03,36,New York,2903
2020-07-18,44,Rhode Island,504
2020-08-18,44,Rhode Island,514
2020-07-06,36,New York,2903
2020-07-07,36,New York,2903
2020-09-12,44,Rhode Island,516
2020-10-20,36,New York,3079
2020-11-05,36,New York,3394
2020-07-27,36,New York,3462
2020-08-22,44,Rhode Island,523
2020-06-29,44,Rhode Island,523
2020-07-15,36,New York,3530
2020-07-17,36,New York,3585
2020-09-15,36,New York,3677
2020-05-18,36,New York,3678
2020-11-07,44,Rhode Island,543
2020-10-05,44,Rhode Island,556
2020-06-24,36,New York,3678
2020-10-04,36,New York,3791
2020-10-06,36,New York,3906
2020-10-07,36,New York,4039
2020-07-08,36,New York,4039
2020-06-02,44,Rhode Island,556
2020-06-26,36,New York,4039
2020-09-01,44,Rhode Island,558
2020-05-21,36,New York,4039
2020-09-18,36,New York,4146
2020-09-26,36,New York,4237
2020-05-15,44,Rhode Island,558
2020-08-02,44,Rhode Island,564
2020-06-19,36,New York,4237
2020-05-20,44,Rhode Island,564
2020-10-24,36,New York,4374
2020-07-02,44,Rhode Island,564
2020-04-26,44,Rhode Island,564
2020-05-09,36,New York,4374
2020-10-27,36,New York,4541
2020-05-04,36,New York,4541
2020-10-14,36,New York,4691
2020-06-28,44,Rhode Island,564
2020-10-03,44,Rhode Island,567
2020-08-20,36,New York,4760
2020-10-16,44,Rhode Island,573
2020-06-23,36,New York,4760
2020-07-05,36,New York,4760
2020-10-26,44,Rhode Island,586
2020-07-01,36,New York,4760
2020-11-19,36,New York,5260
2020-10-25,44,Rhode Island,592
2020-08-04,44,Rhode Island,598
2020-09-22,36,New York,5363
2020-06-22,44,Rhode Island,598
2020-10-05,36,New York,5501
2020-08-30,36,New York,5563
2020-08-18,36,New York,5635
2020-11-11,44,Rhode Island,614
2020-08-08,36,New York,5691
2020-10-12,44,Rhode Island,623
2020-06-27,36,New York,5691
2020-10-07,44,Rhode Island,627
2020-09-29,44,Rhode Island,632
2020-10-18,44,Rhode Island,641
2020-10-15,44,Rhode Island,645
2020-08-19,44,Rhode Island,648
2020-08-12,44,Rhode Island,654
2020-07-30,36,New York,5764
2020-08-27,36,New York,5845
2020-09-23,44,Rhode Island,660
2020-06-12,36,New York,5845
2020-08-14,36,New York,5920
2020-09-24,36,New York,6038
2020-07-25,44,Rhode Island,669
2020-06-11,44,Rhode Island,669
2020-08-17,44,Rhode Island,675
2020-05-27,44,Rhode Island,675
2020-09-14,44,Rhode Island,679
2020-05-01,36,New York,6038
2020-10-13,36,New York,6199
2020-05-06,44,Rhode Island,679
2020-09-13,36,New York,6284
2020-08-29,44,Rhode Island,683
2020-07-13,44,Rhode Island,683
2020-04-25,36,New York,6284
2020-11-09,36,New York,6647
2020-07-28,36,New York,6725
2020-10-31,36,New York,6851
2020-10-04,44,Rhode Island,688
2020-04-29,36,New York,6851
2020-08-09,36,New York,6917
2020-07-14,36,New York,6971
2020-10-14,44,Rhode Island,697
2020-07-24,36,New York,7049
2020-10-15,36,New York,7195
2020-09-04,36,New York,7269
2020-06-06,44,Rhode Island,697
2020-05-06,36,New York,7270
2020-11-10,36,New York,7695
2020-09-07,44,Rhode Island,699
2020-06-17,36,New York,7695
2020-06-30,44,Rhode Island,699
2020-07-12,44,Rhode Island,699
2020-09-10,36,New York,7777
2020-09-21,44,Rhode Island,708
2020-09-30,44,Rhode Island,714
2020-07-12,36,New York,7777
2020-05-21,44,Rhode Island,714
2020-08-27,44,Rhode Island,714
2020-08-20,44,Rhode Island,722
2020-05-05,44,Rhode Island,722
2020-05-29,44,Rhode Island,722
2020-08-10,44,Rhode Island,729
2020-11-20,44,Rhode Island,759
2020-04-27,44,Rhode Island,759
2020-05-10,44,Rhode Island,759
2020-08-01,44,Rhode Island,762
2020-05-11,44,Rhode Island,762
2020-07-28,44,Rhode Island,765
2020-07-19,44,Rhode Island,768
2020-04-28,44,Rhode Island,768
2020-06-10,44,Rhode Island,768
2020-08-24,44,Rhode Island,773
2020-07-11,44,Rhode Island,773
2020-08-14,44,Rhode Island,783
2020-05-24,44,Rhode Island,783
2020-11-17,44,Rhode Island,819
2020-10-01,44,Rhode Island,830
2020-05-23,44,Rhode Island,830
2020-11-06,44,Rhode Island,850
2020-10-21,44,Rhode Island,858
2020-07-10,44,Rhode Island,858
2020-07-03,44,Rhode Island,858
2020-04-30,44,Rhode Island,858
2020-06-23,44,Rhode Island,858
2020-06-15,44,Rhode Island,858
2020-11-08,44,Rhode Island,871
2020-06-27,44,Rhode Island,871
2020-04-29,44,Rhode Island,871
2020-10-02,44,Rhode Island,874
2020-06-01,44,Rhode Island,874
2020-05-18,44,Rhode Island,874
2020-06-17,44,Rhode Island,874
2020-08-07,44,Rhode Island,885
2020-09-05,44,Rhode Island,887
2020-11-19,44,Rhode Island,912
2020-09-24,44,Rhode Island,917
2020-09-18,44,Rhode Island,920
2020-05-14,44,Rhode Island,920
2020-05-04,44,Rhode Island,920
2020-07-29,44,Rhode Island,926
2020-05-22,44,Rhode Island,926
2020-04-20,44,Rhode Island,926
2020-09-09,44,Rhode Island,931
2020-05-09,44,Rhode Island,931
2020-10-20,44,Rhode Island,945
2020-09-02,44,Rhode Island,951
2020-07-08,44,Rhode Island,951
2020-08-28,44,Rhode Island,956
2020-09-16,44,Rhode Island,960
2020-08-21,44,Rhode Island,965
2020-07-01,44,Rhode Island,965
2020-10-09,44,Rhode Island,971
2020-06-05,44,Rhode Island,971
2020-07-20,44,Rhode Island,976
2020-09-20,44,Rhode Island,981
2020-08-16,44,Rhode Island,985
2020-08-05,44,Rhode Island,992
2020-08-03,44,Rhode Island,998
2020-06-24,44,Rhode Island,998
2020-11-15,44,Rhode Island,1019
2020-05-31,44,Rhode Island,1019
2020-10-11,44,Rhode Island,1022
2020-09-06,44,Rhode Island,1022
2020-11-05,44,Rhode Island,1049
2020-10-27,44,Rhode Island,1067
2020-07-24,44,Rhode Island,1077
2020-08-15,44,Rhode Island,1081
2020-08-09,44,Rhode Island,1085
2020-11-01,44,Rhode Island,1091
2020-07-27,44,Rhode Island,1108
2020-04-21,44,Rhode Island,1108
2020-07-21,44,Rhode Island,1112
2020-09-08,44,Rhode Island,1116
2020-05-25,44,Rhode Island,1116
2020-07-31,44,Rhode Island,1121
2020-11-14,44,Rhode Island,1136
2020-09-26,44,Rhode Island,1140
2020-07-06,44,Rhode Island,1140
2020-08-25,44,Rhode Island,1143
2020-07-04,44,Rhode Island,1143
2020-06-18,44,Rhode Island,1143
2020-06-25,44,Rhode Island,1143
2020-07-14,44,Rhode Island,1143
2020-09-27,44,Rhode Island,1146
2020-07-15,44,Rhode Island,1147
2020-10-24,44,Rhode Island,1151
2020-07-05,44,Rhode Island,1151
2020-11-03,44,Rhode Island,1169
2020-09-04,44,Rhode Island,1171
2020-08-31,44,Rhode Island,1176
2020-09-19,44,Rhode Island,1180
2020-10-10,44,Rhode Island,1190
2020-11-18,44,Rhode Island,1212
2020-11-02,44,Rhode Island,1228
2020-06-26,44,Rhode Island,1228
2020-08-11,44,Rhode Island,1231
2020-06-08,44,Rhode Island,1231
2020-06-19,44,Rhode Island,1231
2020-06-09,44,Rhode Island,1231
2020-05-13,44,Rhode Island,1231
2020-05-01,44,Rhode Island,1231
2020-05-16,44,Rhode Island,1231
2020-06-04,44,Rhode Island,1231
2020-10-06,44,Rhode Island,1236
2020-09-15,44,Rhode Island,1237
2020-11-10,44,Rhode Island,1255
2020-10-22,44,Rhode Island,1274
2022-02-18,60,American Samoa,0
2021-10-09,60,American Samoa,0
2021-11-19,60,American Samoa,0
2022-01-15,60,American Samoa,0
2021-11-20,60,American Samoa,0
2022-02-28,60,American Samoa,0
2021-11-27,60,American Samoa,0
2021-12-11,60,American Samoa,0
2022-03-09,60,American Samoa,0
2022-02-01,60,American Samoa,0
2021-10-19,60,American Samoa,0
2021-11-21,60,American Samoa,0
2021-12-08,60,American Samoa,0
2021-11-13,60,American Samoa,0
2022-01-23,60,American Samoa,0
2021-12-16,60,American Samoa,0
2021-11-28,60,American Samoa,0
2022-02-27,60,American Samoa,0
2022-01-30,60,American Samoa,0
2022-02-09,60,American Samoa,0
2021-11-01,60,American Samoa,0
2021-10-15,60,American Samoa,0
2021-12-02,60,American Samoa,0
2021-12-10,60,American Samoa,0
2021-11-12,60,American Samoa,0
2021-12-27,60,American Samoa,0
2021-12-25,60,American Samoa,0
2021-12-13,60,American Samoa,0
2021-12-15,60,American Samoa,0
2022-01-02,60,American Samoa,0
2022-01-03,60,American Samoa,0
2021-11-04,60,American Samoa,0
2021-11-02,60,American Samoa,0
2021-10-28,60,American Samoa,0
2022-01-13,60,American Samoa,0
2022-01-21,60,American Samoa,0
2021-11-16,60,American Samoa,0
2021-08-31,60,American Samoa,0
2022-01-14,60,American Samoa,0
2021-11-25,60,American Samoa,0
2022-02-13,60,American Samoa,0
2022-03-04,60,American Samoa,4
2021-10-27,60,American Samoa,4
2021-12-20,60,American Samoa,4
2021-09-18,60,American Samoa,4
2021-11-06,60,American Samoa,4
2022-02-23,60,American Samoa,5
2022-01-27,60,American Samoa,5
2022-02-02,60,American Samoa,5
2021-10-18,60,American Samoa,5
2021-12-31,60,American Samoa,5
2021-12-14,60,American Samoa,5
2022-03-03,60,American Samoa,6
2021-10-25,60,American Samoa,6
2021-12-06,60,American Samoa,6
2022-02-22,60,American Samoa,6
2021-12-01,60,American Samoa,6
2021-11-17,60,American Samoa,6
2021-12-17,60,American Samoa,6
2021-10-14,60,American Samoa,6
2022-01-19,60,American Samoa,6
2021-11-26,60,American Samoa,6
2022-03-02,60,American Samoa,7
2022-02-11,60,American Samoa,7
2021-12-28,60,American Samoa,7
2022-02-21,60,American Samoa,7
2022-01-25,60,American Samoa,7
2021-12-12,60,American Samoa,7
2021-10-29,60,American Samoa,7
2022-01-06,60,American Samoa,7
2022-02-08,60,American Samoa,7
2022-01-31,60,American Samoa,7
2021-11-07,60,American Samoa,7
2021-10-10,60,American Samoa,7
2022-01-08,60,American Samoa,7
2022-03-12,60,American Samoa,7
2022-01-20,60,American Samoa,7
2022-01-05,60,American Samoa,7
2022-02-03,60,American Samoa,7
2021-11-23,60,American Samoa,7
2021-12-09,60,American Samoa,7
2021-11-29,60,American Samoa,7
2022-01-18,60,American Samoa,7
2021-11-11,60,American Samoa,7
2021-10-11,60,American Samoa,7
2021-12-24,60,American Samoa,7
2021-11-18,60,American Samoa,7
2022-02-17,60,American Samoa,7
2021-12-05,60,American Samoa,7
2021-10-30,60,American Samoa,7
2022-03-08,60,American Samoa,7
2022-02-06,60,American Samoa,7
2021-11-30,60,American Samoa,7
2022-02-12,60,American Samoa,7
2021-12-26,60,American Samoa,7
2021-12-18,60,American Samoa,7
2021-11-24,60,American Samoa,7
2022-03-07,60,American Samoa,8
2022-01-16,60,American Samoa,8
2022-01-24,60,American Samoa,8
2022-02-26,60,American Samoa,8
2021-10-26,60,American Samoa,8
2022-02-16,60,American Samoa,8
2022-02-15,60,American Samoa,8
2022-02-24,60,American Samoa,8
2021-12-19,60,American Samoa,8
2021-10-23,60,American Samoa,8
2022-01-10,60,American Samoa,8
2022-01-28,60,American Samoa,8
2022-03-06,60,American Samoa,8
2022-02-04,60,American Samoa,8
2022-01-12,60,American Samoa,8
2021-11-10,60,American Samoa,8
2021-12-07,60,American Samoa,8
2022-02-07,60,American Samoa,8
2022-01-29,60,American Samoa,8
2022-03-05,60,American Samoa,10
2021-12-22,60,American Samoa,10
2021-11-15,60,American Samoa,10
2021-10-12,60,American Samoa,10
2021-10-16,60,American Samoa,10
2021-11-22,60,American Samoa,10
2021-11-05,60,American Samoa,10
2022-02-14,60,American Samoa,10
2021-11-03,60,American Samoa,10
2022-01-26,60,American Samoa,10
2022-02-10,60,American Samoa,10
2022-02-05,60,American Samoa,10
2021-12-03,60,American Samoa,10
2021-10-22,60,American Samoa,10
2022-01-22,60,American Samoa,10
2021-12-04,60,American Samoa,10
2021-12-30,60,American Samoa,10
2021-10-24,60,American Samoa,10
2022-01-09,60,American Samoa,10
2022-02-20,60,American Samoa,10
2021-10-21,60,American Samoa,10
2022-01-17,60,American Samoa,10
2022-01-11,60,American Samoa,10
2021-10-17,60,American Samoa,10
2021-11-14,60,American Samoa,10
2022-03-11,60,American Samoa,10
2022-02-19,60,American Samoa,10
2021-12-29,60,American Samoa,10
2021-10-31,60,American Samoa,10
2021-12-21,60,American Samoa,10
2022-03-01,60,American Samoa,10
2021-12-23,60,American Samoa,10
2021-11-09,60,American Samoa,10
2021-10-13,60,American Samoa,10
2021-11-08,60,American Samoa,10
2021-10-20,60,American Samoa,10
2022-03-10,60,American Samoa,10
2021-08-25,60,American Samoa,10
2021-09-27,60,American Samoa,10
2021-09-23,60,American Samoa,10
2021-09-17,60,American Samoa,10
2021-10-06,60,American Samoa,10
2021-10-02,60,American Samoa,10
2021-09-12,60,American Samoa,10
2021-08-29,60,American Samoa,10
2021-08-30,60,American Samoa,10
2021-09-10,60,American Samoa,10
2021-09-13,60,American Samoa,10
2021-09-22,60,American Samoa,10
2021-10-01,60,American Samoa,10
2021-09-11,60,American Samoa,10
2021-09-24,60,American Samoa,10
2021-09-21,60,American Samoa,10
2021-09-30,60,American Samoa,10
2021-08-24,60,American Samoa,10
2021-09-03,60,American Samoa,10
2021-09-05,60,American Samoa,10
2021-10-05,60,American Samoa,10
2021-09-04,60,American Samoa,10
2021-09-02,60,American Samoa,10
2021-09-16,60,American Samoa,10
2021-08-28,60,American Samoa,10
2021-09-26,60,American Samoa,10
2021-09-15,60,American Samoa,10
2021-09-09,60,American Samoa,10
2021-10-04,60,American Samoa,10
2021-09-07,60,American Samoa,10
2021-09-14,60,American Samoa,10
2021-09-28,60,American Samoa,10
