target,forecast_date,target_end_date,location,type,quantile,value
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.4,18057.2321270552
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.4,18088.381377626105
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.45,17974.296388027018
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.45,18014.02781200722
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.45,18066.99489741862
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.45,18089.460241964833
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.5,17978.765228044333
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.5,18037.580019298555
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.5,18076.91277825262
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.5,18099.158161890075
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.55,17982.258013760842
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.55,18042.407420143503
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.55,18080.415893077265
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.55,18110.852196020824
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.6,17982.314615085896
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.6,18051.45094754395
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.6,18090.730319954702
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.6,18124.80942607781
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.65,17983.23121874166
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.65,18059.479300593375
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.65,18108.5787030439
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.65,18143.718321462875
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.7,18002.660481405102
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.7,18068.97751828883
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.7,18125.845166416402
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.7,18158.55922254768
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.75,18003.096113022162
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.75,18074.663384354564
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.75,18170.386332057173
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.75,18176.824534031566
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.8,18026.0197393847
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.8,18090.55014705516
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.8,18191.308616879094
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.8,18197.58352339978
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.85,18055.945648813875
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.85,18129.16081183831
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.85,18244.06260581819
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.85,18262.770714015798
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.9,18075.886306094842
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.9,18175.19943936326
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.9,18308.27786710969
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.9,18336.626697359457
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.95,18160.74702494996
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.95,18303.38802688276
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.95,18443.58822812864
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.95,18499.299145102203
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.975,18275.619547998904
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.975,18455.766158949766
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.975,18703.377607820123
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.975,18706.917890217203
1 wk ahead cum death,2021-06-28,2021-07-03,04,quantile,0.99,18652.880867804684
2 wk ahead cum death,2021-06-28,2021-07-10,04,quantile,0.99,19131.06880600903
3 wk ahead cum death,2021-06-28,2021-07-17,04,quantile,0.99,19599.18714917627
4 wk ahead cum death,2021-06-28,2021-07-24,04,quantile,0.99,19699.54597747923
1 wk ahead cum death,2021-06-28,2021-07-03,05,quantile,0.01,5893.0
2 wk ahead cum death,2021-06-28,2021-07-10,05,quantile,0.01,5893.0
3 wk ahead cum death,2021-06-28,2021-07-17,05,quantile,0.01,5893.0
4 wk ahead cum death,2021-06-28,2021-07-24,05,quantile,0.01,5893.0
1 wk ahead cum death,2021-06-28,2021-07-03,05,quantile,0.025,5893.0
2 wk ahead cum death,2021-06-28,2021-07-10,05,quantile,0.025,5893.0
3 wk ahead cum death,2021-06-28,2021-07-17,05,quantile,0.025,5893.0
4 wk ahead cum death,2021-06-28,2021-07-24,05,quantile,0.025,5893.0
1 wk ahead cum death,2021-06-28,2021-07-03,05,quantile,0.05,5893.0
2 wk ahead cum death,2021-06-28,2021-07-10,05,quantile,0.05,5893.0
3 wk ahead cum death,2021-06-28,2021-07-17,05,quantile,0.05,5893.0
4 wk ahead cum death,2021-06-28,2021-07-24,05,quantile,0.05,5897.202967804269
1 wk ahead cum death,2021-06-28,2021-07-03,05,quantile,0.1,5893.0
2 wk ahead cum death,2021-06-28,2021-07-10,05,quantile,0.1,5894.619081543182
3 wk ahead cum death,2021-06-28,2021-07-17,05,quantile,0.1,5897.104176533118
4 wk ahead cum death,2021-06-28,2021-07-24,05,quantile,0.1,5917.60863050779
1 wk ahead cum death,2021-06-28,2021-07-03,05,quantile,0.15,5893.0
2 wk ahead cum death,2021-06-28,2021-07-10,05,quantile,0.15,5902.71748611333
3 wk ahead cum death,2021-06-28,2021-07-17,05,quantile,0.15,5906.922542561066
4 wk ahead cum death,2021-06-28,2021-07-24,05,quantile,0.15,5930.672494846998
1 wk ahead cum death,2021-06-28,2021-07-03,05,quantile,0.2,5899.068773660025
2 wk ahead cum death,2021-06-28,2021-07-10,05,quantile,0.2,5910.3707254480405
3 wk ahead cum death,2021-06-28,2021-07-17,05,quantile,0.2,5916.108943406819
4 wk ahead cum death,2021-06-28,2021-07-24,05,quantile,0.2,5936.350961187154
1 wk ahead cum death,2021-06-28,2021-07-03,05,quantile,0.25,5899.490116194031
2 wk ahead cum death,2021-06-28,2021-07-10,05,quantile,0.25,5913.408820974653
3 wk ahead cum death,2021-06-28,2021-07-17,05,quantile,0.25,5929.657081366504
4 wk ahead cum death,2021-06-28,2021-07-24,05,quantile,0.25,5941.984100152031
1 wk ahead cum death,2021-06-28,2021-07-03,05,quantile,0.3,5904.292898002318
2 wk ahead cum death,2021-06-28,2021-07-10,05,quantile,0.3,5917.083847960344
3 wk ahead cum death,2021-06-28,2021-07-17,05,quantile,0.3,5929.981194713066
4 wk ahead cum death,2021-06-28,2021-07-24,05,quantile,0.3,5946.776241248512
1 wk ahead cum death,2021-06-28,2021-07-03,05,quantile,0.35,5904.519955275116
2 wk ahead cum death,2021-06-28,2021-07-10,05,quantile,0.35,5917.670269906436
3 wk ahead cum death,2021-06-28,2021-07-17,05,quantile,0.35,5936.349365990687
4 wk ahead cum death,2021-06-28,2021-07-24,05,quantile,0.35,5948.660415053584
1 wk ahead cum death,2021-06-28,2021-07-03,05,quantile,0.4,5907.82703044808
2 wk ahead cum death,2021-06-28,2021-07-10,05,quantile,0.4,5919.7471732351005
3 wk ahead cum death,2021-06-28,2021-07-17,05,quantile,0.4,5938.227140353594
4 wk ahead cum death,2021-06-28,2021-07-24,05,quantile,0.4,5954.38219271512
1 wk ahead cum death,2021-06-28,2021-07-03,05,quantile,0.45,5910.808453665773
2 wk ahead cum death,2021-06-28,2021-07-10,05,quantile,0.45,5922.946279020121
3 wk ahead cum death,2021-06-28,2021-07-17,05,quantile,0.45,5944.5764250448065
4 wk ahead cum death,2021-06-28,2021-07-24,05,quantile,0.45,5958.229679109641
1 wk ahead cum death,2021-06-28,2021-07-03,05,quantile,0.5,5910.847395742487
2 wk ahead cum death,2021-06-28,2021-07-10,05,quantile,0.5,5931.952385725325
3 wk ahead cum death,2021-06-28,2021-07-17,05,quantile,0.5,5947.33107336148
4 wk ahead cum death,2021-06-28,2021-07-24,05,quantile,0.5,5960.982691406536
1 wk ahead cum death,2021-06-28,2021-07-03,05,quantile,0.55,5912.399319220422
2 wk ahead cum death,2021-06-28,2021-07-10,05,quantile,0.55,5935.320152000438
3 wk ahead cum death,2021-06-28,2021-07-17,05,quantile,0.55,5949.022553310033
4 wk ahead cum death,2021-06-28,2021-07-24,05,quantile,0.55,5965.0046811418115
1 wk ahead cum death,2021-06-28,2021-07-03,05,quantile,0.6,5913.610516667764
