location,quantile,type,target,value
US,0.4,quantile,6 day ahead inc,39
US,0.45,quantile,6 day ahead inc,44
US,0.5,quantile,6 day ahead inc,49
US,0.55,quantile,6 day ahead inc,54
US,0.6,quantile,6 day ahead inc,59
US,0.65,quantile,6 day ahead inc,65
US,0.7,quantile,6 day ahead inc,72
US,0.75,quantile,6 day ahead inc,80
US,0.8,quantile,6 day ahead inc,90
US,0.85,quantile,6 day ahead inc,101
US,0.9,quantile,6 day ahead inc,119
US,0.95,quantile,6 day ahead inc,150
US,0.975,quantile,6 day ahead inc,182
US,0.99,quantile,6 day ahead inc,226
