target,location,type,quantile,value
4 day ahead inc death,US,quantile,0.05,6
4 day ahead inc death,US,quantile,0.1,9
4 day ahead inc death,US,quantile,0.15,12
4 day ahead inc death,US,quantile,0.2,15
4 day ahead inc death,US,quantile,0.25,18
4 day ahead inc death,US,quantile,0.3,21
4 day ahead inc death,US,quantile,0.35,23
4 day ahead inc death,US,quantile,0.4,26
4 day ahead inc death,US,quantile,0.45,28
4 day ahead inc death,US,quantile,0.5,31
4 day ahead inc death,US,quantile,0.55,34
4 day ahead inc death,US,quantile,0.6,36
4 day ahead inc death,US,quantile,0.65,40
4 day ahead inc death,US,quantile,0.7,43
4 day ahead inc death,US,quantile,0.75,47
4 day ahead inc death,US,quantile,0.8,51
4 day ahead inc death,US,quantile,0.85,57
4 day ahead inc death,US,quantile,0.9,65
4 day ahead inc death,US,quantile,0.95,78
4 day ahead inc death,US,quantile,0.975,92
4 day ahead inc death,US,quantile,0.99,111
5 day ahead inc death,US,quantile,0.01,3
5 day ahead inc death,US,quantile,0.025,4
5 day ahead inc death,US,quantile,0.05,6
5 day ahead inc death,US,quantile,0.1,10
5 day ahead inc death,US,quantile,0.15,14
5 day ahead inc death,US,quantile,0.2,18
5 day ahead inc death,US,quantile,0.25,21
5 day ahead inc death,US,quantile,0.3,25
5 day ahead inc death,US,quantile,0.35,28
5 day ahead inc death,US,quantile,0.4,32
5 day ahead inc death,US,quantile,0.45,35
5 day ahead inc death,US,quantile,0.5,39
5 day ahead inc death,US,quantile,0.55,42
5 day ahead inc death,US,quantile,0.6,47
5 day ahead inc death,US,quantile,0.65,51
5 day ahead inc death,US,quantile,0.7,56
5 day ahead inc death,US,quantile,0.75,62
5 day ahead inc death,US,quantile,0.8,68
5 day ahead inc death,US,quantile,0.85,76
5 day ahead inc death,US,quantile,0.9,88
5 day ahead inc death,US,quantile,0.95,108
5 day ahead inc death,US,quantile,0.975,129
5 day ahead inc death,US,quantile,0.99,157
6 day ahead inc death,US,quantile,0.01,3
6 day ahead inc death,US,quantile,0.025,4
6 day ahead inc death,US,quantile,0.05,7
6 day ahead inc death,US,quantile,0.1,12
6 day ahead inc death,US,quantile,0.15,16
6 day ahead inc death,US,quantile,0.2,21
6 day ahead inc death,US,quantile,0.25,25
6 day ahead inc death,US,quantile,0.3,30
6 day ahead inc death,US,quantile,0.35,35
6 day ahead inc death,US,quantile,0.4,39
6 day ahead inc death,US,quantile,0.45,44
6 day ahead inc death,US,quantile,0.5,49
6 day ahead inc death,US,quantile,0.55,54
6 day ahead inc death,US,quantile,0.6,59
6 day ahead inc death,US,quantile,0.65,65
6 day ahead inc death,US,quantile,0.7,72
6 day ahead inc death,US,quantile,0.75,80
6 day ahead inc death,US,quantile,0.8,90
6 day ahead inc death,US,quantile,0.85,101
6 day ahead inc death,US,quantile,0.9,119
6 day ahead inc death,US,quantile,0.95,150
6 day ahead inc death,US,quantile,0.975,182
6 day ahead inc death,US,quantile,0.99,226
