target,location,type,quantile,value
2 day ahead inc death,US,quantile,0.01,162
2 day ahead inc death,US,quantile,0.025,183
2 day ahead inc death,US,quantile,0.05,197
2 day ahead inc death,US,quantile,0.1,212
2 day ahead inc death,US,quantile,0.15,222
2 day ahead inc death,US,quantile,0.2,230
2 day ahead inc death,US,quantile,0.25,237
2 day ahead inc death,US,quantile,0.3,243
2 day ahead inc death,US,quantile,0.35,249
2 day ahead inc death,US,quantile,0.4,256
2 day ahead inc death,US,quantile,0.45,262
2 day ahead inc death,US,quantile,0.5,268
2 day ahead inc death,US,quantile,0.55,275
2 day ahead inc death,US,quantile,0.6,284
2 day ahead inc death,US,quantile,0.65,292
2 day ahead inc death,US,quantile,0.7,303
2 day ahead inc death,US,quantile,0.75,315
2 day ahead inc death,US,quantile,0.8,332
2 day ahead inc death,US,quantile,0.85,354
2 day ahead inc death,US,quantile,0.9,385
2 day ahead inc death,US,quantile,0.95,430
2 day ahead inc death,US,quantile,0.975,471
2 day ahead inc death,US,quantile,0.99,521
3 day ahead cum death,US,quantile,0.01,1034
3 day ahead cum death,US,quantile,0.025,1096
3 day ahead cum death,US,quantile,0.05,1150
3 day ahead cum death,US,quantile,0.1,1204
3 day ahead cum death,US,quantile,0.15,1237
3 day ahead cum death,US,quantile,0.2,1264
3 day ahead cum death,US,quantile,0.25,1288
3 day ahead cum death,US,quantile,0.3,1310
3 day ahead cum death,US,quantile,0.35,1331
3 day ahead cum death,US,quantile,0.4,1352
3 day ahead cum death,US,quantile,0.45,1375
3 day ahead cum death,US,quantile,0.5,1397
3 day ahead cum death,US,quantile,0.55,1421
3 day ahead cum death,US,quantile,0.6,1448
3 day ahead cum death,US,quantile,0.65,1481
3 day ahead cum death,US,quantile,0.7,1518
3 day ahead cum death,US,quantile,0.75,1564
3 day ahead cum death,US,quantile,0.8,1623
3 day ahead cum death,US,quantile,0.85,1709
3 day ahead cum death,US,quantile,0.9,1814
3 day ahead cum death,US,quantile,0.95,1977
3 day ahead cum death,US,quantile,0.975,2124
3 day ahead cum death,US,quantile,0.99,2305
3 day ahead inc death,US,quantile,0.01,234
3 day ahead inc death,US,quantile,0.025,256
3 day ahead inc death,US,quantile,0.05,274
3 day ahead inc death,US,quantile,0.1,296
3 day ahead inc death,US,quantile,0.15,311
3 day ahead inc death,US,quantile,0.2,323
3 day ahead inc death,US,quantile,0.25,334
3 day ahead inc death,US,quantile,0.3,344
3 day ahead inc death,US,quantile,0.35,354
3 day ahead inc death,US,quantile,0.4,364
3 day ahead inc death,US,quantile,0.45,374
3 day ahead inc death,US,quantile,0.5,385
3 day ahead inc death,US,quantile,0.55,396
3 day ahead inc death,US,quantile,0.6,409
3 day ahead inc death,US,quantile,0.65,424
3 day ahead inc death,US,quantile,0.7,442
3 day ahead inc death,US,quantile,0.75,461
3 day ahead inc death,US,quantile,0.8,488
3 day ahead inc death,US,quantile,0.85,523
3 day ahead inc death,US,quantile,0.9,568
3 day ahead inc death,US,quantile,0.95,639
3 day ahead inc death,US,quantile,0.975,703
3 day ahead inc death,US,quantile,0.99,783
4 day ahead cum death,US,quantile,0.01,1371
4 day ahead cum death,US,quantile,0.025,1458
4 day ahead cum death,US,quantile,0.05,1533
4 day ahead cum death,US,quantile,0.1,1618
4 day ahead cum death,US,quantile,0.15,1673
4 day ahead cum death,US,quantile,0.2,1717
4 day ahead cum death,US,quantile,0.25,1757
4 day ahead cum death,US,quantile,0.3,1796
4 day ahead cum death,US,quantile,0.35,1833
4 day ahead cum death,US,quantile,0.4,1870
4 day ahead cum death,US,quantile,0.45,1908
4 day ahead cum death,US,quantile,0.5,1947
4 day ahead cum death,US,quantile,0.55,1991
4 day ahead cum death,US,quantile,0.6,2039
4 day ahead cum death,US,quantile,0.65,2095
4 day ahead cum death,US,quantile,0.7,2159
4 day ahead cum death,US,quantile,0.75,2237
4 day ahead cum death,US,quantile,0.8,2343
4 day ahead cum death,US,quantile,0.85,2478
4 day ahead cum death,US,quantile,0.9,2653
4 day ahead cum death,US,quantile,0.95,2921
4 day ahead cum death,US,quantile,0.975,3161
4 day ahead cum death,US,quantile,0.99,3478
4 day ahead inc death,US,quantile,0.01,323
4 day ahead inc death,US,quantile,0.025,352
4 day ahead inc death,US,quantile,0.05,378
4 day ahead inc death,US,quantile,0.1,410
4 day ahead inc death,US,quantile,0.15,433
4 day ahead inc death,US,quantile,0.2,453
4 day ahead inc death,US,quantile,0.25,470
4 day ahead inc death,US,quantile,0.3,486
4 day ahead inc death,US,quantile,0.35,503
4 day ahead inc death,US,quantile,0.4,518
4 day ahead inc death,US,quantile,0.45,534
4 day ahead inc death,US,quantile,0.5,552
4 day ahead inc death,US,quantile,0.55,571
4 day ahead inc death,US,quantile,0.6,591
4 day ahead inc death,US,quantile,0.65,615
4 day ahead inc death,US,quantile,0.7,644
4 day ahead inc death,US,quantile,0.75,676
4 day ahead inc death,US,quantile,0.8,718
4 day ahead inc death,US,quantile,0.85,768
4 day ahead inc death,US,quantile,0.9,839
4 day ahead inc death,US,quantile,0.95,946
4 day ahead inc death,US,quantile,0.975,1042
4 day ahead inc death,US,quantile,0.99,1174
5 day ahead cum death,US,quantile,0.01,1828
5 day ahead cum death,US,quantile,0.025,1956
5 day ahead cum death,US,quantile,0.05,2061
5 day ahead cum death,US,quantile,0.1,2194
5 day ahead cum death,US,quantile,0.15,2283
5 day ahead cum death,US,quantile,0.2,2355
5 day ahead cum death,US,quantile,0.25,2418
5 day ahead cum death,US,quantile,0.3,2484
5 day ahead cum death,US,quantile,0.35,2547
5 day ahead cum death,US,quantile,0.4,2610
5 day ahead cum death,US,quantile,0.45,2673
5 day ahead cum death,US,quantile,0.5,2736
5 day ahead cum death,US,quantile,0.55,2813
5 day ahead cum death,US,quantile,0.6,2895
5 day ahead cum death,US,quantile,0.65,2989
5 day ahead cum death,US,quantile,0.7,3101
5 day ahead cum death,US,quantile,0.75,3226
5 day ahead cum death,US,quantile,0.8,3395
5 day ahead cum death,US,quantile,0.85,3604
5 day ahead cum death,US,quantile,0.9,3893
5 day ahead cum death,US,quantile,0.95,4323
5 day ahead cum death,US,quantile,0.975,4713
5 day ahead cum death,US,quantile,0.99,5241
5 day ahead inc death,US,quantile,0.01,442
5 day ahead inc death,US,quantile,0.025,485
5 day ahead inc death,US,quantile,0.05,524
5 day ahead inc death,US,quantile,0.1,572
5 day ahead inc death,US,quantile,0.15,605
5 day ahead inc death,US,quantile,0.2,635
5 day ahead inc death,US,quantile,0.25,662
5 day ahead inc death,US,quantile,0.3,688
5 day ahead inc death,US,quantile,0.35,714
5 day ahead inc death,US,quantile,0.4,739
5 day ahead inc death,US,quantile,0.45,765
5 day ahead inc death,US,quantile,0.5,793
5 day ahead inc death,US,quantile,0.55,824
5 day ahead inc death,US,quantile,0.6,858
5 day ahead inc death,US,quantile,0.65,897
5 day ahead inc death,US,quantile,0.7,941
5 day ahead inc death,US,quantile,0.75,990
5 day ahead inc death,US,quantile,0.8,1053
5 day ahead inc death,US,quantile,0.85,1131
5 day ahead inc death,US,quantile,0.9,1242
5 day ahead inc death,US,quantile,0.95,1404
5 day ahead inc death,US,quantile,0.975,1562
5 day ahead inc death,US,quantile,0.99,1766
6 day ahead cum death,US,quantile,0.01,2452
6 day ahead cum death,US,quantile,0.025,2625
6 day ahead cum death,US,quantile,0.05,2792
6 day ahead cum death,US,quantile,0.1,2983
6 day ahead cum death,US,quantile,0.15,3128
6 day ahead cum death,US,quantile,0.2,3245
6 day ahead cum death,US,quantile,0.25,3355
6 day ahead cum death,US,quantile,0.3,3455
6 day ahead cum death,US,quantile,0.35,3561
6 day ahead cum death,US,quantile,0.4,3662
6 day ahead cum death,US,quantile,0.45,3768
6 day ahead cum death,US,quantile,0.5,3876
6 day ahead cum death,US,quantile,0.55,4002
6 day ahead cum death,US,quantile,0.6,4140
6 day ahead cum death,US,quantile,0.65,4295
6 day ahead cum death,US,quantile,0.7,4470
6 day ahead cum death,US,quantile,0.75,4678
6 day ahead cum death,US,quantile,0.8,4943
6 day ahead cum death,US,quantile,0.85,5279
6 day ahead cum death,US,quantile,0.9,5725
6 day ahead cum death,US,quantile,0.95,6396
6 day ahead cum death,US,quantile,0.975,7037
6 day ahead cum death,US,quantile,0.99,7873
6 day ahead inc death,US,quantile,0.01,602
6 day ahead inc death,US,quantile,0.025,662
6 day ahead inc death,US,quantile,0.05,717
6 day ahead inc death,US,quantile,0.1,789
6 day ahead inc death,US,quantile,0.15,844
6 day ahead inc death,US,quantile,0.2,888
6 day ahead inc death,US,quantile,0.25,930
6 day ahead inc death,US,quantile,0.3,972
6 day ahead inc death,US,quantile,0.35,1013
6 day ahead inc death,US,quantile,0.4,1056
6 day ahead inc death,US,quantile,0.45,1097
6 day ahead inc death,US,quantile,0.5,1142
6 day ahead inc death,US,quantile,0.55,1191
6 day ahead inc death,US,quantile,0.6,1246
6 day ahead inc death,US,quantile,0.65,1304
6 day ahead inc death,US,quantile,0.7,1372
6 day ahead inc death,US,quantile,0.75,1454
6 day ahead inc death,US,quantile,0.8,1549
6 day ahead inc death,US,quantile,0.85,1671
6 day ahead inc death,US,quantile,0.9,1833
6 day ahead inc death,US,quantile,0.95,2087
6 day ahead inc death,US,quantile,0.975,2343
6 day ahead inc death,US,quantile,0.99,2653
