0.025,06037,1 wk ahead inc case,2020-07-12,2020-07-18,8238,forecast_date,location,quantile,target,target_end_date,type,value
,,,,,,2020-07-12,02,0.010,3 wk ahead inc death,2020-08-01,quantile,0
,,,,,,2020-07-12,02,0.025,3 wk ahead inc death,2020-08-01,quantile,1
,,,,,,2020-07-12,02,0.050,3 wk ahead inc death,2020-08-01,quantile,1
,,,,,,2020-07-12,02,0.100,3 wk ahead inc death,2020-08-01,quantile,2
,,,,,,2020-07-12,02,0.150,3 wk ahead inc death,2020-08-01,quantile,2
,,,,,,2020-07-12,02,0.200,3 wk ahead inc death,2020-08-01,quantile,3
,,,,,,2020-07-12,02,0.250,3 wk ahead inc death,2020-08-01,quantile,4
,,,,,,2020-07-12,02,0.300,3 wk ahead inc death,2020-08-01,quantile,4
,,,,,,2020-07-12,02,0.350,3 wk ahead inc death,2020-08-01,quantile,5
,,,,,,2020-07-12,02,0.400,3 wk ahead inc death,2020-08-01,quantile,5
,,,,,,2020-07-12,02,0.450,3 wk ahead inc death,2020-08-01,quantile,6
,,,,,,2020-07-12,02,0.500,3 wk ahead inc death,2020-08-01,quantile,6
,,,,,,2020-07-12,02,,3 wk ahead inc death,2020-08-01,point,6
,,,,,,2020-07-12,02,0.550,3 wk ahead inc death,2020-08-01,quantile,7
,,,,,,2020-07-12,02,0.600,3 wk ahead inc death,2020-08-01,quantile,8
,,,,,,2020-07-12,02,0.650,3 wk ahead inc death,2020-08-01,quantile,9
,,,,,,2020-07-12,02,0.700,3 wk ahead inc death,2020-08-01,quantile,10
,,,,,,2020-07-12,02,0.750,3 wk ahead inc death,2020-08-01,quantile,11
,,,,,,2020-07-12,02,0.800,3 wk ahead inc death,2020-08-01,quantile,13
,,,,,,2020-07-12,02,0.850,3 wk ahead inc death,2020-08-01,quantile,15
,,,,,,2020-07-12,02,0.900,3 wk ahead inc death,2020-08-01,quantile,17
,,,,,,2020-07-12,02,0.950,3 wk ahead inc death,2020-08-01,quantile,22
,,,,,,2020-07-12,02,0.975,3 wk ahead inc death,2020-08-01,quantile,26
,,,,,,2020-07-12,02,0.990,3 wk ahead inc death,2020-08-01,quantile,31
,,,,,,2020-07-12,02,0.010,4 wk ahead inc death,2020-08-08,quantile,0
,,,,,,2020-07-12,02,0.025,4 wk ahead inc death,2020-08-08,quantile,0
,,,,,,2020-07-12,02,0.050,4 wk ahead inc death,2020-08-08,quantile,1
,,,,,,2020-07-12,02,0.100,4 wk ahead inc death,2020-08-08,quantile,2
,,,,,,2020-07-12,02,0.150,4 wk ahead inc death,2020-08-08,quantile,3
,,,,,,2020-07-12,02,0.200,4 wk ahead inc death,2020-08-08,quantile,4
,,,,,,2020-07-12,02,0.250,4 wk ahead inc death,2020-08-08,quantile,4
,,,,,,2020-07-12,02,0.300,4 wk ahead inc death,2020-08-08,quantile,5
,,,,,,2020-07-12,02,0.350,4 wk ahead inc death,2020-08-08,quantile,6
,,,,,,2020-07-12,02,0.400,4 wk ahead inc death,2020-08-08,quantile,7
,,,,,,2020-07-12,02,0.450,4 wk ahead inc death,2020-08-08,quantile,8
,,,,,,2020-07-12,02,0.500,4 wk ahead inc death,2020-08-08,quantile,9
,,,,,,2020-07-12,02,,4 wk ahead inc death,2020-08-08,point,9
,,,,,,2020-07-12,02,0.550,4 wk ahead inc death,2020-08-08,quantile,11
,,,,,,2020-07-12,02,0.600,4 wk ahead inc death,2020-08-08,quantile,12
,,,,,,2020-07-12,02,0.650,4 wk ahead inc death,2020-08-08,quantile,14
,,,,,,2020-07-12,02,0.700,4 wk ahead inc death,2020-08-08,quantile,16
,,,,,,2020-07-12,02,0.750,4 wk ahead inc death,2020-08-08,quantile,18
,,,,,,2020-07-12,02,0.800,4 wk ahead inc death,2020-08-08,quantile,21
,,,,,,2020-07-12,02,0.850,4 wk ahead inc death,2020-08-08,quantile,24
,,,,,,2020-07-12,02,0.900,4 wk ahead inc death,2020-08-08,quantile,29
,,,,,,2020-07-12,02,0.950,4 wk ahead inc death,2020-08-08,quantile,37
,,,,,,2020-07-12,02,0.975,4 wk ahead inc death,2020-08-08,quantile,45
,,,,,,2020-07-12,02,0.990,4 wk ahead inc death,2020-08-08,quantile,57
,,,,,,2020-07-12,01,0.010,1 wk ahead inc death,2020-07-18,quantile,49
,,,,,,2020-07-12,01,0.025,1 wk ahead inc death,2020-07-18,quantile,59
,,,,,,2020-07-12,01,0.050,1 wk ahead inc death,2020-07-18,quantile,68
,,,,,,2020-07-12,01,0.100,1 wk ahead inc death,2020-07-18,quantile,79
,,,,,,2020-07-12,01,0.150,1 wk ahead inc death,2020-07-18,quantile,87
,,,,,,2020-07-12,01,0.200,1 wk ahead inc death,2020-07-18,quantile,93
,,,,,,2020-07-12,01,0.250,1 wk ahead inc death,2020-07-18,quantile,98
,,,,,,2020-07-12,01,0.300,1 wk ahead inc death,2020-07-18,quantile,105
,,,,,,2020-07-12,01,0.350,1 wk ahead inc death,2020-07-18,quantile,111
,,,,,,2020-07-12,01,0.400,1 wk ahead inc death,2020-07-18,quantile,117
,,,,,,2020-07-12,01,0.450,1 wk ahead inc death,2020-07-18,quantile,125
,,,,,,2020-07-12,01,0.500,1 wk ahead inc death,2020-07-18,quantile,133
,,,,,,2020-07-12,01,,1 wk ahead inc death,2020-07-18,point,133
,,,,,,2020-07-12,01,0.550,1 wk ahead inc death,2020-07-18,quantile,138
,,,,,,2020-07-12,01,0.600,1 wk ahead inc death,2020-07-18,quantile,145
,,,,,,2020-07-12,01,0.650,1 wk ahead inc death,2020-07-18,quantile,153
,,,,,,2020-07-12,01,0.700,1 wk ahead inc death,2020-07-18,quantile,160
,,,,,,2020-07-12,01,0.750,1 wk ahead inc death,2020-07-18,quantile,168
,,,,,,2020-07-12,01,0.800,1 wk ahead inc death,2020-07-18,quantile,179
,,,,,,2020-07-12,01,0.850,1 wk ahead inc death,2020-07-18,quantile,193
,,,,,,2020-07-12,01,0.900,1 wk ahead inc death,2020-07-18,quantile,211
,,,,,,2020-07-12,01,0.950,1 wk ahead inc death,2020-07-18,quantile,244
,,,,,,2020-07-12,01,0.975,1 wk ahead inc death,2020-07-18,quantile,277
,,,,,,2020-07-12,01,0.990,1 wk ahead inc death,2020-07-18,quantile,311
,,,,,,2020-07-12,01,0.010,2 wk ahead inc death,2020-07-25,quantile,44
,,,,,,2020-07-12,01,0.025,2 wk ahead inc death,2020-07-25,quantile,56
,,,,,,2020-07-12,01,0.050,2 wk ahead inc death,2020-07-25,quantile,69
,,,,,,2020-07-12,01,0.100,2 wk ahead inc death,2020-07-25,quantile,81
,,,,,,2020-07-12,01,0.150,2 wk ahead inc death,2020-07-25,quantile,93
,,,,,,2020-07-12,01,0.200,2 wk ahead inc death,2020-07-25,quantile,103
,,,,,,2020-07-12,01,0.250,2 wk ahead inc death,2020-07-25,quantile,111
,,,,,,2020-07-12,01,0.300,2 wk ahead inc death,2020-07-25,quantile,122
,,,,,,2020-07-12,01,0.350,2 wk ahead inc death,2020-07-25,quantile,128
,,,,,,2020-07-12,01,0.400,2 wk ahead inc death,2020-07-25,quantile,137
,,,,,,2020-07-12,01,0.450,2 wk ahead inc death,2020-07-25,quantile,146
,,,,,,2020-07-12,01,0.500,2 wk ahead inc death,2020-07-25,quantile,155
,,,,,,2020-07-12,01,,2 wk ahead inc death,2020-07-25,point,155
,,,,,,2020-07-12,01,0.550,2 wk ahead inc death,2020-07-25,quantile,167
,,,,,,2020-07-12,01,0.600,2 wk ahead inc death,2020-07-25,quantile,178
,,,,,,2020-07-12,01,0.650,2 wk ahead inc death,2020-07-25,quantile,187
,,,,,,2020-07-12,01,0.700,2 wk ahead inc death,2020-07-25,quantile,199
,,,,,,2020-07-12,01,0.750,2 wk ahead inc death,2020-07-25,quantile,214
,,,,,,2020-07-12,01,0.800,2 wk ahead inc death,2020-07-25,quantile,232
,,,,,,2020-07-12,01,0.850,2 wk ahead inc death,2020-07-25,quantile,250
,,,,,,2020-07-12,01,0.900,2 wk ahead inc death,2020-07-25,quantile,278
,,,,,,2020-07-12,01,0.950,2 wk ahead inc death,2020-07-25,quantile,334
,,,,,,2020-07-12,01,0.975,2 wk ahead inc death,2020-07-25,quantile,392
,,,,,,2020-07-12,01,0.990,2 wk ahead inc death,2020-07-25,quantile,452
,,,,,,2020-07-12,01,0.010,3 wk ahead inc death,2020-08-01,quantile,42
,,,,,,2020-07-12,01,0.025,3 wk ahead inc death,2020-08-01,quantile,52
,,,,,,2020-07-12,01,0.050,3 wk ahead inc death,2020-08-01,quantile,64
,,,,,,2020-07-12,01,0.100,3 wk ahead inc death,2020-08-01,quantile,83
,,,,,,2020-07-12,01,0.150,3 wk ahead inc death,2020-08-01,quantile,95
,,,,,,2020-07-12,01,0.200,3 wk ahead inc death,2020-08-01,quantile,109
,,,,,,2020-07-12,01,0.250,3 wk ahead inc death,2020-08-01,quantile,121
,,,,,,2020-07-12,01,0.300,3 wk ahead inc death,2020-08-01,quantile,132
,,,,,,2020-07-12,01,0.350,3 wk ahead inc death,2020-08-01,quantile,147
,,,,,,2020-07-12,01,0.400,3 wk ahead inc death,2020-08-01,quantile,159
,,,,,,2020-07-12,01,0.450,3 wk ahead inc death,2020-08-01,quantile,172
,,,,,,2020-07-12,01,0.500,3 wk ahead inc death,2020-08-01,quantile,185
,,,,,,2020-07-12,01,,3 wk ahead inc death,2020-08-01,point,185
,,,,,,2020-07-12,01,0.550,3 wk ahead inc death,2020-08-01,quantile,202
,,,,,,2020-07-12,01,0.600,3 wk ahead inc death,2020-08-01,quantile,220
,,,,,,2020-07-12,01,0.650,3 wk ahead inc death,2020-08-01,quantile,238
,,,,,,2020-07-12,01,0.700,3 wk ahead inc death,2020-08-01,quantile,262
,,,,,,2020-07-12,01,0.750,3 wk ahead inc death,2020-08-01,quantile,288
,,,,,,2020-07-12,01,0.800,3 wk ahead inc death,2020-08-01,quantile,312
,,,,,,2020-07-12,01,0.850,3 wk ahead inc death,2020-08-01,quantile,357
,,,,,,2020-07-12,01,0.900,3 wk ahead inc death,2020-08-01,quantile,414
,,,,,,2020-07-12,01,0.950,3 wk ahead inc death,2020-08-01,quantile,509
,,,,,,2020-07-12,01,0.975,3 wk ahead inc death,2020-08-01,quantile,604
,,,,,,2020-07-12,01,0.990,3 wk ahead inc death,2020-08-01,quantile,722
,,,,,,2020-07-12,01,0.010,4 wk ahead inc death,2020-08-08,quantile,32
,,,,,,2020-07-12,01,0.025,4 wk ahead inc death,2020-08-08,quantile,42
,,,,,,2020-07-12,01,0.050,4 wk ahead inc death,2020-08-08,quantile,52
