forecast_date,target,target_end_date,location,type,quantile,value,std_error
2022-01-03,2 wk ahead inc case,2022-01-15,18,point,NA,85752.41365428084,24154.274178423733
2022-01-03,2 wk ahead inc death,2022-01-15,18,point,NA,576.8323721057201,312.2130564772584
2022-01-03,3 wk ahead cum death,2022-01-22,18,point,NA,19500.827201796423,314.2815931620051
2022-01-03,3 wk ahead inc case,2022-01-22,18,point,NA,86815.38071891174,24920.549450881306
2022-01-03,3 wk ahead inc death,2022-01-22,18,point,NA,357.4469453376307,314.2815931620051
2022-01-03,4 wk ahead cum death,2022-01-29,18,point,NA,19542.93157443388,314.9601607517098
2022-01-03,4 wk ahead inc case,2022-01-29,18,point,NA,88716.34855463193,25703.603600931583
2022-01-03,4 wk ahead inc death,2022-01-29,18,point,NA,117.25772810019198,314.9601607517098
2022-01-03,5 wk ahead cum death,2022-02-05,18,point,NA,19633.25224476905,316.4157976780133
2022-01-03,5 wk ahead inc case,2022-02-05,18,point,NA,90255.66998584909,26500.24455944064
2022-01-03,5 wk ahead inc death,2022-02-05,18,point,NA,251.53673931165966,316.4157976780133
2022-01-03,1 wk ahead cum death,2022-01-08,19,point,NA,7897.8801181806775,75.95464296898905
2022-01-03,1 wk ahead inc case,2022-01-08,19,point,NA,0.0,5931.566941079135
2022-01-03,1 wk ahead inc death,2022-01-08,19,point,NA,44.12605042016807,75.95464296898905
2022-01-03,2 wk ahead cum death,2022-01-15,19,point,NA,7943.465918103145,76.39304581959657
2022-01-03,2 wk ahead inc case,2022-01-15,19,point,NA,0.0,5931.566941079135
2022-01-03,2 wk ahead inc death,2022-01-15,19,point,NA,50.43920122576498,76.39304581959657
2022-01-03,3 wk ahead cum death,2022-01-22,19,point,NA,7989.0547908434755,76.83147822177786
2022-01-03,3 wk ahead inc case,2022-01-22,19,point,NA,0.0,5931.566941079135
2022-01-03,3 wk ahead inc death,2022-01-22,19,point,NA,50.442601198537496,76.83147822177786
2022-01-03,4 wk ahead cum death,2022-01-29,19,point,NA,8035.268699383241,77.27592165100346
2022-01-03,4 wk ahead inc case,2022-01-29,19,point,NA,0.0,5931.566941079135
2022-01-03,4 wk ahead inc death,2022-01-29,19,point,NA,51.13418293045021,77.27592165100346
2022-01-03,5 wk ahead cum death,2022-02-05,19,point,NA,8081.377704718205,77.71935621641433
2022-01-03,5 wk ahead inc case,2022-02-05,19,point,NA,0.0,5931.566941079135
2022-01-03,5 wk ahead inc death,2022-02-05,19,point,NA,51.018110954851544,77.71935621641433
2022-01-03,1 wk ahead cum death,2022-01-08,20,point,NA,7007.5403738854575,63.809425247917744
2022-01-03,1 wk ahead inc case,2022-01-08,20,point,NA,19611.3695527115,12615.697654263782
2022-01-03,1 wk ahead inc death,2022-01-08,20,point,NA,58.975609756097576,63.809425247917744
2022-01-03,2 wk ahead cum death,2022-01-15,20,point,NA,7009.4861093197205,63.827142771203064
2022-01-03,2 wk ahead inc case,2022-01-15,20,point,NA,9871.21800299549,12623.639051968363
2022-01-03,2 wk ahead inc death,2022-01-15,20,point,NA,74.49550706037043,63.827142771203064
2022-01-03,3 wk ahead cum death,2022-01-22,20,point,NA,7014.553128679781,63.87328215475779
2022-01-03,3 wk ahead inc case,2022-01-22,20,point,NA,9197.365793641718,12631.038335377867
2022-01-03,3 wk ahead inc death,2022-01-22,20,point,NA,193.9987163030799,63.87328215475779
2022-01-03,4 wk ahead cum death,2022-01-29,20,point,NA,7015.9718941005995,63.88620118215321
2022-01-03,4 wk ahead inc case,2022-01-29,20,point,NA,9476.94277411683,12638.662538548091
2022-01-03,4 wk ahead inc death,2022-01-29,20,point,NA,54.31964056490277,63.88620118215321
2022-01-03,5 wk ahead cum death,2022-02-05,20,point,NA,7023.308938133965,63.95301100953999
2022-01-03,5 wk ahead inc case,2022-02-05,20,point,NA,9527.12325779185,12646.327111931778
2022-01-03,5 wk ahead inc death,2022-02-05,20,point,NA,280.9101412067642,63.95301100953999
2022-01-03,1 wk ahead cum death,2022-01-08,21,point,NA,12325.424308537142,327.04362110460545
2022-01-03,1 wk ahead inc case,2022-01-08,21,point,NA,29553.101074147497,6979.470286622278
2022-01-03,1 wk ahead inc death,2022-01-08,21,point,NA,251.5151515151515,327.04362110460545
2022-01-03,2 wk ahead cum death,2022-01-15,21,point,NA,12596.785600708301,334.24393951942915
2022-01-03,2 wk ahead inc case,2022-01-15,21,point,NA,37320.57451019887,7083.18623899873
2022-01-03,2 wk ahead inc death,2022-01-15,21,point,NA,329.04280601015085,334.24393951942915
2022-01-03,3 wk ahead cum death,2022-01-22,21,point,NA,12871.855225056812,341.5426550647045
2022-01-03,3 wk ahead inc case,2022-01-22,21,point,NA,37635.93624917441,7187.778599188474
2022-01-03,3 wk ahead inc death,2022-01-22,21,point,NA,333.5393943610195,341.5426550647045
2022-01-03,4 wk ahead cum death,2022-01-29,21,point,NA,13152.459561044136,348.9882290134555
2022-01-03,4 wk ahead inc case,2022-01-29,21,point,NA,38513.04020202696,7294.808480048841
2022-01-03,4 wk ahead inc death,2022-01-29,21,point,NA,340.2505838365744,348.9882290134555
2022-01-03,5 wk ahead cum death,2022-02-05,21,point,NA,13434.875788228508,356.48187980267005
2022-01-03,5 wk ahead inc case,2022-02-05,21,point,NA,38697.30000486784,7402.350429149953
2022-01-03,5 wk ahead inc death,2022-02-05,21,point,NA,342.44761702023845,356.48187980267005
2022-01-03,1 wk ahead cum death,2022-01-08,22,point,NA,15038.242142499525,7.708350105799953
2022-01-03,1 wk ahead inc case,2022-01-08,22,point,NA,57480.73315052336,18744.443931184564
2022-01-03,1 wk ahead inc death,2022-01-08,22,point,NA,35.27586206896552,7.708350105799953
2022-01-03,2 wk ahead cum death,2022-01-15,22,point,NA,15087.806053785025,7.7337557334788345
2022-01-03,2 wk ahead inc case,2022-01-15,22,point,NA,20318.987231630636,18941.172562173375
2022-01-03,2 wk ahead inc death,2022-01-15,22,point,NA,33.46741949034104,7.7337557334788345
2022-01-03,3 wk ahead cum death,2022-01-22,22,point,NA,15135.202739529184,7.758050477778221
2022-01-03,3 wk ahead inc case,2022-01-22,22,point,NA,20697.45264867838,19141.565498992222
2022-01-03,3 wk ahead inc death,2022-01-22,22,point,NA,32.00402718652436,7.758050477778221
2022-01-03,4 wk ahead cum death,2022-01-29,22,point,NA,15183.23025885948,7.782668576768332
2022-01-03,4 wk ahead inc case,2022-01-29,22,point,NA,18428.662608918778,19319.991988692687
2022-01-03,4 wk ahead inc death,2022-01-29,22,point,NA,32.42998978124761,7.782668576768332
2022-01-03,5 wk ahead cum death,2022-02-05,22,point,NA,15231.670853679687,7.807498411310991
2022-01-03,5 wk ahead inc case,2022-02-05,22,point,NA,14738.12417707729,19462.68664958533
2022-01-03,5 wk ahead inc death,2022-02-05,22,point,NA,32.70891390857172,7.807498411310991
2022-01-03,1 wk ahead cum death,2022-01-08,23,point,NA,1582.6127765331205,13.284720046749094
2022-01-03,1 wk ahead inc case,2022-01-08,23,point,NA,4759.781295599382,3961.6992669299793
2022-01-03,1 wk ahead inc death,2022-01-08,23,point,NA,74.11764705882354,13.284720046749094
2022-01-03,2 wk ahead cum death,2022-01-15,23,point,NA,1634.5068798809964,13.720327951143727
2022-01-03,2 wk ahead inc case,2022-01-15,23,point,NA,1189.9465779814252,3995.201740085855
