"target","location","location_name","type","quantile","value"
"1 wk ahead cum death","18","Indiana","quantile",0.025,382.235505174497
"2 wk ahead cum death","18","Indiana","quantile",0.025,433.744945094719
"3 wk ahead cum death","18","Indiana","quantile",0.025,471.056046663199
"4 wk ahead cum death","18","Indiana","quantile",0.025,497.396329060775
"5 wk ahead cum death","18","Indiana","quantile",0.025,517.301793862943
"6 wk ahead cum death","18","Indiana","quantile",0.025,531.121396101005
"1 wk ahead cum death","18","Indiana","quantile",0.5,563.76479630618
"2 wk ahead cum death","18","Indiana","quantile",0.5,800.693673589004
"3 wk ahead cum death","18","Indiana","quantile",0.5,986.90263652369
"4 wk ahead cum death","18","Indiana","quantile",0.5,1142.43510949456
"5 wk ahead cum death","18","Indiana","quantile",0.5,1286.90943875607
"6 wk ahead cum death","18","Indiana","quantile",0.5,1425.56282357204
"1 wk ahead cum death","18","Indiana","quantile",0.975,1115.99795096097
"2 wk ahead cum death","18","Indiana","quantile",0.975,1949.49013473486
"3 wk ahead cum death","18","Indiana","quantile",0.975,2827.46355857953
"4 wk ahead cum death","18","Indiana","quantile",0.975,3989.61223522616
"5 wk ahead cum death","18","Indiana","quantile",0.975,5380.62828800718
"6 wk ahead cum death","18","Indiana","quantile",0.975,7170.4875231271
"1 wk ahead cum death","19","Iowa","quantile",0.025,45.4499572404973
"2 wk ahead cum death","19","Iowa","quantile",0.025,55.4932120990911
"3 wk ahead cum death","19","Iowa","quantile",0.025,69.31708531179
"4 wk ahead cum death","19","Iowa","quantile",0.025,85.5303234723557
"5 wk ahead cum death","19","Iowa","quantile",0.025,99.4244304268755
"6 wk ahead cum death","19","Iowa","quantile",0.025,108.08980165808
"1 wk ahead cum death","19","Iowa","quantile",0.5,72.1302545813634
"2 wk ahead cum death","19","Iowa","quantile",0.5,126.87700543413
"3 wk ahead cum death","19","Iowa","quantile",0.5,198.376367374746
"4 wk ahead cum death","19","Iowa","quantile",0.5,278.59129449742
"5 wk ahead cum death","19","Iowa","quantile",0.5,350.264211525938
"6 wk ahead cum death","19","Iowa","quantile",0.5,406.934110601189
"1 wk ahead cum death","19","Iowa","quantile",0.975,181.775426771217
"2 wk ahead cum death","19","Iowa","quantile",0.975,400.057737004354
"3 wk ahead cum death","19","Iowa","quantile",0.975,676.512721779065
"4 wk ahead cum death","19","Iowa","quantile",0.975,985.200731423103
"5 wk ahead cum death","19","Iowa","quantile",0.975,1390.68900587535
"6 wk ahead cum death","19","Iowa","quantile",0.975,1845.52298421529
"1 wk ahead cum death","02","Alaska","quantile",0.025,8.01739269172802
"2 wk ahead cum death","02","Alaska","quantile",0.025,8.06821811502554
"3 wk ahead cum death","02","Alaska","quantile",0.025,8.11459426436904
"4 wk ahead cum death","02","Alaska","quantile",0.025,8.15537909481906
"5 wk ahead cum death","02","Alaska","quantile",0.025,8.19714197270649
"6 wk ahead cum death","02","Alaska","quantile",0.025,8.24302362378216
"1 wk ahead cum death","02","Alaska","quantile",0.5,11.1581652996258
"2 wk ahead cum death","02","Alaska","quantile",0.5,15.4597846749542
"3 wk ahead cum death","02","Alaska","quantile",0.5,19.0145761582003
"4 wk ahead cum death","02","Alaska","quantile",0.5,20.7279328885977
