forecast_date,target,target_end_date,quantile,value,location,type
2022-01-30,17 day ahead inc hosp,2022-02-16,0.05,24.239280843275605,02,quantile
2022-01-30,18 day ahead inc hosp,2022-02-17,0.05,23.72273107052081,02,quantile
2022-01-30,19 day ahead inc hosp,2022-02-18,0.05,22.19851440903645,02,quantile
2022-01-30,20 day ahead inc hosp,2022-02-19,0.05,20.609760376242004,02,quantile
2022-01-30,21 day ahead inc hosp,2022-02-20,0.05,20.98894065786052,02,quantile
2022-01-30,22 day ahead inc hosp,2022-02-21,0.05,24.06959218423361,02,quantile
2022-01-30,23 day ahead inc hosp,2022-02-22,0.05,24.219580033096328,02,quantile
2022-01-30,24 day ahead inc hosp,2022-02-23,0.05,23.78313134434403,02,quantile
2022-01-30,25 day ahead inc hosp,2022-02-24,0.05,23.179958934588072,02,quantile
2022-01-30,26 day ahead inc hosp,2022-02-25,0.05,21.581770052040397,02,quantile
2022-01-30,27 day ahead inc hosp,2022-02-26,0.05,19.922881054550814,02,quantile
2022-01-30,28 day ahead inc hosp,2022-02-27,0.05,20.235667909772687,02,quantile
2022-01-30,29 day ahead inc hosp,2022-02-28,0.05,23.253609575266598,02,quantile
2022-01-30,30 day ahead inc hosp,2022-03-01,0.05,23.338405926794504,02,quantile
2022-01-30,31 day ahead inc hosp,2022-03-02,0.05,22.836376018420545,02,quantile
2022-01-30,32 day ahead inc hosp,2022-03-03,0.05,22.166268918990994,02,quantile
2022-01-30,33 day ahead inc hosp,2022-03-04,0.05,20.492173912823244,02,quantile
2022-01-30,34 day ahead inc hosp,2022-03-05,0.05,18.751221751312308,02,quantile
2022-01-30,35 day ahead inc hosp,2022-03-06,0.05,18.98176523966523,02,quantile
2022-01-30,1 day ahead inc hosp,2022-01-31,0.1,23.738639354527166,02,quantile
2022-01-30,2 day ahead inc hosp,2022-02-01,0.1,24.39552343584662,02,quantile
2022-01-30,3 day ahead inc hosp,2022-02-02,0.1,24.436242230513248,02,quantile
2022-01-30,4 day ahead inc hosp,2022-02-03,0.1,24.27531807566457,02,quantile
2022-01-30,5 day ahead inc hosp,2022-02-04,0.1,23.06876161469004,02,quantile
2022-01-30,6 day ahead inc hosp,2022-02-05,0.1,21.789792193942635,02,quantile
2022-01-30,7 day ahead inc hosp,2022-02-06,0.1,22.46610432747089,02,quantile
2022-01-30,8 day ahead inc hosp,2022-02-07,0.1,25.832851459648477,02,quantile
2022-01-30,9 day ahead inc hosp,2022-02-08,0.1,26.277952264020108,02,quantile
2022-01-30,10 day ahead inc hosp,2022-02-09,0.1,26.14090687121679,02,quantile
2022-01-30,11 day ahead inc hosp,2022-02-10,0.1,25.850911226963305,02,quantile
2022-01-30,12 day ahead inc hosp,2022-02-11,0.1,24.5637507051104,02,quantile
2022-01-30,13 day ahead inc hosp,2022-02-12,0.1,23.2224904916081,02,quantile
2022-01-30,14 day ahead inc hosp,2022-02-13,0.1,23.84764966495044,02,quantile
2022-01-30,15 day ahead inc hosp,2022-02-14,0.1,27.170935690343235,02,quantile
2022-01-30,16 day ahead inc hosp,2022-02-15,0.1,27.56300881087479,02,quantile
2022-01-30,17 day ahead inc hosp,2022-02-16,0.1,27.36382743552611,02,quantile
2022-01-30,18 day ahead inc hosp,2022-02-17,0.1,26.994880934145158,02,quantile
2022-01-30,19 day ahead inc hosp,2022-02-18,0.1,25.60864744695833,02,quantile
2022-01-30,20 day ahead inc hosp,2022-02-19,0.1,24.154054510986644,02,quantile
2022-01-30,21 day ahead inc hosp,2022-02-20,0.1,24.666325604382717,02,quantile
