location,quantile,type,target,value
US,0.7,quantile,4 day ahead inc,1799
US,0.75,quantile,4 day ahead inc,1812
US,0.8,quantile,4 day ahead inc,1827
US,0.85,quantile,4 day ahead inc,1844
US,0.9,quantile,4 day ahead inc,1870
US,0.95,quantile,4 day ahead inc,1915
US,0.975,quantile,4 day ahead inc,1956
US,0.99,quantile,4 day ahead inc,2007
US,0.01,quantile,5 day ahead inc,1772
US,0.025,quantile,5 day ahead inc,1842
US,0.05,quantile,5 day ahead inc,1903
US,0.1,quantile,5 day ahead inc,1973
US,0.15,quantile,5 day ahead inc,2011
US,0.2,quantile,5 day ahead inc,2035
US,0.25,quantile,5 day ahead inc,2054
US,0.3,quantile,5 day ahead inc,2072
US,0.35,quantile,5 day ahead inc,2087
US,0.4,quantile,5 day ahead inc,2102
US,0.45,quantile,5 day ahead inc,2118
US,0.5,quantile,5 day ahead inc,2135
US,0.55,quantile,5 day ahead inc,2153
US,0.6,quantile,5 day ahead inc,2176
US,0.65,quantile,5 day ahead inc,2204
US,0.7,quantile,5 day ahead inc,2238
US,0.75,quantile,5 day ahead inc,2273
US,0.8,quantile,5 day ahead inc,2311
US,0.85,quantile,5 day ahead inc,2355
US,0.9,quantile,5 day ahead inc,2405
US,0.95,quantile,5 day ahead inc,2478
US,0.975,quantile,5 day ahead inc,2541
US,0.99,quantile,5 day ahead inc,2614
US,0.01,quantile,6 day ahead inc,2234
US,0.025,quantile,6 day ahead inc,2280
US,0.05,quantile,6 day ahead inc,2313
US,0.1,quantile,6 day ahead inc,2352
US,0.15,quantile,6 day ahead inc,2379
US,0.2,quantile,6 day ahead inc,2402
US,0.25,quantile,6 day ahead inc,2426
US,0.3,quantile,6 day ahead inc,2449
US,0.35,quantile,6 day ahead inc,2475
US,0.4,quantile,6 day ahead inc,2511
US,0.45,quantile,6 day ahead inc,2566
US,0.5,quantile,6 day ahead inc,2636
US,0.55,quantile,6 day ahead inc,2700
US,0.6,quantile,6 day ahead inc,2758
US,0.65,quantile,6 day ahead inc,2817
US,0.7,quantile,6 day ahead inc,2870
US,0.75,quantile,6 day ahead inc,2924
US,0.8,quantile,6 day ahead inc,2982
US,0.85,quantile,6 day ahead inc,3041
US,0.9,quantile,6 day ahead inc,3112
US,0.95,quantile,6 day ahead inc,3213
US,0.975,quantile,6 day ahead inc,3304
US,0.99,quantile,6 day ahead inc,3405
