forecast_date,location,target,type,target_end_date,quantile,value
2020-07-05,01,4 wk ahead cum death,quantile,2020-08-01,0.950,1398.0692266333365
2020-07-05,01,4 wk ahead cum death,quantile,2020-08-01,0.975,1407.8780737955958
2020-07-05,01,4 wk ahead cum death,quantile,2020-08-01,0.990,1419.2829784211674
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.010,1344.2721009428985
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.025,1357.658723230653
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.050,1369.1719569095285
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.100,1382.4459779890115
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.150,1391.4018969927827
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.200,1398.5197775085696
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.250,1404.626285203016
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.300,1410.1101178421836
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.350,1415.1917060368082
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.400,1420.0136363039142
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.450,1424.6789096410835
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.500,1429.2702168320504
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.550,1433.8615240230176
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.600,1438.5267973601867
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.650,1443.3487276272924
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.700,1448.430315821917
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.750,1453.914148461085
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.800,1460.0206561555312
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.850,1467.1385366713184
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.900,1476.0944556750894
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.950,1489.3684767545724
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.975,1500.8817104334478
2020-07-05,01,5 wk ahead cum death,quantile,2020-08-08,0.990,1514.2683327212023
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.010,1414.9782143304324
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.025,1430.1781499492902
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.050,1443.2509331295435
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.100,1458.323014904501
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.150,1468.4920769231958
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.200,1476.5741250498286
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.250,1483.5078027032687
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.300,1489.7344595303744
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.350,1495.5043850380582
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.400,1500.9794801026044
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.450,1506.2766979403118
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.500,1511.4899303905124
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.550,1516.7031628407126
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.600,1522.0003806784198
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.650,1527.4754757429664
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.700,1533.2454012506498
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.750,1539.4720580777555
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.800,1546.4057357311956
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.850,1554.4877838578284
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.900,1564.6568458765234
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.950,1579.728927651481
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.975,1592.8017108317342
2020-07-05,01,6 wk ahead cum death,quantile,2020-08-15,0.990,1608.001646450592
2020-07-05,01,1 wk ahead cum death,point,2020-07-11,nan,1178.2047409496006
2020-07-05,01,2 wk ahead cum death,point,2020-07-18,nan,1356.5781729014705
2020-07-05,01,3 wk ahead cum death,point,2020-07-25,nan,1550.4288240321291
2020-07-05,01,4 wk ahead cum death,point,2020-08-01,nan,1758.5144389736329
2020-07-05,01,5 wk ahead cum death,point,2020-08-08,nan,1979.1637688239275
2020-07-05,01,6 wk ahead cum death,point,2020-08-15,nan,2209.756472431871
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.010,14.0
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.025,14.0
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.050,14.0
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.100,14.004259006890711
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.150,14.247561664794594
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.200,14.44093090444538
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.250,14.60682449414218
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.300,14.75580206484684
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.350,14.893851986201039
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.400,15.024847861634937
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.450,15.151587887120142
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.500,15.27631849738416
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.550,15.401049107648179
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.600,15.527789133133385
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.650,15.658785008567278
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.700,15.79683492992148
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.750,15.94581250062614
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.800,16.11170609032294
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.850,16.305075329973732
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.900,16.548377987877608
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.950,16.90898917790183
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.975,17.22176560586632
2020-07-05,02,1 wk ahead cum death,quantile,2020-07-11,0.990,17.585435797791312
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.010,14.0
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.025,14.0
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.050,14.0
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.100,14.257508538335614
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.150,14.654245963839019
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.200,14.969560292796798
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.250,15.240071910922351
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.300,15.482999704512133
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.350,15.708108508751545
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.400,15.921714750536784
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.450,16.128381261508903
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.500,16.331771153028974
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.550,16.535161044549046
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.600,16.741827555521162
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.650,16.955433797306405
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.700,17.180542601545817
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.750,17.423470395135595
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.800,17.693982013261152
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.850,18.009296342218924
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.900,18.40603376772233
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.950,18.9940583966783
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.975,19.50408206784513
2020-07-05,02,2 wk ahead cum death,quantile,2020-07-18,0.990,20.097094807285284
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.010,14.0
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.025,14.0
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.050,14.0
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.100,14.631983406776648
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.150,15.147189236074484
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.200,15.556658496843248
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.250,15.907946662748534
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.300,16.22341429274867
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.350,16.515742066018994
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.400,16.793132536057254
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.450,17.06151102603303
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.500,17.325634476444684
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.550,17.589757926856336
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.600,17.85813641683211
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.650,18.13552688687037
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.700,18.427854660140696
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.750,18.743322290140835
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.800,19.09461045604612
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.850,19.50407971681489
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.900,20.019285546112727
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.950,20.782898195522858
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.975,21.445218288293574
2020-07-05,02,3 wk ahead cum death,quantile,2020-07-25,0.990,22.21530853077519
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.010,14.0
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.025,14.0
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.050,14.186583661655831
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.100,15.095066310973019
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.150,15.70801524143627
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.200,16.195167620491947
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.250,16.613100984851393
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.300,16.988418062819814
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.350,17.33620526898352
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.400,17.666221317447828
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.450,17.985515663581673
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.500,18.299747718488213
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.550,18.61397977339475
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.600,18.933274119528587
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.650,19.2632901679929
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.700,19.611077374156608
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.750,19.986394452125023
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.800,20.404327816484468
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.850,20.89148019554015
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.900,21.504429126003398
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.950,22.412911775320588
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.975,23.200884987971193
2020-07-05,02,4 wk ahead cum death,quantile,2020-08-01,0.990,24.1170741373304
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.010,14.0
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.025,14.0
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.050,14.58542305160347
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.100,15.619197001717348
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.150,16.316679378006338
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.200,16.871016260039553
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.250,17.346587945732146
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.300,17.773666017644942
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.350,18.169417498628253
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.400,18.544946953459718
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.450,18.908276046976134
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.500,19.265844694982
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.550,19.623413342987867
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.600,19.986742436504287
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.650,20.362271891335748
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.700,20.75802337231906
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.750,21.185101444231854
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.800,21.66067312992445
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.850,22.21501001195766
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.900,22.91249238824665
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.950,23.94626633836053
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.975,24.84291106926208
2020-07-05,02,5 wk ahead cum death,quantile,2020-08-08,0.990,25.885454343694906
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.010,14.0
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.025,14.047675870004227
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.050,15.041274078638821
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.100,16.18682917930113
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.150,16.959729767182953
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.200,17.57400665298418
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.250,18.101001524750593
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.300,18.574259207058066
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.350,19.012802979209763
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.400,19.42893813369274
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.450,19.831553711547933
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.500,20.227785971525968
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.550,20.62401823150401
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.600,21.026633809359204
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.650,21.442768963842184
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.700,21.88131273599388
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.750,22.354570418301353
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.800,22.881565290067762
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.850,23.495842175868987
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.900,24.26874276375081
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.950,25.414297864413122
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.975,26.40789607304772
2020-07-05,02,6 wk ahead cum death,quantile,2020-08-15,0.990,27.563168718055014
2020-07-05,02,1 wk ahead cum death,point,2020-07-11,nan,35.66781781652122
2020-07-05,02,2 wk ahead cum death,point,2020-07-18,nan,62.82443388793757
2020-07-05,02,3 wk ahead cum death,point,2020-07-25,nan,96.4483699967133
2020-07-05,02,4 wk ahead cum death,point,2020-08-01,nan,137.37156719994871
2020-07-05,02,5 wk ahead cum death,point,2020-08-08,nan,186.12648259258808
2020-07-05,02,6 wk ahead cum death,point,2020-08-15,nan,242.79641839761783
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.010,2020.3411841611173
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.025,2031.0098724965792
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.050,2040.1855330338615
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.100,2050.764481988364
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.150,2057.902048624293
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.200,2063.5747603210634
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.250,2068.441441849065
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.300,2072.8118722723266
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.350,2076.8617273838136
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.400,2080.7046438484203
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.450,2084.422710001637
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.500,2088.0818276206946
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.550,2091.7409452397524
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.600,2095.459011392969
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.650,2099.301927857576
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.700,2103.3517829690627
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.750,2107.7222133923237
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.800,2112.588894920326
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.850,2118.261606617096
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.900,2125.3991732530253
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.950,2135.978122207528
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.975,2145.15378274481
2020-07-05,04,1 wk ahead cum death,quantile,2020-07-11,0.990,2155.822471080272
2020-07-05,04,2 wk ahead cum death,quantile,2020-07-18,0.010,2267.1212301002106
2020-07-05,04,2 wk ahead cum death,quantile,2020-07-18,0.025,2287.3488535803026
2020-07-05,04,2 wk ahead cum death,quantile,2020-07-18,0.050,2304.7457256880357
2020-07-05,04,2 wk ahead cum death,quantile,2020-07-18,0.100,2324.8032050649067
2020-07-05,04,2 wk ahead cum death,quantile,2020-07-18,0.150,2338.335891177385
2020-07-05,04,2 wk ahead cum death,quantile,2020-07-18,0.200,2349.0912411047016
2020-07-05,04,2 wk ahead cum death,quantile,2020-07-18,0.250,2358.3183736678234
2020-07-05,04,2 wk ahead cum death,quantile,2020-07-18,0.300,2366.6046238860267
2020-07-05,04,2 wk ahead cum death,quantile,2020-07-18,0.350,2374.283069611337
2020-07-05,04,2 wk ahead cum death,quantile,2020-07-18,0.400,2381.5691637278123
2020-07-05,04,2 wk ahead cum death,quantile,2020-07-18,0.450,2388.618544106781
2020-07-05,04,2 wk ahead cum death,quantile,2020-07-18,0.500,2395.556159223126
