value,target,target_end_date,type,quantile,forecast_date,location
152.4364309310913,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,21049
106.511549949646,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,21049
177.66306495666504,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,37153
105.36213970184326,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,37153
293.9193172454834,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,37171
189.8144207000728,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,37171
31.56422424316409,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,20143
22.16494560241702,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,20143
404.3111343383789,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,27147
272.0311965942383,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,27147
121.71869373321579,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,01053
76.20028877258301,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,01053
17.928737640380888,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,47067
11.275344491004972,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,47067
75.9459981918335,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,46037
53.59742832183838,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,46037
28.18833613395691,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,51159
19.55648708343506,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,51159
106.51745986938477,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,51750
69.77985382080078,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,51750
60.39867162704468,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,38085
44.818997859954834,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,38085
46.54665780067444,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,40055
31.64574885368347,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,40055
114.03338623046875,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,37099
75.6695747375486,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,37099
1030.1364059448242,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,16083
762.6154327392578,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,16083
17.529852390289307,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,13263
11.768221378326473,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,13263
14.501221299171462,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,20105
9.59306001663208,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,20105
11.477686882019043,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,32029
7.194318950176239,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,32029
16.903216958045988,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,37029
12.149177074432288,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,37029
218.4440860748291,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,13069
133.1716194152832,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,13069
58.55520486831665,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,46007
