"forecast_date","target","target_end_date","quantile","type","location","value"
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.45,"quantile","06",583.098170952753
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.5,"quantile","06",733.915745806255
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.55,"quantile","06",838.647867865154
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.6,"quantile","06",953.506147881076
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.65,"quantile","06",1055.5816601499
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.7,"quantile","06",1248.25484797769
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.75,"quantile","06",1527.15422784651
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.8,"quantile","06",2181.09279686646
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.85,"quantile","06",2715.55824687205
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.9,"quantile","06",3459.28060498145
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.95,"quantile","06",5293.83541706068
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.975,"quantile","06",6665.79554986146
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.99,"quantile","06",9306.17618287619
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.01,"quantile","08",10.5035064690626
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.025,"quantile","08",13.4452447013392
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.05,"quantile","08",15.7745382733073
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.1,"quantile","08",21.2009182667425
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.15,"quantile","08",27.6021105777056
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.2,"quantile","08",36.433303938031
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.25,"quantile","08",42.9126655026211
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.3,"quantile","08",49.6863311126902
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.35,"quantile","08",60.4801284241928
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.4,"quantile","08",72.2648287018137
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.45,"quantile","08",81.4328980988803
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.5,"quantile","08",95.9552088195467
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.55,"quantile","08",107.661105445095
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.6,"quantile","08",128.651803533699
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.65,"quantile","08",152.731749828639
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.7,"quantile","08",180.34490422112
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.75,"quantile","08",210.193117549158
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.8,"quantile","08",261.473553743764
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.85,"quantile","08",340.840226017748
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.9,"quantile","08",454.582425460105
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.95,"quantile","08",644.603958621596
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.975,"quantile","08",920.813217655105
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.99,"quantile","08",1292.58250155578
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.01,"quantile","09",8.04446635759492
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.025,"quantile","09",10.7951952487285
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.05,"quantile","09",15.5158313881455
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.1,"quantile","09",20.374630671315
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.15,"quantile","09",24.6918314417588
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.2,"quantile","09",30.8460064005477
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.25,"quantile","09",35.5224032454968
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.3,"quantile","09",39.8035225119107
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.35,"quantile","09",43.544574372986
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.4,"quantile","09",49.0664941242275
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.45,"quantile","09",54.9393272823818
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.5,"quantile","09",61.6851346136573
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.55,"quantile","09",66.1885327866767
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.6,"quantile","09",73.3483701389562
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.65,"quantile","09",83.6123159540411
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.7,"quantile","09",99.6141880722268
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.75,"quantile","09",117.671403084235
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.8,"quantile","09",146.411647906897
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.85,"quantile","09",182.993081330398
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.9,"quantile","09",245.637865249923
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.95,"quantile","09",417.335595471725
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.975,"quantile","09",649.537537442249
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.99,"quantile","09",881.083748839186
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.01,"quantile","11",2.09026305925951
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.025,"quantile","11",3.08807639338006
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.05,"quantile","11",3.90846230623487
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.1,"quantile","11",5.29897867129516
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.15,"quantile","11",6.6827778239357
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.2,"quantile","11",8.38655215993369
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.25,"quantile","11",10.0434416894418
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.3,"quantile","11",12.7222916010333
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.35,"quantile","11",14.6713290098925
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.4,"quantile","11",15.7628985660809
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.45,"quantile","11",18.1038731815447
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.5,"quantile","11",20.0074598465669
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.55,"quantile","11",21.9765488406188
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.6,"quantile","11",23.8408595367863
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.65,"quantile","11",27.0948310476662
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.7,"quantile","11",29.6060865984169
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.75,"quantile","11",35.6977647846178
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.8,"quantile","11",41.4173688199622
2023-12-03,"0 day ahead inc hosp",2023-12-03,0.85,"quantile","11",50.0416563517875
